"i","Date","Solved","Not Solved"
"1",2003-01-02,0,1
"2",2003-01-06,1,1
"3",2003-01-09,0,1
"4",2003-01-10,0,1
"5",2003-01-12,2,0
"6",2003-01-13,1,1
"7",2003-01-14,0,1
"8",2003-01-15,1,2
"9",2003-01-20,0,1
"10",2003-01-24,0,1
"11",2003-01-25,0,1
"12",2003-01-26,0,1
"13",2003-01-28,1,0
"14",2003-01-30,0,2
"15",2003-01-31,0,3
"16",2003-02-02,0,1
"17",2003-02-04,0,1
"18",2003-02-06,0,3
"19",2003-02-07,0,1
"20",2003-02-09,0,2
"21",2003-02-11,0,1
"22",2003-02-12,0,1
"23",2003-02-19,0,3
"24",2003-02-21,0,1
"25",2003-02-25,0,2
"26",2003-02-26,0,1
"27",2003-03-03,0,1
"28",2003-03-04,0,1
"29",2003-03-06,0,3
"30",2003-03-10,1,0
"31",2003-03-12,1,0
"32",2003-03-16,0,1
"33",2003-03-17,0,1
"34",2003-03-18,0,1
"35",2003-03-19,0,2
"36",2003-03-21,0,1
"37",2003-03-22,0,1
"38",2003-03-23,0,1
"39",2003-03-24,0,2
"40",2003-03-25,0,1
"41",2003-03-28,0,1
"42",2003-03-29,0,1
"43",2003-03-31,1,0
"44",2003-04-01,0,1
"45",2003-04-02,0,1
"46",2003-04-03,0,1
"47",2003-04-06,0,1
"48",2003-04-08,0,1
"49",2003-04-09,0,1
"50",2003-04-11,0,1
"51",2003-04-12,0,2
"52",2003-04-16,0,1
"53",2003-04-25,0,1
"54",2003-04-27,0,1
"55",2003-04-29,1,1
"56",2003-04-30,0,2
"57",2003-05-02,0,1
"58",2003-05-03,0,1
"59",2003-05-06,0,2
"60",2003-05-09,0,1
"61",2003-05-10,0,2
"62",2003-05-11,0,2
"63",2003-05-14,0,1
"64",2003-05-16,0,4
"65",2003-05-18,0,1
"66",2003-05-19,0,1
"67",2003-05-20,0,2
"68",2003-05-22,1,2
"69",2003-05-23,0,1
"70",2003-05-24,0,1
"71",2003-05-26,0,1
"72",2003-05-27,1,0
"73",2003-05-30,0,2
"74",2003-05-31,0,2
"75",2003-06-01,1,0
"76",2003-06-03,0,1
"77",2003-06-04,0,1
"78",2003-06-06,0,2
"79",2003-06-07,1,1
"80",2003-06-08,1,1
"81",2003-06-10,0,2
"82",2003-06-12,1,2
"83",2003-06-13,0,1
"84",2003-06-14,0,1
"85",2003-06-16,1,0
"86",2003-06-17,0,1
"87",2003-06-20,1,1
"88",2003-06-21,0,2
"89",2003-06-23,0,1
"90",2003-06-24,0,1
"91",2003-06-25,1,4
"92",2003-06-26,0,1
"93",2003-06-27,0,1
"94",2003-06-28,0,1
"95",2003-07-01,0,1
"96",2003-07-02,0,1
