"i","Date","Solved","Not Solved"
"1",2003-01-01,2,7
"2",2003-01-02,1,10
"3",2003-01-03,1,15
"4",2003-01-04,7,17
"5",2003-01-05,6,8
"6",2003-01-06,5,8
"7",2003-01-07,4,9
"8",2003-01-08,3,14
"9",2003-01-09,1,17
"10",2003-01-10,1,20
"11",2003-01-11,3,16
"12",2003-01-12,1,8
"13",2003-01-13,2,16
"14",2003-01-14,6,15
"15",2003-01-15,2,11
"16",2003-01-16,2,7
"17",2003-01-17,2,11
"18",2003-01-18,3,17
"19",2003-01-19,2,9
"20",2003-01-20,1,13
"21",2003-01-21,2,11
"22",2003-01-22,3,13
"23",2003-01-23,6,13
"24",2003-01-24,1,14
"25",2003-01-25,3,20
"26",2003-01-26,3,7
"27",2003-01-27,1,8
"28",2003-01-28,1,13
"29",2003-01-29,3,16
"30",2003-01-30,2,16
"31",2003-01-31,6,15
"32",2003-02-01,2,15
"33",2003-02-02,1,14
"34",2003-02-03,0,8
"35",2003-02-04,1,15
"36",2003-02-05,0,14
"37",2003-02-06,0,11
"38",2003-02-07,3,16
"39",2003-02-08,3,14
"40",2003-02-09,1,10
"41",2003-02-10,0,16
"42",2003-02-11,1,16
"43",2003-02-12,1,8
"44",2003-02-13,3,17
"45",2003-02-14,0,15
"46",2003-02-15,5,16
"47",2003-02-16,1,9
"48",2003-02-17,2,11
"49",2003-02-18,3,14
"50",2003-02-19,4,9
"51",2003-02-20,4,18
"52",2003-02-21,4,16
"53",2003-02-22,3,27
"54",2003-02-23,1,16
"55",2003-02-24,2,18
"56",2003-02-25,5,14
"57",2003-02-26,2,11
"58",2003-02-27,2,15
"59",2003-02-28,4,16
"60",2003-03-01,4,9
"61",2003-03-02,1,14
"62",2003-03-03,5,6
"63",2003-03-04,2,9
"64",2003-03-05,1,12
"65",2003-03-06,3,22
"66",2003-03-07,5,18
"67",2003-03-08,4,21
"68",2003-03-09,2,21
"69",2003-03-10,0,10
"70",2003-03-11,2,18
"71",2003-03-12,3,23
"72",2003-03-13,3,22
"73",2003-03-14,2,14
"74",2003-03-15,3,23
"75",2003-03-16,0,8
"76",2003-03-17,0,13
"77",2003-03-18,4,19
"78",2003-03-19,4,18
"79",2003-03-20,3,13
"80",2003-03-21,1,13
"81",2003-03-22,1,17
"82",2003-03-23,2,13
"83",2003-03-24,1,15
"84",2003-03-25,5,18
"85",2003-03-26,1,13
"86",2003-03-27,4,19
"87",2003-03-28,2,12
"88",2003-03-29,1,20
"89",2003-03-30,2,18
"90",2003-03-31,4,9
"91",2003-04-01,1,23
"92",2003-04-02,5,19
"93",2003-04-03,3,15
"94",2003-04-04,1,14
"95",2003-04-05,1,12
"96",2003-04-06,3,11
"97",2003-04-07,4,12
"98",2003-04-08,1,11
"99",2003-04-09,4,16
"100",2003-04-10,4,24
"101",2003-04-11,2,15
"102",2003-04-12,4,23
"103",2003-04-13,2,13
"104",2003-04-14,1,16
"105",2003-04-15,1,15
"106",2003-04-16,3,16
"107",2003-04-17,1,22
"108",2003-04-18,4,15
"109",2003-04-19,2,21
"110",2003-04-20,4,19
"111",2003-04-21,1,16
"112",2003-04-22,0,11
"113",2003-04-23,3,18
"114",2003-04-24,4,17
"115",2003-04-25,2,9
"116",2003-04-26,0,18
"117",2003-04-27,2,14
"118",2003-04-28,2,29
"119",2003-04-29,1,15
"120",2003-04-30,4,10
"121",2003-05-01,0,15
"122",2003-05-02,4,14
"123",2003-05-03,0,21
"124",2003-05-04,2,11
"125",2003-05-05,4,8
"126",2003-05-06,1,14
"127",2003-05-07,3,12
"128",2003-05-08,4,13
"129",2003-05-09,6,22
"130",2003-05-10,3,19
"131",2003-05-11,1,12
"132",2003-05-12,2,17
"133",2003-05-13,2,14
"134",2003-05-14,1,12
"135",2003-05-15,3,26
"136",2003-05-16,4,17
"137",2003-05-17,2,26
"138",2003-05-18,1,7
"139",2003-05-19,1,18
"140",2003-05-20,1,15
"141",2003-05-21,2,20
"142",2003-05-22,1,21
"143",2003-05-23,6,21
"144",2003-05-24,3,23
"145",2003-05-25,3,17
"146",2003-05-26,4,13
"147",2003-05-27,2,21
"148",2003-05-28,2,17
"149",2003-05-29,4,16
"150",2003-05-30,2,21
"151",2003-05-31,2,13
"152",2003-06-01,3,9
"153",2003-06-02,4,15
"154",2003-06-03,4,14
"155",2003-06-04,3,13
"156",2003-06-05,1,16
"157",2003-06-06,2,14
"158",2003-06-07,2,17
"159",2003-06-08,0,13
"160",2003-06-09,2,11
"161",2003-06-10,1,15
"162",2003-06-11,2,11
"163",2003-06-12,0,18
"164",2003-06-13,1,16
"165",2003-06-14,3,7
"166",2003-06-15,1,10
"167",2003-06-16,2,15
"168",2003-06-17,4,10
"169",2003-06-18,3,6
"170",2003-06-19,2,15
"171",2003-06-20,0,17
"172",2003-06-21,2,24
"173",2003-06-22,4,16
"174",2003-06-23,2,12
"175",2003-06-24,0,16
"176",2003-06-25,0,12
"177",2003-06-26,4,7
"178",2003-06-27,2,11
"179",2003-06-28,1,9
"180",2003-06-29,2,14
"181",2003-06-30,1,12
"182",2003-07-01,0,11
"183",2003-07-02,1,9
"184",2003-07-03,4,17
"185",2003-07-04,0,16
"186",2003-07-05,2,11
"187",2003-07-06,0,13
"188",2003-07-07,6,9
"189",2003-07-08,2,10
"190",2003-07-09,0,18
"191",2003-07-10,3,10
"192",2003-07-11,0,19
"193",2003-07-12,6,14
"194",2003-07-13,2,5
"195",2003-07-14,1,6
"196",2003-07-15,3,12
"197",2003-07-16,1,14
"198",2003-07-17,1,15
"199",2003-07-18,5,18
"200",2003-07-19,0,15
"201",2003-07-20,4,12
"202",2003-07-21,0,14
"203",2003-07-22,3,14
"204",2003-07-23,4,9
"205",2003-07-24,3,17
"206",2003-07-25,1,16
