"i","Date","Solved","Not Solved"
"1",2003-01-01,0,3
"2",2003-01-03,6,0
"3",2003-01-05,1,2
"4",2003-01-06,0,1
"5",2003-01-07,0,2
"6",2003-01-08,12,0
"7",2003-01-09,1,0
"8",2003-01-10,1,1
"9",2003-01-11,1,1
"10",2003-01-13,1,1
"11",2003-01-15,1,0
"12",2003-01-16,1,0
"13",2003-01-17,3,0
"14",2003-01-18,1,0
"15",2003-01-19,0,1
"16",2003-01-22,1,1
"17",2003-01-23,8,0
"18",2003-01-24,8,0
"19",2003-01-25,2,0
"20",2003-01-26,1,2
"21",2003-01-27,2,1
"22",2003-01-29,13,1
"23",2003-01-30,1,0
"24",2003-01-31,1,2
"25",2003-02-02,1,0
"26",2003-02-03,2,0
"27",2003-02-04,1,1
"28",2003-02-05,2,0
"29",2003-02-06,1,3
"30",2003-02-08,4,0
"31",2003-02-10,7,0
"32",2003-02-11,3,2
"33",2003-02-13,3,0
"34",2003-02-14,0,1
"35",2003-02-15,0,2
"36",2003-02-16,4,0
"37",2003-02-17,3,1
"38",2003-02-18,3,0
"39",2003-02-19,3,2
"40",2003-02-20,3,1
"41",2003-02-21,1,0
"42",2003-02-22,1,1
"43",2003-02-23,1,0
"44",2003-02-24,1,0
"45",2003-02-25,3,1
"46",2003-02-26,5,1
"47",2003-02-28,2,1
"48",2003-03-01,2,0
"49",2003-03-02,3,1
"50",2003-03-03,2,1
"51",2003-03-04,0,2
"52",2003-03-05,1,0
"53",2003-03-06,2,0
"54",2003-03-07,4,0
"55",2003-03-08,1,1
"56",2003-03-09,1,1
"57",2003-03-10,7,0
"58",2003-03-11,3,0
"59",2003-03-12,4,0
"60",2003-03-13,5,0
"61",2003-03-14,0,1
"62",2003-03-15,3,1
"63",2003-03-16,2,1
"64",2003-03-17,1,0
"65",2003-03-18,3,0
"66",2003-03-19,3,1
"67",2003-03-20,0,2
"68",2003-03-21,3,2
"69",2003-03-22,0,1
"70",2003-03-24,1,1
"71",2003-03-25,0,1
"72",2003-03-26,2,1
"73",2003-03-27,13,1
"74",2003-03-28,1,0
"75",2003-03-29,2,0
"76",2003-03-30,1,0
"77",2003-03-31,0,1
"78",2003-04-01,1,2
"79",2003-04-02,2,0
"80",2003-04-03,1,0
"81",2003-04-04,1,2
"82",2003-04-05,0,1
"83",2003-04-06,4,2
"84",2003-04-07,3,2
"85",2003-04-08,1,0
"86",2003-04-09,1,1
"87",2003-04-10,3,2
"88",2003-04-11,0,2
"89",2003-04-12,1,1
"90",2003-04-13,2,1
"91",2003-04-15,2,1
"92",2003-04-16,1,1
"93",2003-04-17,1,0
"94",2003-04-18,2,2
"95",2003-04-21,0,1
"96",2003-04-22,0,2
"97",2003-04-23,1,3
"98",2003-04-24,1,0
"99",2003-04-27,2,1
"100",2003-04-29,7,2
"101",2003-05-01,1,1
"102",2003-05-02,1,1
"103",2003-05-05,1,3
"104",2003-05-06,4,0
"105",2003-05-07,1,0
"106",2003-05-08,2,1
"107",2003-05-09,3,2
"108",2003-05-10,3,1
"109",2003-05-11,0,1
"110",2003-05-12,1,0
"111",2003-05-13,1,0
"112",2003-05-14,2,3
"113",2003-05-15,6,2
"114",2003-05-16,2,1
"115",2003-05-19,5,1
"116",2003-05-20,2,1
"117",2003-05-21,1,0
"118",2003-05-22,1,1
"119",2003-05-23,1,0
"120",2003-05-25,1,2
"121",2003-05-26,1,1
"122",2003-05-27,1,2
"123",2003-05-28,1,0
"124",2003-05-29,1,1
"125",2003-05-30,1,2
"126",2003-06-02,2,1
"127",2003-06-03,0,1
"128",2003-06-04,9,1
"129",2003-06-05,3,0
"130",2003-06-06,2,0
"131",2003-06-07,1,1
"132",2003-06-09,2,0
"133",2003-06-11,2,0
"134",2003-06-14,7,0
"135",2003-06-15,1,1
"136",2003-06-16,1,1
"137",2003-06-17,0,2
"138",2003-06-18,2,0
"139",2003-06-21,1,0
"140",2003-06-22,1,1
"141",2003-06-24,1,0
"142",2003-06-25,1,0
"143",2003-06-26,3,1
"144",2003-06-28,2,0
"145",2003-06-29,1,0
"146",2003-06-30,2,1
"147",2003-07-01,2,0
"148",2003-07-02,0,2
"149",2003-07-03,1,0
"150",2003-07-04,1,0
"151",2003-07-05,2,1
"152",2003-07-07,2,1
"153",2003-07-08,5,0
"154",2003-07-09,3,1
"155",2003-07-10,6,0
"156",2003-07-11,1,0
"157",2003-07-12,0,1
"158",2003-07-13,3,0
"159",2003-07-14,0,2
"160",2003-07-15,4,1
"161",2003-07-16,3,2
"162",2003-07-17,4,1
"163",2003-07-18,1,0
"164",2003-07-19,1,0
"165",2003-07-20,7,0
"166",2003-07-21,3,0
"167",2003-07-22,0,1
"168",2003-07-23,1,1
"169",2003-07-25,2,1
"170",2003-07-26,4,0
"171",2003-07-27,0,1
"172",2003-07-28,1,0
"173",2003-07-29,1,0
"174",2003-07-30,1,0
"175",2003-08-01,5,0
"176",2003-08-02,1,0
"177",2003-08-03,0,1
"178",2003-08-04,2,0
"179",2003-08-05,3,0
"180",2003-08-06,1,2
"181",2003-08-07,3,0
"182",2003-08-08,0,2
"183",2003-08-09,2,2
"184",2003-08-10,1,0
"185",2003-08-12,1,1
"186",2003-08-13,1,0
"187",2003-08-14,1,2
"188",2003-08-15,1,0
"189",2003-08-16,0,2
"190",2003-08-20,1,0
"191",2003-08-21,0,1
"192",2003-08-22,4,0
"193",2003-08-23,1,1
"194",2003-08-24,2,1
"195",2003-08-25,3,1
"196",2003-08-26,7,1
"197",2003-08-27,3,0
"198",2003-08-28,1,0
"199",2003-08-29,1,0
"200",2003-08-31,2,1
"201",2003-09-01,4,1
"202",2003-09-02,1,1
"203",2003-09-03,1,2
"204",2003-09-04,0,1
"205",2003-09-05,2,1
"206",2003-09-06,1,2
"207",2003-09-07,0,2
"208",2003-09-08,1,0
"209",2003-09-09,4,1
"210",2003-09-10,2,1
"211",2003-09-11,1,0
"212",2003-09-12,3,2
"213",2003-09-13,5,1
"214",2003-09-14,2,1
"215",2003-09-15,3,0
"216",2003-09-16,4,1
"217",2003-09-17,4,0
"218",2003-09-18,0,2
"219",2003-09-20,3,0
"220",2003-09-22,8,0
"221",2003-09-23,5,0
"222",2003-09-24,5,0
"223",2003-09-25,0,3
