"i","Date","Solved","Not Solved"
"1",2003-01-01,10,0
"2",2003-01-02,30,0
"3",2003-01-03,28,3
"4",2003-01-04,35,3
"5",2003-01-05,27,0
"6",2003-01-06,25,2
"7",2003-01-07,36,2
"8",2003-01-08,32,7
"9",2003-01-09,38,5
"10",2003-01-10,28,1
"11",2003-01-11,37,3
"12",2003-01-12,21,1
"13",2003-01-13,24,0
"14",2003-01-14,27,1
"15",2003-01-15,30,3
"16",2003-01-16,33,0
"17",2003-01-17,31,7
"18",2003-01-18,29,2
"19",2003-01-19,20,0
"20",2003-01-20,25,2
"21",2003-01-21,41,0
"22",2003-01-22,26,1
"23",2003-01-23,37,1
"24",2003-01-24,28,1
"25",2003-01-25,30,2
"26",2003-01-26,22,1
"27",2003-01-27,19,2
"28",2003-01-28,53,0
"29",2003-01-29,41,5
"30",2003-01-30,40,0
"31",2003-01-31,32,1
"32",2003-02-01,23,0
"33",2003-02-02,30,1
"34",2003-02-03,26,0
"35",2003-02-04,38,4
"36",2003-02-05,51,2
"37",2003-02-06,56,4
"38",2003-02-07,50,4
"39",2003-02-08,38,3
"40",2003-02-09,38,1
"41",2003-02-10,28,2
"42",2003-02-11,41,0
"43",2003-02-12,41,7
"44",2003-02-13,28,8
"45",2003-02-14,18,4
"46",2003-02-15,25,1
"47",2003-02-16,11,0
"48",2003-02-17,20,1
"49",2003-02-18,30,1
"50",2003-02-19,30,0
"51",2003-02-20,25,1
"52",2003-02-21,32,3
"53",2003-02-22,18,5
"54",2003-02-23,21,1
"55",2003-02-24,23,2
"56",2003-02-25,15,2
"57",2003-02-26,32,4
"58",2003-02-27,33,3
"59",2003-02-28,21,4
"60",2003-03-01,40,0
"61",2003-03-02,20,0
"62",2003-03-03,21,1
"63",2003-03-04,26,1
"64",2003-03-05,40,0
"65",2003-03-06,12,1
"66",2003-03-07,24,1
"67",2003-03-08,18,4
"68",2003-03-09,31,1
"69",2003-03-10,38,0
"70",2003-03-11,35,1
"71",2003-03-12,38,0
"72",2003-03-13,32,1
"73",2003-03-14,30,1
"74",2003-03-15,29,1
"75",2003-03-16,18,1
"76",2003-03-17,12,2
"77",2003-03-18,22,0
"78",2003-03-19,26,1
"79",2003-03-20,15,0
"80",2003-03-21,1,0
"81",2003-03-22,5,0
"82",2003-03-23,10,1
"83",2003-03-24,1,0
"84",2003-03-25,4,1
"85",2003-03-26,15,1
"86",2003-03-27,20,5
"87",2003-03-28,30,3
"88",2003-03-29,23,1
"89",2003-03-30,28,1
"90",2003-03-31,24,0
"91",2003-04-01,13,0
"92",2003-04-02,37,6
"93",2003-04-03,26,3
"94",2003-04-04,43,3
"95",2003-04-05,24,4
"96",2003-04-06,19,2
"97",2003-04-07,7,0
"98",2003-04-08,15,3
"99",2003-04-09,31,9
"100",2003-04-10,38,1
"101",2003-04-11,41,5
"102",2003-04-12,35,1
"103",2003-04-13,15,1
"104",2003-04-14,30,0
"105",2003-04-15,56,3
"106",2003-04-16,32,1
"107",2003-04-17,22,1
"108",2003-04-18,23,7
"109",2003-04-19,21,6
"110",2003-04-20,13,0
"111",2003-04-21,18,0
"112",2003-04-22,18,3
"113",2003-04-23,46,5
"114",2003-04-24,37,3
"115",2003-04-25,24,5
"116",2003-04-26,30,1
"117",2003-04-27,18,0
"118",2003-04-28,21,1
"119",2003-04-29,23,2
"120",2003-04-30,30,2
"121",2003-05-01,36,2
"122",2003-05-02,35,1
"123",2003-05-03,24,1
"124",2003-05-04,21,1
"125",2003-05-05,22,1
"126",2003-05-06,29,0
"127",2003-05-07,50,4
"128",2003-05-08,28,1
"129",2003-05-09,36,2
"130",2003-05-10,28,0
"131",2003-05-11,16,0
"132",2003-05-12,14,1
"133",2003-05-13,22,2
"134",2003-05-14,60,4
"135",2003-05-15,29,3
"136",2003-05-16,32,1
"137",2003-05-17,26,1
"138",2003-05-18,21,2
"139",2003-05-19,16,0
"140",2003-05-20,23,0
"141",2003-05-21,26,0
"142",2003-05-22,30,4
"143",2003-05-23,19,0
"144",2003-05-24,22,1
"145",2003-05-25,48,2
"146",2003-05-26,15,0
"147",2003-05-27,18,0
"148",2003-05-28,17,5
"149",2003-05-29,29,2
"150",2003-05-30,23,1
"151",2003-05-31,17,3
"152",2003-06-01,21,1
"153",2003-06-02,27,1
"154",2003-06-03,57,2
"155",2003-06-04,32,1
"156",2003-06-05,28,1
"157",2003-06-06,37,2
"158",2003-06-07,32,0
"159",2003-06-08,13,1
"160",2003-06-09,19,1
"161",2003-06-10,38,1
"162",2003-06-11,33,0
"163",2003-06-12,37,0
"164",2003-06-13,16,1
"165",2003-06-14,25,3
"166",2003-06-15,20,2
"167",2003-06-16,13,2
"168",2003-06-17,10,0
"169",2003-06-18,21,4
"170",2003-06-19,20,4
"171",2003-06-20,20,2
"172",2003-06-21,21,0
"173",2003-06-22,18,2
"174",2003-06-23,17,0
"175",2003-06-24,17,2
"176",2003-06-25,34,4
"177",2003-06-26,25,0
"178",2003-06-27,23,3
"179",2003-06-28,15,1
"180",2003-06-29,10,0
"181",2003-06-30,12,1
"182",2003-07-01,22,3
"183",2003-07-02,38,14
"184",2003-07-03,9,19
"185",2003-07-04,34,2
"186",2003-07-05,15,0
"187",2003-07-06,25,0
"188",2003-07-07,25,1
"189",2003-07-08,15,4
"190",2003-07-09,25,4
"191",2003-07-10,34,2
"192",2003-07-11,19,1
"193",2003-07-12,23,0
"194",2003-07-13,17,3
"195",2003-07-14,19,0
"196",2003-07-15,17,1
"197",2003-07-16,27,4
"198",2003-07-17,41,4
"199",2003-07-18,20,2
"200",2003-07-19,27,0
"201",2003-07-20,18,0
"202",2003-07-21,22,0
"203",2003-07-22,19,0
"204",2003-07-23,24,1
"205",2003-07-24,18,3
"206",2003-07-25,29,0
"207",2003-07-26,15,2
"208",2003-07-27,19,3
"209",2003-07-28,35,0
"210",2003-07-29,18,1
"211",2003-07-30,24,1
"212",2003-07-31,18,2
"213",2003-08-01,23,3
"214",2003-08-02,42,1
"215",2003-08-03,26,2
"216",2003-08-04,23,0
"217",2003-08-05,23,0
"218",2003-08-06,25,0
"219",2003-08-07,34,4
"220",2003-08-08,36,4
"221",2003-08-09,18,2
"222",2003-08-10,22,1
"223",2003-08-11,21,0
"224",2003-08-12,29,0
"225",2003-08-13,27,0
"226",2003-08-14,34,2
"227",2003-08-15,20,2
"228",2003-08-16,26,2
"229",2003-08-17,26,0
"230",2003-08-18,25,0
"231",2003-08-19,25,0
"232",2003-08-20,26,0
"233",2003-08-21,21,1
"234",2003-08-22,29,4
"235",2003-08-23,43,1
"236",2003-08-24,25,1
"237",2003-08-25,16,0
"238",2003-08-26,25,0
"239",2003-08-27,27,1
"240",2003-08-28,45,1
"241",2003-08-29,17,3
