"i","Date","Solved","Not Solved"
"1",2003-01-01,3,0
"2",2003-01-02,2,1
"3",2003-01-03,1,0
"4",2003-01-04,1,0
"5",2003-01-05,1,0
"6",2003-01-06,2,0
"7",2003-01-07,2,0
"8",2003-01-08,4,0
"9",2003-01-09,1,0
"10",2003-01-10,1,0
"11",2003-01-11,3,0
"12",2003-01-12,4,1
"13",2003-01-13,4,0
"14",2003-01-14,3,0
"15",2003-01-15,1,1
"16",2003-01-16,2,0
"17",2003-01-17,2,0
"18",2003-01-18,2,0
"19",2003-01-19,3,0
"20",2003-01-21,2,0
"21",2003-01-23,1,0
"22",2003-01-24,3,1
"23",2003-01-25,4,0
"24",2003-01-26,3,0
"25",2003-01-27,5,0
"26",2003-01-28,3,0
"27",2003-01-29,4,0
"28",2003-01-30,2,0
"29",2003-01-31,1,0
"30",2003-02-01,3,0
"31",2003-02-02,2,0
"32",2003-02-03,4,0
"33",2003-02-04,1,0
"34",2003-02-05,0,1
"35",2003-02-06,1,0
"36",2003-02-07,6,0
"37",2003-02-08,4,0
"38",2003-02-09,2,0
"39",2003-02-10,2,0
"40",2003-02-12,3,0
"41",2003-02-13,1,1
"42",2003-02-14,2,0
"43",2003-02-15,4,0
"44",2003-02-16,1,1
"45",2003-02-17,4,0
"46",2003-02-18,1,0
"47",2003-02-19,2,0
"48",2003-02-20,1,0
"49",2003-02-21,2,1
"50",2003-02-23,1,0
"51",2003-02-24,1,0
"52",2003-02-25,3,0
"53",2003-02-26,3,0
"54",2003-02-27,1,1
"55",2003-02-28,3,0
"56",2003-03-01,5,0
"57",2003-03-02,1,0
"58",2003-03-03,4,0
"59",2003-03-04,1,0
"60",2003-03-05,3,0
"61",2003-03-07,2,1
"62",2003-03-08,3,0
"63",2003-03-09,1,1
"64",2003-03-10,1,0
"65",2003-03-12,2,0
"66",2003-03-13,1,0
"67",2003-03-14,1,0
"68",2003-03-15,4,0
"69",2003-03-17,1,0
"70",2003-03-18,3,0
"71",2003-03-20,2,0
"72",2003-03-22,1,0
"73",2003-03-23,2,1
"74",2003-03-24,1,0
"75",2003-03-25,1,0
"76",2003-03-26,2,0
"77",2003-03-27,1,1
"78",2003-03-28,2,0
"79",2003-03-29,3,0
"80",2003-03-30,2,0
"81",2003-03-31,2,1
"82",2003-04-01,3,0
"83",2003-04-03,2,1
"84",2003-04-04,0,1
"85",2003-04-05,1,0
"86",2003-04-06,1,0
"87",2003-04-08,3,0
"88",2003-04-11,1,1
"89",2003-04-12,1,0
"90",2003-04-13,0,1
"91",2003-04-14,5,0
"92",2003-04-15,3,0
"93",2003-04-16,1,0
"94",2003-04-17,3,0
"95",2003-04-18,3,0
"96",2003-04-19,3,0
"97",2003-04-21,1,2
"98",2003-04-22,1,0
"99",2003-04-23,1,1
"100",2003-04-24,1,0
"101",2003-04-25,4,0
"102",2003-04-26,3,0
"103",2003-04-27,3,1
"104",2003-04-28,1,0
"105",2003-04-29,1,0
"106",2003-04-30,2,0
"107",2003-05-01,1,0
"108",2003-05-02,7,0
"109",2003-05-03,2,0
"110",2003-05-04,1,0
"111",2003-05-05,1,0
"112",2003-05-06,2,0
"113",2003-05-08,5,0
"114",2003-05-09,3,0
"115",2003-05-10,2,0
"116",2003-05-11,3,0
"117",2003-05-12,5,0
"118",2003-05-13,1,0
"119",2003-05-14,1,0
"120",2003-05-15,5,0
"121",2003-05-16,4,0
"122",2003-05-17,3,0
"123",2003-05-18,3,0
"124",2003-05-20,1,0
"125",2003-05-21,3,0
"126",2003-05-24,0,1
"127",2003-05-27,2,0
"128",2003-05-30,1,0
"129",2003-05-31,2,0
"130",2003-06-01,4,0
"131",2003-06-02,1,0
"132",2003-06-03,1,2
"133",2003-06-04,1,0
"134",2003-06-05,3,0
"135",2003-06-06,1,0
"136",2003-06-07,3,0
"137",2003-06-08,1,0
"138",2003-06-09,7,0
"139",2003-06-10,1,0
"140",2003-06-12,1,0
"141",2003-06-13,1,0
"142",2003-06-14,2,0
"143",2003-06-15,3,0
"144",2003-06-16,2,0
"145",2003-06-17,0,1
"146",2003-06-19,2,0
"147",2003-06-20,2,0
"148",2003-06-21,2,0
"149",2003-06-24,1,0
"150",2003-06-25,2,0
"151",2003-06-26,0,1
"152",2003-06-27,0,1
"153",2003-06-28,4,0
"154",2003-06-29,3,0
"155",2003-06-30,1,0
"156",2003-07-01,1,0
"157",2003-07-02,3,0
"158",2003-07-03,1,0
"159",2003-07-04,2,0
"160",2003-07-05,2,0
"161",2003-07-06,4,0
"162",2003-07-07,3,0
"163",2003-07-08,1,0
"164",2003-07-09,1,0
"165",2003-07-10,1,0
"166",2003-07-11,3,0
"167",2003-07-12,5,0
"168",2003-07-13,1,0
"169",2003-07-14,1,0
"170",2003-07-15,5,0
"171",2003-07-16,1,0
"172",2003-07-17,2,0
"173",2003-07-19,3,0
"174",2003-07-20,3,0
"175",2003-07-22,3,0
"176",2003-07-23,3,0
"177",2003-07-24,1,0
"178",2003-07-25,2,0
"179",2003-07-26,3,0
"180",2003-07-27,1,0
"181",2003-07-28,1,0
"182",2003-07-29,1,0
"183",2003-07-30,1,0
"184",2003-08-01,1,0
"185",2003-08-02,2,0
"186",2003-08-03,1,0
"187",2003-08-05,1,0
"188",2003-08-07,4,0
"189",2003-08-08,2,0
"190",2003-08-09,1,0
"191",2003-08-10,1,1
"192",2003-08-11,1,0
"193",2003-08-12,1,0
"194",2003-08-13,1,0
"195",2003-08-14,1,0
"196",2003-08-16,1,0
"197",2003-08-18,1,0
"198",2003-08-21,2,0
"199",2003-08-22,1,0
"200",2003-08-24,4,0
"201",2003-08-25,2,0
"202",2003-08-26,1,0
"203",2003-08-27,4,0
"204",2003-08-28,1,0
"205",2003-08-29,0,1
"206",2003-08-30,0,1
"207",2003-08-31,4,0
"208",2003-09-01,2,0
"209",2003-09-02,1,0
"210",2003-09-03,1,0
"211",2003-09-06,1,0
"212",2003-09-07,2,0
"213",2003-09-08,1,0
"214",2003-09-10,1,0
"215",2003-09-11,2,0
"216",2003-09-12,1,0
"217",2003-09-13,1,0
"218",2003-09-14,1,0
"219",2003-09-15,2,0
"220",2003-09-16,2,0
"221",2003-09-17,2,0
"222",2003-09-18,1,0
"223",2003-09-19,2,0
"224",2003-09-20,3,0
"225",2003-09-21,2,0
"226",2003-09-22,2,0
"227",2003-09-23,1,1
"228",2003-09-25,1,0
"229",2003-09-26,1,0
"230",2003-09-27,3,0
"231",2003-09-28,3,0
"232",2003-09-29,2,0
"233",2003-09-30,1,0
"234",2003-10-01,2,1
"235",2003-10-02,3,0
"236",2003-10-03,2,1
"237",2003-10-04,1,0
"238",2003-10-05,4,1
"239",2003-10-06,2,0
"240",2003-10-07,3,0
"241",2003-10-08,1,0
"242",2003-10-09,1,0
"243",2003-10-10,1,0
"244",2003-10-11,3,0
"245",2003-10-12,5,0
"246",2003-10-13,2,0
"247",2003-10-14,1,0
"248",2003-10-16,1,0
"249",2003-10-17,1,0
"250",2003-10-19,2,0
"251",2003-10-20,2,0
"252",2003-10-23,1,0
"253",2003-10-24,1,1
"254",2003-10-25,1,0
"255",2003-10-26,3,1
"256",2003-10-27,1,0
"257",2003-10-28,3,0
"258",2003-10-29,6,0
"259",2003-10-30,1,0
"260",2003-10-31,1,0
"261",2003-11-01,7,0
"262",2003-11-02,3,0
"263",2003-11-03,1,0
"264",2003-11-04,1,0
"265",2003-11-05,2,0
"266",2003-11-08,2,0
"267",2003-11-11,1,0
"268",2003-11-12,1,0
"269",2003-11-13,1,0
"270",2003-11-14,3,0
"271",2003-11-15,3,0
"272",2003-11-16,3,0
"273",2003-11-17,2,1
"274",2003-11-18,2,0
"275",2003-11-20,2,1
"276",2003-11-21,1,0
"277",2003-11-22,4,0
"278",2003-11-23,1,0
"279",2003-11-24,1,0
"280",2003-11-26,1,1
"281",2003-11-27,1,0
"282",2003-11-28,1,1
"283",2003-11-29,1,0
"284",2003-11-30,2,0
"285",2003-12-01,1,0
"286",2003-12-02,1,0
"287",2003-12-03,1,1
"288",2003-12-04,1,0
"289",2003-12-05,2,0
"290",2003-12-06,2,1
"291",2003-12-07,1,0
"292",2003-12-08,2,0
"293",2003-12-09,2,0
"294",2003-12-13,4,0
"295",2003-12-15,3,0
"296",2003-12-17,4,0
"297",2003-12-18,1,0
"298",2003-12-19,1,0
"299",2003-12-20,3,0
"300",2003-12-21,2,0
"301",2003-12-22,3,0
"302",2003-12-23,1,0
"303",2003-12-24,1,0
"304",2003-12-26,2,0
"305",2003-12-27,1,0
"306",2003-12-28,2,0
"307",2003-12-30,0,1
"308",2003-12-31,1,0
"309",2004-01-01,2,0
"310",2004-01-02,3,0
"311",2004-01-03,1,1
"312",2004-01-04,3,0
"313",2004-01-05,1,0
"314",2004-01-08,1,0
"315",2004-01-10,3,0
"316",2004-01-11,1,0
"317",2004-01-12,2,0
"318",2004-01-14,1,0
"319",2004-01-15,2,0
"320",2004-01-16,3,0
"321",2004-01-17,1,0
"322",2004-01-18,1,0
"323",2004-01-19,3,0
"324",2004-01-20,1,0
"325",2004-01-21,1,0
"326",2004-01-24,3,1
"327",2004-01-25,3,0
"328",2004-01-26,4,1
"329",2004-01-30,1,0
"330",2004-01-31,6,0
"331",2004-02-01,3,0
"332",2004-02-02,1,0
"333",2004-02-03,3,0
"334",2004-02-04,6,0
"335",2004-02-06,2,0
"336",2004-02-07,4,0
"337",2004-02-10,3,0
"338",2004-02-11,2,0
"339",2004-02-12,3,0
"340",2004-02-13,2,0
"341",2004-02-14,2,0
"342",2004-02-15,2,0
"343",2004-02-16,1,0
"344",2004-02-17,2,0
"345",2004-02-18,1,0
"346",2004-02-19,1,0
"347",2004-02-20,1,0
"348",2004-02-21,3,0
"349",2004-02-22,4,0
"350",2004-02-23,1,0
"351",2004-02-24,2,0
"352",2004-02-25,1,0
"353",2004-02-26,2,0
"354",2004-02-28,3,0
"355",2004-02-29,2,0
"356",2004-03-01,2,0
"357",2004-03-02,2,0
"358",2004-03-04,1,0
"359",2004-03-05,4,0
"360",2004-03-06,4,0
"361",2004-03-07,5,1
"362",2004-03-08,2,0
"363",2004-03-09,3,0
"364",2004-03-10,3,0
"365",2004-03-11,2,0
"366",2004-03-13,1,0
"367",2004-03-14,2,0
"368",2004-03-16,1,1
"369",2004-03-17,1,0
"370",2004-03-18,2,1
"371",2004-03-20,2,0
