"i","Date","Solved","Not Solved"
"1",2003-01-01,0,2
"2",2003-01-02,3,2
"3",2003-01-04,1,0
"4",2003-01-07,0,1
"5",2003-01-08,2,0
"6",2003-01-09,0,1
"7",2003-01-10,0,1
"8",2003-01-12,1,0
"9",2003-01-15,1,1
"10",2003-01-16,0,2
"11",2003-01-21,0,2
"12",2003-01-22,0,1
"13",2003-01-25,1,0
"14",2003-01-27,1,0
"15",2003-01-28,0,1
"16",2003-01-30,1,1
"17",2003-01-31,0,1
"18",2003-02-01,1,1
"19",2003-02-02,0,3
"20",2003-02-03,0,1
"21",2003-02-04,1,2
"22",2003-02-06,0,1
"23",2003-02-11,0,1
"24",2003-02-12,0,1
"25",2003-02-16,0,1
"26",2003-02-17,0,1
"27",2003-02-18,1,1
"28",2003-02-23,1,0
"29",2003-02-24,0,1
"30",2003-02-25,0,1
"31",2003-02-26,0,1
"32",2003-02-27,0,1
"33",2003-02-28,0,1
"34",2003-03-01,1,0
"35",2003-03-02,0,1
"36",2003-03-04,0,1
"37",2003-03-06,1,1
"38",2003-03-08,0,1
"39",2003-03-12,0,2
"40",2003-03-13,1,0
"41",2003-03-14,1,0
"42",2003-03-20,0,1
"43",2003-03-21,0,1
"44",2003-03-26,0,1
"45",2003-03-27,1,0
"46",2003-03-29,0,1
"47",2003-03-31,1,0
"48",2003-04-01,2,4
"49",2003-04-02,0,3
"50",2003-04-04,2,1
"51",2003-04-05,0,1
"52",2003-04-06,1,0
"53",2003-04-12,0,1
"54",2003-04-13,0,1
"55",2003-04-14,0,3
"56",2003-04-15,0,1
"57",2003-04-17,0,1
"58",2003-04-18,1,0
"59",2003-04-19,1,1
"60",2003-04-22,1,0
"61",2003-04-23,0,1
"62",2003-04-24,0,2
"63",2003-04-26,0,1
"64",2003-04-27,1,0
"65",2003-04-29,0,3
"66",2003-04-30,0,1
"67",2003-05-01,1,4
"68",2003-05-02,1,1
"69",2003-05-03,0,1
"70",2003-05-04,0,1
"71",2003-05-05,0,1
"72",2003-05-06,0,1
"73",2003-05-08,0,1
"74",2003-05-11,1,1
"75",2003-05-12,1,0
"76",2003-05-13,0,1
"77",2003-05-14,0,1
"78",2003-05-15,0,1
"79",2003-05-17,0,1
"80",2003-05-19,1,0
"81",2003-05-21,0,1
"82",2003-06-03,1,2
"83",2003-06-06,0,2
"84",2003-06-07,0,2
"85",2003-06-11,1,0
"86",2003-06-17,0,1
"87",2003-06-18,0,1
"88",2003-06-21,0,1
"89",2003-06-24,0,1
"90",2003-06-27,0,2
"91",2003-07-01,0,2
"92",2003-07-02,1,1
"93",2003-07-03,0,2
"94",2003-07-07,0,1
"95",2003-07-08,0,1
"96",2003-07-11,0,2
"97",2003-07-12,1,1
"98",2003-07-15,1,1
"99",2003-07-19,0,1
"100",2003-07-20,1,0
"101",2003-07-21,1,0
"102",2003-07-26,0,2
"103",2003-08-01,0,1
"104",2003-08-05,0,1
"105",2003-08-06,1,0
"106",2003-08-07,0,1
"107",2003-08-11,0,1
"108",2003-08-16,0,1
"109",2003-08-19,0,1
"110",2003-08-20,0,1
"111",2003-08-22,0,1
"112",2003-08-23,1,0
"113",2003-08-27,1,0
"114",2003-08-29,0,1
"115",2003-08-30,0,1
"116",2003-09-01,1,1
"117",2003-09-02,1,3
"118",2003-09-03,1,0
"119",2003-09-06,0,1
"120",2003-09-08,0,1
"121",2003-09-09,0,1
"122",2003-09-11,0,1
"123",2003-09-15,0,2
"124",2003-09-17,0,1
"125",2003-09-20,1,1
"126",2003-09-22,0,1
"127",2003-09-25,0,1
"128",2003-09-28,1,0
"129",2003-09-30,1,1
"130",2003-10-01,0,2
"131",2003-10-02,0,1
"132",2003-10-07,1,1
"133",2003-10-09,1,0
"134",2003-10-11,1,0
"135",2003-10-14,0,1
"136",2003-10-17,0,1
"137",2003-10-25,1,0
"138",2003-10-27,0,3
"139",2003-10-28,1,1
"140",2003-10-30,0,2
"141",2003-11-01,2,0
"142",2003-11-02,1,1
"143",2003-11-05,0,3
"144",2003-11-14,0,1
"145",2003-11-15,1,0
"146",2003-11-16,0,1
"147",2003-11-18,0,1
"148",2003-11-19,1,0
"149",2003-11-22,1,0
"150",2003-11-27,1,0
"151",2003-11-28,0,1
"152",2003-11-29,1,0
"153",2003-12-01,0,2
"154",2003-12-02,1,0
"155",2003-12-04,1,0
"156",2003-12-06,0,1
"157",2003-12-09,0,1
"158",2003-12-11,0,1
"159",2003-12-12,0,2
"160",2003-12-16,0,1
"161",2003-12-17,1,1
"162",2003-12-19,1,0
"163",2003-12-23,0,1
"164",2003-12-25,0,1
"165",2003-12-27,0,1
"166",2003-12-30,1,0
"167",2003-12-31,1,1
"168",2004-01-01,1,3
"169",2004-01-03,0,1
"170",2004-01-08,0,1
"171",2004-01-11,0,1
"172",2004-01-13,1,0
"173",2004-01-16,0,1
"174",2004-01-22,1,0
"175",2004-01-26,0,1
"176",2004-01-28,1,0
"177",2004-01-29,1,0
"178",2004-01-30,0,1
"179",2004-02-02,1,0
"180",2004-02-03,1,0
"181",2004-02-04,1,1
"182",2004-02-05,1,0
"183",2004-02-14,0,1
"184",2004-02-16,1,0
"185",2004-02-20,1,0
"186",2004-02-23,1,0
"187",2004-02-24,0,1
"188",2004-03-01,0,1
"189",2004-03-02,0,2
"190",2004-03-03,1,0
"191",2004-03-04,0,1
"192",2004-03-06,0,1
"193",2004-03-08,0,1
"194",2004-03-12,1,1
"195",2004-03-16,0,1
"196",2004-03-17,0,1
"197",2004-03-19,0,1
"198",2004-03-21,1,1
"199",2004-03-25,0,1
"200",2004-03-30,0,1
"201",2004-04-01,2,3
"202",2004-04-02,0,1
"203",2004-04-04,0,1
"204",2004-04-05,1,0
"205",2004-04-06,0,1
"206",2004-04-10,0,1
"207",2004-04-15,1,0
"208",2004-04-17,0,2
"209",2004-04-19,0,1
"210",2004-04-24,0,1
"211",2004-04-26,1,0
"212",2004-04-27,0,2
"213",2004-04-28,1,0
"214",2004-04-29,0,1
"215",2004-04-30,2,2
"216",2004-05-01,0,1
"217",2004-05-04,0,1
"218",2004-05-06,0,1
"219",2004-05-08,1,1
"220",2004-05-12,0,1
"221",2004-05-17,1,1
"222",2004-05-20,0,1
"223",2004-05-21,0,2
"224",2004-05-22,0,1
"225",2004-05-24,0,1
"226",2004-05-30,1,1
"227",2004-05-31,1,0
"228",2004-06-01,1,0
"229",2004-06-03,1,1
"230",2004-06-04,1,0
"231",2004-06-14,0,1
"232",2004-06-15,1,1
"233",2004-06-20,0,1
"234",2004-06-22,0,1
"235",2004-06-23,0,1
"236",2004-06-25,0,1
"237",2004-06-30,1,1
"238",2004-07-01,3,0
"239",2004-07-02,0,1
"240",2004-07-03,0,1
"241",2004-07-04,0,1
"242",2004-07-11,0,1
"243",2004-07-16,0,1
"244",2004-07-18,0,2
"245",2004-07-19,0,1
"246",2004-07-20,1,0
"247",2004-07-22,0,1
"248",2004-07-23,0,1
"249",2004-07-25,0,1
"250",2004-07-27,0,1
"251",2004-07-29,0,1
"252",2004-07-30,0,1
"253",2004-08-01,1,1
"254",2004-08-02,0,1
"255",2004-08-04,1,0
"256",2004-08-11,2,0
"257",2004-08-14,0,1
"258",2004-08-15,0,1
"259",2004-08-21,0,1
"260",2004-08-22,1,0
"261",2004-08-26,0,1
"262",2004-08-28,0,3
"263",2004-08-30,0,1
"264",2004-08-31,0,1
"265",2004-09-01,0,1
"266",2004-09-02,1,1
"267",2004-09-07,0,1
"268",2004-09-08,0,2
"269",2004-09-09,1,0
"270",2004-09-13,1,1
"271",2004-09-16,0,2
"272",2004-09-17,0,1
"273",2004-09-21,0,1
"274",2004-09-22,1,1
"275",2004-09-26,1,0
"276",2004-10-01,1,2
"277",2004-10-04,2,0
"278",2004-10-05,0,1
"279",2004-10-07,0,1
"280",2004-10-09,0,1
"281",2004-10-11,1,0
"282",2004-10-14,0,1
"283",2004-10-15,0,1
"284",2004-10-23,0,1
"285",2004-10-26,0,1
"286",2004-10-30,0,2
"287",2004-10-31,0,2
"288",2004-11-01,1,0
"289",2004-11-02,0,1
"290",2004-11-03,1,0
"291",2004-11-05,0,1
"292",2004-11-06,0,1
"293",2004-11-07,0,1
"294",2004-11-08,1,1
"295",2004-11-09,1,0
"296",2004-11-11,1,0
"297",2004-11-12,0,1
"298",2004-11-15,1,0
"299",2004-11-16,0,1
"300",2004-11-19,0,1
"301",2004-11-26,0,1
"302",2004-11-27,0,1
"303",2004-11-30,1,1
"304",2004-12-01,0,2
"305",2004-12-02,1,0
"306",2004-12-03,1,0
"307",2004-12-04,1,0
"308",2004-12-05,1,0
"309",2004-12-06,0,1
"310",2004-12-07,0,1
"311",2004-12-08,1,0
"312",2004-12-09,1,1
"313",2004-12-11,2,0
"314",2004-12-13,0,1
"315",2004-12-14,0,1
"316",2004-12-17,0,1
"317",2004-12-18,1,0
"318",2004-12-20,0,1
"319",2004-12-22,0,1
"320",2004-12-24,0,1
"321",2004-12-27,0,1
"322",2004-12-29,0,1
"323",2004-12-30,0,1
"324",2005-01-01,2,3
"325",2005-01-02,0,4
"326",2005-01-06,1,1
"327",2005-01-09,0,1
"328",2005-01-11,0,1
"329",2005-01-12,0,1
"330",2005-01-14,0,1
"331",2005-01-15,1,1
"332",2005-01-16,1,0
"333",2005-01-20,1,0
"334",2005-01-21,0,1
"335",2005-01-22,0,1
"336",2005-01-29,1,0
"337",2005-02-01,2,2
"338",2005-02-02,1,0
"339",2005-02-04,0,1
"340",2005-02-07,1,0
"341",2005-02-15,0,1
"342",2005-02-16,1,0
"343",2005-02-18,0,1
"344",2005-02-19,1,0
"345",2005-02-22,0,1
"346",2005-02-25,0,1
"347",2005-02-26,1,0
"348",2005-03-01,1,1
"349",2005-03-02,0,1
"350",2005-03-04,0,1
"351",2005-03-07,0,1
"352",2005-03-09,1,0
"353",2005-03-10,0,1
"354",2005-03-11,1,0
"355",2005-03-12,0,1
"356",2005-03-14,0,1
"357",2005-03-17,1,0
"358",2005-03-19,1,0
"359",2005-03-22,1,0
"360",2005-03-26,0,1
"361",2005-03-27,1,0
"362",2005-03-31,1,0
"363",2005-04-01,1,1
"364",2005-04-03,0,1
"365",2005-04-04,1,0
"366",2005-04-05,0,1
"367",2005-04-06,0,1
"368",2005-04-12,1,1
"369",2005-04-14,1,1
"370",2005-04-15,1,1
"371",2005-04-19,1,1
"372",2005-04-21,0,1
"373",2005-04-22,0,1
"374",2005-04-23,0,2
"375",2005-04-30,0,2
"376",2005-05-01,1,2
"377",2005-05-04,1,1
"378",2005-05-06,0,1
"379",2005-05-07,1,0
"380",2005-05-08,0,1
"381",2005-05-09,0,1
"382",2005-05-10,1,0
"383",2005-05-13,0,1
"384",2005-05-15,1,0
"385",2005-05-16,0,1
"386",2005-05-18,1,0
"387",2005-05-20,0,1
"388",2005-05-29,0,1
"389",2005-06-01,2,4
"390",2005-06-02,1,0
"391",2005-06-08,0,1
"392",2005-06-11,0,1
"393",2005-06-15,1,1
"394",2005-06-17,0,1
"395",2005-06-18,0,1
"396",2005-06-24,1,0
"397",2005-07-01,2,1
"398",2005-07-02,0,2
"399",2005-07-03,0,1
"400",2005-07-04,1,0
