"i","Date","Solved","Not Solved"
"1",2003-01-01,0,1
"2",2003-01-13,1,0
"3",2003-02-13,0,1
"4",2003-02-27,0,1
"5",2003-03-12,0,1
"6",2003-03-13,0,1
"7",2003-03-22,0,1
"8",2003-03-27,0,1
"9",2003-04-10,0,1
"10",2003-04-14,1,0
"11",2003-04-19,1,0
"12",2003-04-22,1,0
"13",2003-04-27,0,1
"14",2003-05-05,1,0
"15",2003-05-12,0,1
"16",2003-05-13,1,0
"17",2003-05-14,1,0
"18",2003-06-01,1,0
"19",2003-06-02,1,0
"20",2003-06-22,1,0
"21",2003-07-02,0,1
"22",2003-07-31,0,2
"23",2003-08-01,0,1
"24",2003-08-09,1,0
"25",2003-08-14,1,0
"26",2003-08-29,0,1
"27",2003-09-07,0,1
"28",2003-09-10,0,1
"29",2003-09-13,0,1
"30",2003-09-16,1,0
"31",2003-09-23,1,0
"32",2003-10-01,2,0
"33",2003-10-16,1,0
"34",2003-10-20,1,0
"35",2003-10-24,0,1
"36",2003-10-27,1,0
"37",2003-11-01,1,0
"38",2003-11-09,1,0
"39",2003-12-07,1,0
"40",2003-12-18,0,1
"41",2003-12-20,1,0
"42",2004-01-06,1,0
"43",2004-01-13,0,2
"44",2004-01-14,1,1
"45",2004-01-16,0,1
"46",2004-01-22,0,1
"47",2004-01-23,0,1
"48",2004-01-31,0,1
"49",2004-02-05,0,1
"50",2004-02-12,0,1
"51",2004-02-28,0,1
"52",2004-03-05,0,1
"53",2004-03-20,0,1
"54",2004-03-31,0,1
"55",2004-04-07,0,1
"56",2004-05-11,0,1
"57",2004-05-19,0,1
"58",2004-05-25,1,0
"59",2004-05-27,0,1
"60",2004-05-28,1,0
"61",2004-06-01,1,0
"62",2004-06-09,0,1
"63",2004-06-12,0,1
"64",2004-06-14,0,1
"65",2004-06-20,1,0
"66",2004-07-07,0,1
"67",2004-07-10,0,1
"68",2004-07-29,0,1
"69",2004-08-01,0,2
"70",2004-08-02,1,0
"71",2004-08-07,1,1
"72",2004-08-17,0,1
"73",2004-08-18,0,2
"74",2004-08-23,0,1
"75",2004-09-03,1,0
"76",2004-09-09,1,2
"77",2004-09-11,0,1
"78",2004-09-14,0,1
"79",2004-09-22,0,1
"80",2004-09-30,1,0
"81",2004-10-06,0,1
"82",2004-10-14,0,1
"83",2004-11-01,0,1
"84",2004-11-06,0,1
"85",2004-11-11,0,1
"86",2004-11-17,0,1
"87",2004-11-30,0,1
"88",2004-12-01,1,0
"89",2004-12-09,0,1
"90",2004-12-14,1,0
"91",2004-12-24,0,1
"92",2005-02-05,0,2
"93",2005-02-16,0,1
"94",2005-03-01,1,0
"95",2005-03-03,0,1
"96",2005-03-17,0,1
"97",2005-04-01,0,1
"98",2005-04-14,0,1
"99",2005-05-05,0,1
"100",2005-05-08,0,1
"101",2005-06-06,0,1
"102",2005-06-07,1,0
"103",2005-06-13,0,1
"104",2005-06-14,0,1
"105",2005-06-25,0,1
"106",2005-07-20,0,1
"107",2005-07-23,0,1
"108",2005-07-24,0,1
"109",2005-08-07,1,0
"110",2005-08-15,0,1
"111",2005-08-19,0,1
"112",2005-08-29,0,1
"113",2005-09-01,1,0
"114",2005-09-23,1,1
"115",2005-09-24,0,1
"116",2005-09-25,0,1
"117",2005-10-06,1,0
"118",2005-10-14,0,1
"119",2005-10-21,0,1
"120",2005-11-02,0,1
"121",2005-11-05,1,0
"122",2005-11-19,0,1
"123",2005-11-29,0,1
"124",2006-01-01,0,1
"125",2006-01-19,0,1
"126",2006-01-21,0,1
"127",2006-02-01,0,2
"128",2006-02-09,0,1
"129",2006-02-18,0,1
"130",2006-02-22,0,1
"131",2006-03-09,1,0
"132",2006-03-19,0,1
"133",2006-04-02,0,2
"134",2006-04-06,0,1
"135",2006-04-08,0,1
"136",2006-04-11,1,0
"137",2006-04-26,1,0
"138",2006-04-27,0,1
"139",2006-05-04,0,1
"140",2006-05-10,0,1
"141",2006-05-26,1,1
"142",2006-06-04,0,1
"143",2006-06-07,0,1
"144",2006-06-10,0,1
"145",2006-06-22,0,1
"146",2006-06-28,0,1
"147",2006-07-08,0,1
"148",2006-07-11,0,1
"149",2006-07-20,0,1
"150",2006-07-25,0,2
"151",2006-08-03,0,1
"152",2006-08-12,0,1
"153",2006-08-16,0,1
"154",2006-09-01,0,1
"155",2006-09-03,1,0
"156",2006-09-04,0,1
"157",2006-09-14,1,0
"158",2006-09-21,0,1
"159",2006-09-30,0,1
"160",2006-10-01,0,1
"161",2006-10-02,0,1
"162",2006-10-04,0,1
"163",2006-10-06,1,0
"164",2006-10-26,0,1
"165",2006-11-18,0,1
"166",2006-12-18,0,2
"167",2006-12-20,0,1
"168",2007-01-04,0,1
"169",2007-01-13,0,1
"170",2007-02-01,0,1
