"i","Date","Solved","Not Solved"
"1",2003-01-14,0,1
"2",2003-01-17,1,1
"3",2003-01-19,0,1
"4",2003-01-23,1,0
"5",2003-01-24,1,0
"6",2003-01-27,0,2
"7",2003-02-02,0,1
"8",2003-02-04,0,1
"9",2003-02-06,1,0
"10",2003-02-08,0,1
"11",2003-02-09,0,1
"12",2003-02-10,1,0
"13",2003-02-12,1,2
"14",2003-02-19,1,0
"15",2003-02-20,1,0
"16",2003-02-21,1,0
"17",2003-02-22,1,1
"18",2003-03-05,1,0
"19",2003-03-08,0,1
"20",2003-03-09,1,0
"21",2003-03-19,1,0
"22",2003-03-23,0,1
"23",2003-03-29,0,1
"24",2003-04-02,0,1
"25",2003-04-07,0,1
"26",2003-04-08,0,1
"27",2003-04-09,0,1
"28",2003-04-12,1,0
"29",2003-04-15,1,0
"30",2003-04-16,1,0
"31",2003-04-18,0,1
"32",2003-04-19,1,0
"33",2003-04-23,0,1
"34",2003-04-24,0,1
"35",2003-05-01,0,1
"36",2003-05-03,0,1
"37",2003-05-04,1,0
"38",2003-05-07,1,1
"39",2003-05-12,1,0
"40",2003-05-21,1,0
"41",2003-05-22,0,2
"42",2003-05-23,0,1
"43",2003-05-28,1,0
"44",2003-05-30,1,0
"45",2003-05-31,0,1
"46",2003-06-02,0,1
"47",2003-06-08,0,2
"48",2003-06-11,1,0
"49",2003-06-12,0,1
"50",2003-06-13,1,0
"51",2003-06-17,0,1
"52",2003-06-22,0,2
"53",2003-07-05,0,1
"54",2003-07-08,1,0
"55",2003-07-13,0,1
"56",2003-07-17,1,0
"57",2003-07-29,0,1
"58",2003-07-30,1,0
"59",2003-08-01,1,0
"60",2003-08-02,0,1
"61",2003-08-04,0,1
"62",2003-08-05,1,0
"63",2003-08-06,1,0
"64",2003-08-08,1,0
"65",2003-08-26,0,1
"66",2003-09-04,0,1
"67",2003-09-05,0,1
"68",2003-09-07,0,2
"69",2003-09-08,1,0
"70",2003-09-09,1,0
"71",2003-09-11,0,1
"72",2003-09-13,0,1
"73",2003-09-15,1,0
"74",2003-09-16,0,1
"75",2003-09-18,0,2
"76",2003-09-25,0,2
"77",2003-10-01,3,0
"78",2003-10-07,0,1
"79",2003-10-11,1,0
"80",2003-10-17,1,0
"81",2003-10-23,1,0
"82",2003-11-09,1,0
"83",2003-11-13,0,1
"84",2003-11-21,1,0
"85",2003-11-24,0,1
"86",2003-11-26,1,0
"87",2003-11-29,1,0
"88",2003-12-02,0,1
"89",2003-12-03,0,1
"90",2003-12-06,0,1
"91",2003-12-08,1,0
"92",2003-12-10,1,0
"93",2003-12-11,1,0
"94",2003-12-12,1,0
"95",2003-12-16,1,0
"96",2003-12-19,0,1
"97",2003-12-21,1,1
"98",2003-12-26,0,2
"99",2003-12-29,0,1
"100",2003-12-31,0,1
"101",2004-01-01,1,0
"102",2004-01-07,1,0
"103",2004-01-09,1,1
"104",2004-01-10,1,0
"105",2004-01-13,1,1
"106",2004-01-16,0,1
"107",2004-01-19,0,1
"108",2004-01-20,0,1
"109",2004-01-22,1,0
"110",2004-02-02,0,1
"111",2004-02-03,1,0
"112",2004-02-04,1,0
"113",2004-02-09,1,0
"114",2004-02-11,1,0
"115",2004-02-12,1,2
"116",2004-02-21,1,0
"117",2004-02-22,0,1
"118",2004-02-27,1,0
"119",2004-03-04,0,1
"120",2004-03-05,0,1
"121",2004-03-13,0,1
"122",2004-03-14,1,0
"123",2004-03-27,0,1
"124",2004-04-06,1,0
"125",2004-04-07,0,1
"126",2004-04-10,1,0
"127",2004-04-11,0,1
"128",2004-04-18,0,1
"129",2004-04-25,1,0
"130",2004-04-27,0,1
"131",2004-05-04,0,1
"132",2004-05-06,1,1
"133",2004-05-12,0,1
"134",2004-05-14,1,0
"135",2004-05-18,0,1
"136",2004-05-25,0,1
"137",2004-05-28,0,1
"138",2004-06-18,0,1
"139",2004-06-24,0,1
"140",2004-07-01,1,0
"141",2004-07-02,1,0
"142",2004-07-03,1,0
"143",2004-07-06,0,1
"144",2004-07-12,1,1
"145",2004-07-13,1,0
"146",2004-07-20,0,1
"147",2004-07-21,0,1
"148",2004-07-22,0,1
"149",2004-07-23,0,1
"150",2004-07-30,2,0
"151",2004-08-01,0,1
"152",2004-08-04,0,1
"153",2004-08-10,0,1
"154",2004-08-12,1,0
"155",2004-08-18,1,0
"156",2004-08-24,1,0
"157",2004-08-30,1,0
"158",2004-09-02,1,0
"159",2004-09-03,1,0
"160",2004-09-04,0,1
"161",2004-09-05,1,1
"162",2004-09-06,1,0
"163",2004-09-07,2,0
"164",2004-09-13,0,1
"165",2004-09-14,0,1
"166",2004-09-16,0,1
"167",2004-09-18,0,1
"168",2004-09-23,0,1
"169",2004-09-24,1,0
"170",2004-09-26,1,0
"171",2004-09-29,0,1
"172",2004-10-01,0,1
"173",2004-10-03,1,0
"174",2004-10-06,0,1
"175",2004-10-07,1,0
"176",2004-10-10,0,1
"177",2004-10-11,0,1
"178",2004-10-13,0,2
"179",2004-10-18,0,1
"180",2004-10-19,1,0
"181",2004-10-20,0,1
"182",2004-10-22,1,0
"183",2004-10-23,1,0
"184",2004-10-30,1,0
"185",2004-11-02,0,1
"186",2004-11-03,0,1
"187",2004-11-08,1,0
"188",2004-11-10,0,1
"189",2004-11-15,0,2
"190",2004-11-20,1,0
"191",2004-11-21,1,0
"192",2004-11-24,0,1
"193",2004-12-06,1,0
"194",2004-12-12,0,1
"195",2004-12-23,0,1
"196",2004-12-24,0,1
"197",2004-12-26,1,0
"198",2004-12-27,1,0
"199",2005-01-08,1,1
"200",2005-01-09,0,1
"201",2005-01-13,0,1
"202",2005-01-20,0,1
"203",2005-01-24,1,0
"204",2005-01-25,2,0
"205",2005-01-28,0,1
"206",2005-01-30,2,0
"207",2005-02-01,1,0
"208",2005-02-08,1,0
"209",2005-02-09,0,1
"210",2005-02-15,0,1
"211",2005-02-17,0,1
"212",2005-03-06,0,1
"213",2005-03-12,1,1
"214",2005-03-14,0,1
"215",2005-03-16,1,0
"216",2005-03-18,0,1
"217",2005-03-23,0,1
"218",2005-03-25,0,1
"219",2005-04-09,1,0
"220",2005-05-12,1,0
"221",2005-05-14,1,0
"222",2005-05-26,0,1
"223",2005-06-01,1,2
"224",2005-06-26,0,1
"225",2005-07-05,0,1
"226",2005-07-12,1,1
"227",2005-07-15,0,1
"228",2005-08-07,1,0
"229",2005-08-11,0,1
"230",2005-08-12,0,1
"231",2005-08-19,0,1
"232",2005-08-23,1,0
"233",2005-08-26,0,1
"234",2005-09-21,0,1
"235",2005-09-24,0,1
"236",2005-09-26,0,1
"237",2005-09-28,0,1
"238",2005-10-14,0,1
"239",2005-10-26,2,0
"240",2005-10-27,1,0
"241",2005-11-01,1,0
"242",2005-11-10,1,0
"243",2005-11-11,1,0
"244",2005-11-13,0,1
"245",2005-11-18,1,0
"246",2005-11-23,1,0
"247",2005-11-24,1,0
"248",2005-11-27,1,0
"249",2005-11-30,0,1
"250",2005-12-03,2,0
"251",2005-12-24,1,0
"252",2005-12-28,1,0
"253",2005-12-31,1,0
"254",2006-01-01,0,1
"255",2006-01-05,0,1
"256",2006-01-08,1,0
"257",2006-01-10,0,1
"258",2006-01-11,0,1
"259",2006-01-12,2,0
"260",2006-01-13,0,1
"261",2006-01-14,0,1
"262",2006-01-17,0,1
"263",2006-01-22,0,1
"264",2006-01-24,1,0
"265",2006-01-30,0,1
"266",2006-02-03,0,1
"267",2006-02-05,1,0
"268",2006-02-06,1,0
"269",2006-02-07,0,1
"270",2006-02-12,1,0
"271",2006-02-13,1,0
"272",2006-02-14,0,1
"273",2006-02-17,1,0
"274",2006-02-21,1,1
"275",2006-02-24,1,0
"276",2006-03-02,0,1
"277",2006-03-03,0,1
"278",2006-03-08,1,0
"279",2006-03-26,2,0
"280",2006-03-29,0,1
"281",2006-04-04,1,0
"282",2006-04-05,1,0
"283",2006-04-18,0,1
"284",2006-04-22,1,0
"285",2006-04-28,0,1
"286",2006-05-01,1,0
"287",2006-05-02,0,1
"288",2006-05-04,1,0
"289",2006-05-05,0,1
"290",2006-05-12,0,1
"291",2006-05-26,1,0
"292",2006-05-28,0,1
"293",2006-06-01,1,0
"294",2006-06-05,0,1
"295",2006-06-08,0,1
"296",2006-06-16,0,1
"297",2006-06-26,0,1
"298",2006-07-05,0,1
"299",2006-07-07,1,0
"300",2006-07-08,0,1
"301",2006-07-12,1,1
"302",2006-07-25,0,1
"303",2006-07-26,1,0
"304",2006-07-30,0,1
"305",2006-07-31,1,0
"306",2006-08-05,0,1
"307",2006-08-06,0,1
"308",2006-09-07,1,0
"309",2006-09-11,0,1
"310",2006-09-14,0,1
"311",2006-09-15,1,0
