"i","Date","Solved","Not Solved"
"1",2003-01-01,4,11
"2",2003-01-02,2,1
"3",2003-01-03,4,2
"4",2003-01-04,2,1
"5",2003-01-05,2,2
"6",2003-01-06,3,2
"7",2003-01-07,0,3
"8",2003-01-08,2,4
"9",2003-01-09,2,0
"10",2003-01-10,1,4
"11",2003-01-11,0,2
"12",2003-01-12,1,0
"13",2003-01-13,1,3
"14",2003-01-14,4,5
"15",2003-01-15,4,5
"16",2003-01-16,2,8
"17",2003-01-17,1,5
"18",2003-01-18,3,3
"19",2003-01-19,2,2
"20",2003-01-20,2,3
"21",2003-01-21,2,3
"22",2003-01-22,1,5
"23",2003-01-23,5,14
"24",2003-01-24,2,8
"25",2003-01-25,1,0
"26",2003-01-26,3,4
"27",2003-01-27,1,5
"28",2003-01-28,1,2
"29",2003-01-29,0,4
"30",2003-01-30,2,4
"31",2003-01-31,5,3
"32",2003-02-01,3,4
"33",2003-02-02,2,4
"34",2003-02-03,0,3
"35",2003-02-04,1,3
"36",2003-02-05,1,3
"37",2003-02-06,1,3
"38",2003-02-07,3,6
"39",2003-02-08,6,6
"40",2003-02-09,0,3
"41",2003-02-10,3,3
"42",2003-02-11,1,3
"43",2003-02-12,2,2
"44",2003-02-13,2,6
"45",2003-02-14,1,6
"46",2003-02-15,2,6
"47",2003-02-16,1,3
"48",2003-02-17,0,2
"49",2003-02-18,4,5
"50",2003-02-19,5,4
"51",2003-02-20,4,3
"52",2003-02-21,2,6
"53",2003-02-22,0,1
"54",2003-02-23,0,2
"55",2003-02-24,2,3
"56",2003-02-25,2,4
"57",2003-02-26,4,6
"58",2003-02-27,4,7
"59",2003-02-28,4,4
"60",2003-03-01,2,5
"61",2003-03-02,1,4
"62",2003-03-03,3,3
"63",2003-03-04,3,5
"64",2003-03-05,1,2
"65",2003-03-06,4,4
"66",2003-03-07,0,3
"67",2003-03-08,1,1
"68",2003-03-09,4,2
"69",2003-03-10,4,2
"70",2003-03-11,4,3
"71",2003-03-12,2,6
"72",2003-03-13,8,5
"73",2003-03-14,2,5
"74",2003-03-15,1,7
"75",2003-03-16,1,1
"76",2003-03-17,0,1
"77",2003-03-18,2,4
"78",2003-03-19,5,2
"79",2003-03-20,1,3
"80",2003-03-21,0,7
"81",2003-03-22,1,8
"82",2003-03-23,1,4
