"i","Date","Solved","Not Solved"
"1",2003-01-01,1,14
"2",2003-01-02,3,9
"3",2003-01-03,0,9
"4",2003-01-04,0,6
"5",2003-01-05,3,4
"6",2003-01-06,6,4
"7",2003-01-07,2,2
"8",2003-01-08,0,7
"9",2003-01-09,0,11
"10",2003-01-10,2,6
"11",2003-01-11,0,5
"12",2003-01-12,3,6
"13",2003-01-13,2,13
"14",2003-01-14,2,9
"15",2003-01-15,2,10
"16",2003-01-16,3,12
"17",2003-01-17,4,3
"18",2003-01-18,1,8
"19",2003-01-19,2,3
"20",2003-01-20,3,7
"21",2003-01-21,1,3
"22",2003-01-22,2,9
"23",2003-01-23,3,5
"24",2003-01-24,0,7
"25",2003-01-25,2,6
"26",2003-01-26,2,4
"27",2003-01-27,4,6
"28",2003-01-28,1,5
"29",2003-01-29,3,6
"30",2003-01-30,0,10
"31",2003-01-31,4,5
"32",2003-02-01,2,9
"33",2003-02-02,1,8
"34",2003-02-03,5,4
"35",2003-02-04,0,7
"36",2003-02-05,3,10
"37",2003-02-06,0,4
"38",2003-02-07,1,7
"39",2003-02-08,0,5
"40",2003-02-09,2,5
"41",2003-02-10,4,5
"42",2003-02-11,3,8
"43",2003-02-12,2,3
"44",2003-02-13,3,7
"45",2003-02-14,1,12
"46",2003-02-15,0,7
"47",2003-02-16,2,4
"48",2003-02-17,2,4
"49",2003-02-18,4,6
"50",2003-02-19,2,3
"51",2003-02-20,1,4
"52",2003-02-21,3,9
"53",2003-02-22,1,3
"54",2003-02-23,2,8
"55",2003-02-24,3,7
"56",2003-02-25,4,8
"57",2003-02-26,2,5
"58",2003-02-27,2,5
"59",2003-02-28,3,3
"60",2003-03-01,5,14
"61",2003-03-02,1,0
"62",2003-03-03,2,7
"63",2003-03-04,2,3
"64",2003-03-05,4,5
"65",2003-03-06,1,10
"66",2003-03-07,1,7
"67",2003-03-08,1,4
"68",2003-03-09,0,8
"69",2003-03-10,4,4
"70",2003-03-11,3,4
"71",2003-03-12,5,8
"72",2003-03-13,3,9
"73",2003-03-14,2,3
"74",2003-03-15,1,7
"75",2003-03-16,6,7
"76",2003-03-17,3,6
"77",2003-03-18,5,12
"78",2003-03-19,1,9
"79",2003-03-20,2,5
"80",2003-03-21,1,4
"81",2003-03-22,2,5
"82",2003-03-23,2,10
"83",2003-03-24,2,10
"84",2003-03-25,1,6
"85",2003-03-26,1,12
"86",2003-03-27,1,9
"87",2003-03-28,2,17
"88",2003-03-29,2,11
"89",2003-03-30,2,5
"90",2003-03-31,1,8
"91",2003-04-01,3,13
"92",2003-04-02,4,15
"93",2003-04-03,3,8
"94",2003-04-04,1,6
"95",2003-04-05,4,7
"96",2003-04-06,1,3
"97",2003-04-07,1,8
"98",2003-04-08,2,7
"99",2003-04-09,0,2
"100",2003-04-10,4,8
"101",2003-04-11,1,8
"102",2003-04-12,0,12
"103",2003-04-13,4,9
"104",2003-04-14,4,5
"105",2003-04-15,6,9
"106",2003-04-16,2,8
"107",2003-04-17,3,10
"108",2003-04-18,2,11
"109",2003-04-19,1,8
"110",2003-04-20,1,3
"111",2003-04-21,3,5
"112",2003-04-22,6,6
"113",2003-04-23,1,14
"114",2003-04-24,5,7
"115",2003-04-25,5,12
"116",2003-04-26,2,10
"117",2003-04-27,3,8
"118",2003-04-28,0,7
"119",2003-04-29,1,8
"120",2003-04-30,0,6
"121",2003-05-01,3,8
"122",2003-05-02,2,10
"123",2003-05-03,2,7
"124",2003-05-04,2,5
"125",2003-05-05,4,7
"126",2003-05-06,0,9
"127",2003-05-07,2,5
"128",2003-05-08,2,12
"129",2003-05-09,2,4
"130",2003-05-10,3,6
"131",2003-05-11,1,6
"132",2003-05-12,4,9
"133",2003-05-13,3,8
"134",2003-05-14,1,4
"135",2003-05-15,6,3
"136",2003-05-16,2,11
"137",2003-05-17,2,6
"138",2003-05-18,2,4
"139",2003-05-19,2,7
"140",2003-05-20,1,12
"141",2003-05-21,5,4
"142",2003-05-22,2,8
"143",2003-05-23,3,8
"144",2003-05-24,0,2
"145",2003-05-25,2,6
"146",2003-05-26,1,0
"147",2003-05-27,1,9
"148",2003-05-28,1,10
"149",2003-05-29,1,8
"150",2003-05-30,3,12
"151",2003-05-31,1,2
"152",2003-06-01,2,12
"153",2003-06-02,4,4
"154",2003-06-03,3,5
"155",2003-06-04,0,7
"156",2003-06-05,4,8
"157",2003-06-06,2,2
"158",2003-06-07,1,8
"159",2003-06-08,0,5
"160",2003-06-09,1,4
"161",2003-06-10,4,13
"162",2003-06-11,6,9
"163",2003-06-12,4,7
"164",2003-06-13,5,10
"165",2003-06-14,8,8
"166",2003-06-15,4,6
"167",2003-06-16,2,4
"168",2003-06-17,3,4
"169",2003-06-18,3,3
"170",2003-06-19,6,1
"171",2003-06-20,1,9
"172",2003-06-21,7,6
"173",2003-06-22,0,5
"174",2003-06-23,1,8
"175",2003-06-24,2,7
"176",2003-06-25,2,6
