"i","Date","Solved","Not Solved"
"1",2003-01-01,0,1
"2",2003-01-02,0,2
"3",2003-01-04,0,1
"4",2003-01-06,1,0
"5",2003-01-07,1,0
"6",2003-01-08,1,0
"7",2003-01-11,0,1
"8",2003-01-14,2,0
"9",2003-01-15,1,0
"10",2003-01-21,1,0
"11",2003-01-22,1,0
"12",2003-01-26,0,1
"13",2003-01-27,1,1
"14",2003-01-29,1,0
"15",2003-01-31,0,1
"16",2003-02-01,1,0
"17",2003-02-07,2,0
"18",2003-02-09,1,0
"19",2003-02-10,0,1
"20",2003-02-13,0,1
"21",2003-02-14,0,1
"22",2003-02-15,0,2
"23",2003-02-16,1,1
"24",2003-02-20,0,1
"25",2003-02-24,1,0
"26",2003-02-25,0,1
"27",2003-02-27,1,0
"28",2003-02-28,0,1
"29",2003-03-01,1,1
"30",2003-03-02,2,0
"31",2003-03-03,0,1
"32",2003-03-04,0,2
"33",2003-03-06,1,1
"34",2003-03-07,0,1
"35",2003-03-08,0,2
"36",2003-03-09,1,0
"37",2003-03-10,1,1
"38",2003-03-11,0,1
"39",2003-03-13,1,0
"40",2003-03-15,0,2
"41",2003-03-16,1,1
"42",2003-03-17,1,0
"43",2003-03-18,3,0
"44",2003-03-19,1,1
"45",2003-03-22,0,2
"46",2003-03-24,0,1
"47",2003-03-28,1,1
"48",2003-03-29,1,0
"49",2003-03-30,1,0
"50",2003-04-06,0,1
"51",2003-04-07,0,1
"52",2003-04-08,0,1
"53",2003-04-11,0,1
"54",2003-04-12,1,0
"55",2003-04-13,2,3
"56",2003-04-14,1,1
"57",2003-04-15,1,1
"58",2003-04-18,1,0
"59",2003-04-19,0,2
"60",2003-04-20,1,0
"61",2003-04-21,1,0
"62",2003-04-23,1,1
"63",2003-04-25,1,0
"64",2003-04-26,1,0
"65",2003-04-28,2,0
"66",2003-05-01,1,0
"67",2003-05-02,0,1
"68",2003-05-05,0,1
"69",2003-05-07,0,2
"70",2003-05-12,0,1
"71",2003-05-14,1,0
"72",2003-05-15,1,0
"73",2003-05-19,0,1
"74",2003-05-20,1,0
"75",2003-05-21,0,1
"76",2003-05-25,0,1
"77",2003-05-28,1,0
"78",2003-06-01,1,1
"79",2003-06-02,1,0
"80",2003-06-03,0,1
"81",2003-06-04,1,0
"82",2003-06-05,1,0
"83",2003-06-06,0,1
"84",2003-06-13,0,1
"85",2003-06-14,1,0
"86",2003-06-15,1,0
"87",2003-06-17,1,0
"88",2003-06-26,1,0
"89",2003-06-27,0,1
"90",2003-06-28,0,1
"91",2003-06-29,1,0
"92",2003-07-01,2,2
"93",2003-07-02,1,0
"94",2003-07-03,2,1
"95",2003-07-04,0,2
"96",2003-07-05,1,0
"97",2003-07-06,1,1
"98",2003-07-10,3,1
"99",2003-07-11,1,0
"100",2003-07-12,1,0
"101",2003-07-13,0,2
"102",2003-07-14,0,2
"103",2003-07-15,1,0
"104",2003-07-19,0,1
"105",2003-07-21,1,0
"106",2003-07-22,1,0
"107",2003-07-25,0,1
"108",2003-07-26,1,1
"109",2003-07-27,2,2
"110",2003-07-28,2,1
"111",2003-07-30,0,1
"112",2003-08-02,0,1
"113",2003-08-03,2,3
"114",2003-08-04,1,0
"115",2003-08-06,0,1
"116",2003-08-07,2,1
"117",2003-08-08,3,1
"118",2003-08-09,0,1
"119",2003-08-10,1,0
"120",2003-08-11,1,1
"121",2003-08-12,1,0
"122",2003-08-13,1,1
"123",2003-08-14,1,0
"124",2003-08-15,0,1
"125",2003-08-16,0,3
"126",2003-08-17,1,0
"127",2003-08-19,1,0
"128",2003-08-20,0,1
"129",2003-08-21,2,1
"130",2003-08-22,2,1
"131",2003-08-23,0,1
"132",2003-08-24,1,0
"133",2003-08-27,1,0
"134",2003-08-28,0,1
"135",2003-08-30,1,2
"136",2003-08-31,2,0
"137",2003-09-03,2,0
"138",2003-09-04,1,0
"139",2003-09-06,0,2
"140",2003-09-07,1,1
"141",2003-09-08,3,0
"142",2003-09-09,0,1
"143",2003-09-11,1,1
"144",2003-09-12,1,0
"145",2003-09-13,2,1
"146",2003-09-14,1,0
"147",2003-09-15,1,0
"148",2003-09-16,1,0
"149",2003-09-17,0,1
"150",2003-09-18,0,1
"151",2003-09-20,0,1
"152",2003-09-21,2,1
"153",2003-09-24,2,1
"154",2003-09-26,0,1
"155",2003-09-27,2,0
"156",2003-09-28,2,0
"157",2003-09-30,0,1
"158",2003-10-01,1,0
"159",2003-10-05,2,0
"160",2003-10-08,1,0
