"i","Date","Solved","Not Solved"
"1",2003-01-01,1,25
"2",2003-01-02,4,57
"3",2003-01-03,7,47
"4",2003-01-04,14,46
"5",2003-01-05,6,45
"6",2003-01-06,10,57
"7",2003-01-07,12,49
"8",2003-01-08,10,42
"9",2003-01-09,16,68
"10",2003-01-10,9,47
"11",2003-01-11,11,55
"12",2003-01-12,10,49
"13",2003-01-13,7,55
"14",2003-01-14,9,53
"15",2003-01-15,11,61
"16",2003-01-16,10,52
"17",2003-01-17,8,56
"18",2003-01-18,10,64
"19",2003-01-19,15,59
"20",2003-01-20,3,52
"21",2003-01-21,14,56
"22",2003-01-22,17,68
"23",2003-01-23,16,64
"24",2003-01-24,14,52
"25",2003-01-25,19,73
"26",2003-01-26,10,67
"27",2003-01-27,4,58
"28",2003-01-28,9,60
"29",2003-01-29,13,72
"30",2003-01-30,17,70
"31",2003-01-31,7,65
"32",2003-02-01,12,67
"33",2003-02-02,9,56
"34",2003-02-03,7,34
"35",2003-02-04,12,48
"36",2003-02-05,10,61
"37",2003-02-06,8,58
"38",2003-02-07,9,63
"39",2003-02-08,11,80
"40",2003-02-09,9,60
"41",2003-02-10,15,65
"42",2003-02-11,16,57
"43",2003-02-12,10,56
"44",2003-02-13,10,69
"45",2003-02-14,12,63
"46",2003-02-15,8,70
"47",2003-02-16,6,65
"48",2003-02-17,13,64
"49",2003-02-18,11,64
"50",2003-02-19,9,69
"51",2003-02-20,9,74
"52",2003-02-21,9,62
"53",2003-02-22,11,69
"54",2003-02-23,8,71
"55",2003-02-24,8,71
"56",2003-02-25,15,57
"57",2003-02-26,8,74
"58",2003-02-27,13,65
"59",2003-02-28,19,74
"60",2003-03-01,14,79
"61",2003-03-02,17,65
"62",2003-03-03,13,47
"63",2003-03-04,8,60
"64",2003-03-05,17,68
"65",2003-03-06,5,66
"66",2003-03-07,14,52
"67",2003-03-08,8,81
"68",2003-03-09,16,79
"69",2003-03-10,11,66
"70",2003-03-11,8,49
"71",2003-03-12,13,69
"72",2003-03-13,16,79
"73",2003-03-14,8,59
"74",2003-03-15,16,76
"75",2003-03-16,7,76
"76",2003-03-17,8,59
"77",2003-03-18,8,67
"78",2003-03-19,17,50
"79",2003-03-20,5,64
"80",2003-03-21,7,74
"81",2003-03-22,8,65
"82",2003-03-23,8,81
"83",2003-03-24,3,72
"84",2003-03-25,12,81
"85",2003-03-26,11,72
"86",2003-03-27,17,62
"87",2003-03-28,11,65
"88",2003-03-29,21,84
"89",2003-03-30,9,79
"90",2003-03-31,11,55
"91",2003-04-01,14,68
"92",2003-04-02,7,63
"93",2003-04-03,5,66
"94",2003-04-04,6,61
"95",2003-04-05,8,76
"96",2003-04-06,14,85
"97",2003-04-07,6,71
"98",2003-04-08,11,60
"99",2003-04-09,15,71
"100",2003-04-10,10,61
"101",2003-04-11,20,76
"102",2003-04-12,9,80
"103",2003-04-13,10,72
"104",2003-04-14,14,62
"105",2003-04-15,10,63
"106",2003-04-16,7,72
"107",2003-04-17,10,65
"108",2003-04-18,10,67
"109",2003-04-19,10,67
"110",2003-04-20,10,78
"111",2003-04-21,5,67
"112",2003-04-22,9,63
"113",2003-04-23,14,85
"114",2003-04-24,10,53
"115",2003-04-25,12,63
"116",2003-04-26,17,82
"117",2003-04-27,19,68
"118",2003-04-28,9,64
"119",2003-04-29,11,54
"120",2003-04-30,6,52
"121",2003-05-01,12,57
"122",2003-05-02,8,60
"123",2003-05-03,9,64
"124",2003-05-04,5,57
"125",2003-05-05,8,41
"126",2003-05-06,5,56
"127",2003-05-07,9,48
"128",2003-05-08,12,59
"129",2003-05-09,11,63
"130",2003-05-10,15,68
"131",2003-05-11,7,61
"132",2003-05-12,3,50
"133",2003-05-13,12,59
"134",2003-05-14,9,65
"135",2003-05-15,12,50
"136",2003-05-16,7,65
"137",2003-05-17,2,62
"138",2003-05-18,11,68
"139",2003-05-19,17,62
"140",2003-05-20,8,70
"141",2003-05-21,14,62
"142",2003-05-22,14,51
"143",2003-05-23,12,72
"144",2003-05-24,14,49
"145",2003-05-25,13,59
"146",2003-05-26,4,57
"147",2003-05-27,8,52
"148",2003-05-28,17,77
"149",2003-05-29,7,61
"150",2003-05-30,9,64
"151",2003-05-31,10,70
"152",2003-06-01,8,57
"153",2003-06-02,8,57
"154",2003-06-03,13,51
"155",2003-06-04,13,65
"156",2003-06-05,6,57
"157",2003-06-06,15,63
"158",2003-06-07,14,67
"159",2003-06-08,15,54
"160",2003-06-09,7,70
"161",2003-06-10,13,61
"162",2003-06-11,14,61
"163",2003-06-12,13,72
"164",2003-06-13,8,73
"165",2003-06-14,12,53
"166",2003-06-15,11,53
"167",2003-06-16,13,61
"168",2003-06-17,12,49
