"i","Date","Solved","Not Solved"
"1",2003-01-02,1,0
"2",2003-01-04,2,0
"3",2003-01-09,1,0
"4",2003-01-17,1,0
"5",2003-01-18,1,0
"6",2003-01-20,1,0
"7",2003-01-21,1,0
"8",2003-01-24,1,0
"9",2003-01-25,2,0
"10",2003-01-26,2,1
"11",2003-01-27,2,0
"12",2003-02-01,1,0
"13",2003-02-02,1,0
"14",2003-02-03,1,0
"15",2003-02-04,5,0
"16",2003-02-05,1,0
"17",2003-02-10,1,0
"18",2003-02-13,0,1
"19",2003-02-14,0,1
"20",2003-02-15,1,0
"21",2003-02-16,2,0
"22",2003-02-18,3,0
"23",2003-02-19,3,0
"24",2003-02-21,1,0
"25",2003-02-24,2,0
"26",2003-02-25,1,0
"27",2003-02-28,1,0
"28",2003-03-01,1,0
"29",2003-03-02,1,0
"30",2003-03-04,1,0
"31",2003-03-05,1,0
"32",2003-03-06,1,0
"33",2003-03-08,1,0
"34",2003-03-09,1,0
"35",2003-03-10,2,0
"36",2003-03-12,1,0
"37",2003-03-13,1,0
"38",2003-03-14,1,0
"39",2003-03-19,3,0
"40",2003-03-21,1,0
"41",2003-03-26,2,0
"42",2003-03-27,1,0
"43",2003-03-30,1,0
"44",2003-03-31,2,0
"45",2003-04-02,4,1
"46",2003-04-03,1,0
"47",2003-04-06,1,0
"48",2003-04-08,2,0
"49",2003-04-11,1,0
"50",2003-04-13,1,0
"51",2003-04-16,3,0
"52",2003-04-17,1,0
"53",2003-04-18,1,0
"54",2003-04-23,1,0
"55",2003-04-24,6,0
"56",2003-04-25,1,0
"57",2003-04-26,3,0
"58",2003-04-30,4,0
"59",2003-05-01,1,0
"60",2003-05-02,2,0
"61",2003-05-03,1,0
"62",2003-05-04,1,0
"63",2003-05-06,2,0
"64",2003-05-07,4,0
"65",2003-05-08,1,0
"66",2003-05-09,1,0
"67",2003-05-11,1,0
"68",2003-05-14,2,0
"69",2003-05-15,1,0
"70",2003-05-16,1,1
"71",2003-05-17,1,0
"72",2003-05-18,1,0
"73",2003-05-19,1,0
"74",2003-05-21,2,0
"75",2003-05-22,2,0
"76",2003-05-24,1,0
"77",2003-05-25,1,0
"78",2003-05-26,1,0
"79",2003-05-31,1,0
"80",2003-06-02,1,0
"81",2003-06-05,1,0
"82",2003-06-06,1,0
"83",2003-06-08,3,0
"84",2003-06-14,1,0
"85",2003-06-18,5,0
"86",2003-06-21,1,0
"87",2003-06-22,6,0
"88",2003-06-23,1,0
"89",2003-06-24,1,0
"90",2003-06-25,1,0
"91",2003-06-26,1,0
"92",2003-06-27,1,0
"93",2003-07-03,1,0
"94",2003-07-04,1,1
"95",2003-07-06,1,0
"96",2003-07-15,2,0
"97",2003-07-18,3,0
"98",2003-07-19,1,0
"99",2003-07-20,1,0
"100",2003-07-21,1,0
"101",2003-07-22,1,0
"102",2003-07-25,2,0
"103",2003-07-26,2,0
"104",2003-07-28,1,0
"105",2003-08-01,1,0
"106",2003-08-03,2,0
"107",2003-08-04,1,0
"108",2003-08-05,1,0
"109",2003-08-06,1,0
"110",2003-08-08,1,0
"111",2003-08-09,1,0
"112",2003-08-10,1,0
"113",2003-08-14,1,0
"114",2003-08-16,1,0
"115",2003-08-17,1,0
"116",2003-08-18,1,0
"117",2003-08-20,1,0
"118",2003-08-23,1,0
"119",2003-08-24,3,0
"120",2003-08-25,1,0
"121",2003-08-26,1,0
"122",2003-08-27,7,0
"123",2003-08-28,2,0
"124",2003-08-30,2,0
"125",2003-08-31,2,0
"126",2003-09-01,1,0
"127",2003-09-03,1,0
"128",2003-09-06,1,0
"129",2003-09-07,1,0
"130",2003-09-10,1,0
"131",2003-09-11,1,0
"132",2003-09-12,3,0
"133",2003-09-13,2,0
"134",2003-09-14,1,0
"135",2003-09-16,1,0
"136",2003-09-17,4,0
"137",2003-09-21,2,0
"138",2003-09-22,1,0
"139",2003-09-24,1,0
"140",2003-09-25,1,0
"141",2003-09-28,1,0
"142",2003-09-30,1,0
"143",2003-10-02,1,0
"144",2003-10-04,1,0
"145",2003-10-05,2,0
"146",2003-10-06,1,0
"147",2003-10-08,1,0
"148",2003-10-11,0,2
"149",2003-10-12,1,0
"150",2003-10-13,3,0
"151",2003-10-14,1,0
"152",2003-10-15,1,0
"153",2003-10-16,1,0
"154",2003-10-17,1,0
"155",2003-10-18,2,0
"156",2003-10-19,1,0
"157",2003-10-22,3,0
"158",2003-10-23,1,0
"159",2003-10-28,1,0
"160",2003-10-29,0,1
"161",2003-10-30,1,0
"162",2003-10-31,0,1
"163",2003-11-01,1,0
"164",2003-11-02,1,0
"165",2003-11-03,1,0
"166",2003-11-05,3,0
"167",2003-11-08,2,0
"168",2003-11-11,1,0
"169",2003-11-12,2,0
"170",2003-11-14,1,0
"171",2003-11-22,1,0
"172",2003-11-25,2,0
"173",2003-11-29,1,0
"174",2003-11-30,1,0
"175",2003-12-03,1,0
"176",2003-12-10,1,0
"177",2003-12-11,4,0
"178",2003-12-14,1,0
"179",2003-12-15,1,0
"180",2003-12-18,3,1
"181",2004-01-01,1,0
"182",2004-01-02,1,0
"183",2004-01-05,2,0
"184",2004-01-07,8,0
"185",2004-01-13,1,0
"186",2004-01-15,2,0
"187",2004-01-17,2,0
"188",2004-01-18,2,0
"189",2004-01-20,1,0
"190",2004-01-21,4,0
"191",2004-01-23,2,0
"192",2004-01-26,2,0
"193",2004-01-28,6,0
"194",2004-01-29,2,0
"195",2004-01-30,1,0
"196",2004-01-31,4,0
"197",2004-02-02,1,0
"198",2004-02-04,8,0
"199",2004-02-05,1,0
"200",2004-02-06,1,0
"201",2004-02-10,2,0
"202",2004-02-12,1,0
"203",2004-02-17,1,0
"204",2004-02-18,4,0
"205",2004-02-19,2,0
"206",2004-02-21,1,0
"207",2004-02-24,1,0
"208",2004-02-28,2,0
"209",2004-02-29,2,0
"210",2004-03-01,1,0
"211",2004-03-03,5,0
"212",2004-03-05,4,0
"213",2004-03-07,1,0
"214",2004-03-10,7,0
"215",2004-03-11,1,0
"216",2004-03-13,2,0
"217",2004-03-17,4,0
"218",2004-03-18,1,0
"219",2004-03-20,1,0
"220",2004-03-21,3,1
"221",2004-03-22,2,0
"222",2004-03-24,1,0
"223",2004-03-25,1,0
"224",2004-03-27,2,0
"225",2004-03-29,1,0
"226",2004-03-31,9,0
"227",2004-04-02,1,0
"228",2004-04-04,2,0
"229",2004-04-05,1,0
"230",2004-04-06,1,0
"231",2004-04-07,1,0
"232",2004-04-08,1,0
"233",2004-04-12,2,0
"234",2004-04-14,4,0
"235",2004-04-15,1,0
"236",2004-04-17,2,0
"237",2004-04-18,1,0
"238",2004-04-21,1,0
"239",2004-04-24,1,0
"240",2004-04-28,4,1
"241",2004-05-03,1,0
"242",2004-05-05,3,0
"243",2004-05-06,1,0
"244",2004-05-07,2,0
"245",2004-05-09,1,0
"246",2004-05-11,1,0
"247",2004-05-12,5,0
"248",2004-05-13,1,0
"249",2004-05-14,1,0
"250",2004-05-15,4,0
"251",2004-05-16,1,0
"252",2004-05-20,7,0
"253",2004-05-21,3,0
"254",2004-05-22,8,0
"255",2004-05-23,5,0
"256",2004-05-25,2,0
"257",2004-05-26,7,0
"258",2004-05-28,1,0
"259",2004-05-29,1,0
"260",2004-05-30,2,0
"261",2004-05-31,2,0
"262",2004-06-01,1,0
"263",2004-06-02,1,0
"264",2004-06-07,1,0
"265",2004-06-11,3,0
"266",2004-06-13,1,0
"267",2004-06-14,1,0
"268",2004-06-16,4,0
"269",2004-06-18,1,0
"270",2004-06-24,4,0
"271",2004-06-26,1,1
"272",2004-06-27,0,1
"273",2004-06-28,1,0
"274",2004-07-05,1,0
"275",2004-07-08,2,0
"276",2004-07-09,1,0
"277",2004-07-10,1,0
"278",2004-07-11,2,0
"279",2004-07-13,0,1
"280",2004-07-27,1,0
"281",2004-08-02,1,0
"282",2004-08-04,6,0
"283",2004-08-05,1,0
"284",2004-08-07,1,0
"285",2004-08-08,1,0
"286",2004-08-11,3,0
"287",2004-08-12,1,0
"288",2004-08-13,3,0
"289",2004-08-14,2,0
"290",2004-08-15,1,0
"291",2004-08-16,0,1
"292",2004-08-18,1,1
"293",2004-08-20,1,0
"294",2004-08-21,2,0
"295",2004-08-22,2,0
"296",2004-08-23,3,1
"297",2004-08-25,1,0
"298",2004-08-28,1,0
"299",2004-08-29,1,0
"300",2004-09-01,2,0
"301",2004-09-03,2,0
"302",2004-09-04,1,0
"303",2004-09-07,2,0
"304",2004-09-09,2,1
"305",2004-09-12,1,0
"306",2004-09-13,2,0
"307",2004-09-16,2,0
"308",2004-09-18,2,0
"309",2004-09-20,1,0
"310",2004-09-24,1,0
"311",2004-09-26,4,0
"312",2004-09-28,1,0
"313",2004-10-03,1,0
"314",2004-10-06,2,0
"315",2004-10-07,4,0
"316",2004-10-08,2,0
"317",2004-10-09,1,0
"318",2004-10-11,1,0
"319",2004-10-14,6,0
"320",2004-10-18,1,0
"321",2004-10-19,2,0
"322",2004-10-29,0,1
"323",2004-10-30,1,0
"324",2004-11-01,0,1
"325",2004-11-02,1,0
"326",2004-11-03,5,0
"327",2004-11-06,1,0
"328",2004-11-09,1,0
"329",2004-11-13,2,0
"330",2004-11-14,1,0
"331",2004-11-17,3,0
"332",2004-11-20,2,0
"333",2004-11-22,2,0
"334",2004-11-23,0,1
"335",2004-12-02,5,0
"336",2004-12-03,1,0
"337",2004-12-10,3,0
"338",2004-12-11,1,0
"339",2004-12-14,1,0
"340",2004-12-16,1,0
"341",2004-12-18,2,1
"342",2004-12-19,1,0
"343",2004-12-21,2,0
"344",2004-12-23,1,0
"345",2004-12-26,1,0
"346",2004-12-29,2,0
"347",2005-01-01,1,0
"348",2005-01-02,1,0
"349",2005-01-07,1,0
"350",2005-01-10,1,0
"351",2005-01-12,5,1
"352",2005-01-13,1,0
"353",2005-01-16,6,0
"354",2005-01-17,4,0
"355",2005-01-18,1,0
"356",2005-01-20,1,0
"357",2005-01-22,1,1
"358",2005-01-23,0,2
"359",2005-01-24,1,0
"360",2005-01-26,4,1
"361",2005-01-30,1,0
"362",2005-02-04,1,2
"363",2005-02-07,1,0
"364",2005-02-08,1,0
"365",2005-02-09,1,0
"366",2005-02-10,5,0
"367",2005-02-12,1,0
"368",2005-02-13,2,0
"369",2005-02-18,2,0
"370",2005-02-19,1,0
"371",2005-02-20,2,2
"372",2005-02-21,0,1
"373",2005-02-22,1,0
"374",2005-02-23,2,0
"375",2005-02-27,1,0
"376",2005-03-01,1,0
"377",2005-03-02,1,0
"378",2005-03-05,1,0
"379",2005-03-06,1,0
"380",2005-03-08,1,0
"381",2005-03-11,1,0
"382",2005-03-12,1,0
"383",2005-03-13,2,0
"384",2005-03-17,3,0
"385",2005-03-20,0,1
"386",2005-03-21,1,0
"387",2005-03-23,4,0
"388",2005-03-26,2,4
"389",2005-03-31,2,0
"390",2005-04-04,1,0
"391",2005-04-06,6,0
"392",2005-04-07,1,0
"393",2005-04-12,1,0
"394",2005-04-15,2,0
"395",2005-04-19,1,0
"396",2005-04-23,0,1
"397",2005-04-24,1,0
"398",2005-04-25,1,1
"399",2005-04-26,0,1
"400",2005-05-01,3,0
"401",2005-05-03,1,0
"402",2005-05-04,1,0
