"i","Date","Solved","Not Solved"
"1",2003-01-01,1,34
"2",2003-01-02,1,40
"3",2003-01-03,0,49
"4",2003-01-04,1,26
"5",2003-01-05,2,24
"6",2003-01-06,3,18
"7",2003-01-07,7,22
"8",2003-01-08,3,37
"9",2003-01-09,2,36
"10",2003-01-10,5,18
"11",2003-01-11,2,29
"12",2003-01-12,2,35
"13",2003-01-13,3,26
"14",2003-01-14,1,27
"15",2003-01-15,3,30
"16",2003-01-16,3,31
"17",2003-01-17,1,41
"18",2003-01-18,4,34
"19",2003-01-19,7,22
"20",2003-01-20,4,22
"21",2003-01-21,4,40
"22",2003-01-22,1,17
"23",2003-01-23,1,27
"24",2003-01-24,3,30
"25",2003-01-25,1,35
"26",2003-01-26,6,44
"27",2003-01-27,2,19
"28",2003-01-28,2,36
"29",2003-01-29,5,36
"30",2003-01-30,3,26
"31",2003-01-31,5,30
"32",2003-02-01,8,42
"33",2003-02-02,1,30
"34",2003-02-03,4,37
"35",2003-02-04,3,28
"36",2003-02-05,3,36
"37",2003-02-06,2,29
"38",2003-02-07,3,34
"39",2003-02-08,3,32
"40",2003-02-09,4,28
"41",2003-02-10,2,37
"42",2003-02-11,1,34
"43",2003-02-12,4,33
"44",2003-02-13,2,19
"45",2003-02-14,5,25
"46",2003-02-15,10,35
"47",2003-02-16,5,31
"48",2003-02-17,7,22
"49",2003-02-18,4,33
"50",2003-02-19,7,23
"51",2003-02-20,5,30
"52",2003-02-21,3,30
"53",2003-02-22,4,35
"54",2003-02-23,2,28
"55",2003-02-24,2,36
"56",2003-02-25,1,30
"57",2003-02-26,7,33
"58",2003-02-27,6,22
"59",2003-02-28,4,29
"60",2003-03-01,4,34
"61",2003-03-02,1,40
"62",2003-03-03,5,35
"63",2003-03-04,6,35
"64",2003-03-05,5,25
"65",2003-03-06,7,32
"66",2003-03-07,4,41
"67",2003-03-08,2,46
"68",2003-03-09,2,31
"69",2003-03-10,2,34
"70",2003-03-11,5,31
"71",2003-03-12,4,31
"72",2003-03-13,8,33
"73",2003-03-14,4,33
"74",2003-03-15,2,52
"75",2003-03-16,1,30
"76",2003-03-17,5,25
"77",2003-03-18,4,41
"78",2003-03-19,1,32
"79",2003-03-20,2,23
"80",2003-03-21,7,36
"81",2003-03-22,3,37
"82",2003-03-23,5,33
"83",2003-03-24,7,33
