"i","Date","Solved","Not Solved"
"1",2003-01-01,18,14
"2",2003-01-02,45,28
"3",2003-01-03,73,12
"4",2003-01-04,42,16
"5",2003-01-05,41,13
"6",2003-01-06,49,10
"7",2003-01-07,54,8
"8",2003-01-08,84,9
"9",2003-01-09,71,19
"10",2003-01-10,45,15
"11",2003-01-11,48,15
"12",2003-01-12,34,19
"13",2003-01-13,32,11
"14",2003-01-14,63,20
"15",2003-01-15,38,13
"16",2003-01-16,29,24
"17",2003-01-17,50,13
"18",2003-01-18,40,9
"19",2003-01-19,28,17
"20",2003-01-20,35,12
"21",2003-01-21,36,19
"22",2003-01-22,46,12
"23",2003-01-23,74,18
"24",2003-01-24,52,18
"25",2003-01-25,53,16
"26",2003-01-26,69,8
"27",2003-01-27,41,14
"28",2003-01-28,51,15
"29",2003-01-29,62,14
"30",2003-01-30,60,16
"31",2003-01-31,46,8
"32",2003-02-01,35,24
"33",2003-02-02,37,15
"34",2003-02-03,32,13
"35",2003-02-04,62,14
"36",2003-02-05,74,12
"37",2003-02-06,48,18
"38",2003-02-07,87,14
"39",2003-02-08,40,11
"40",2003-02-09,34,13
"41",2003-02-10,53,19
"42",2003-02-11,54,13
"43",2003-02-12,61,16
"44",2003-02-13,64,14
"45",2003-02-14,41,15
"46",2003-02-15,30,18
"47",2003-02-16,30,13
"48",2003-02-17,26,14
"49",2003-02-18,68,14
"50",2003-02-19,57,8
"51",2003-02-20,54,15
"52",2003-02-21,50,14
"53",2003-02-22,58,14
"54",2003-02-23,71,11
"55",2003-02-24,47,9
"56",2003-02-25,42,11
"57",2003-02-26,62,19
"58",2003-02-27,53,16
"59",2003-02-28,51,11
"60",2003-03-01,41,22
"61",2003-03-02,38,11
"62",2003-03-03,37,12
"63",2003-03-04,46,19
"64",2003-03-05,68,10
"65",2003-03-06,55,20
"66",2003-03-07,64,13
"67",2003-03-08,27,12
"68",2003-03-09,43,11
"69",2003-03-10,48,8
"70",2003-03-11,43,19
"71",2003-03-12,58,9
"72",2003-03-13,57,18
"73",2003-03-14,38,23
"74",2003-03-15,36,21
"75",2003-03-16,19,15
"76",2003-03-17,37,16
"77",2003-03-18,24,17
"78",2003-03-19,49,8
"79",2003-03-20,44,25
"80",2003-03-21,38,27
"81",2003-03-22,31,14
"82",2003-03-23,25,14
"83",2003-03-24,16,13
"84",2003-03-25,35,12
"85",2003-03-26,31,17
"86",2003-03-27,52,19
"87",2003-03-28,37,17
"88",2003-03-29,22,16
"89",2003-03-30,37,5
"90",2003-03-31,38,9
"91",2003-04-01,51,18
"92",2003-04-02,40,19
"93",2003-04-03,53,12
"94",2003-04-04,57,25
"95",2003-04-05,35,15
"96",2003-04-06,29,10
"97",2003-04-07,38,8
"98",2003-04-08,30,15
"99",2003-04-09,47,11
"100",2003-04-10,37,11
"101",2003-04-11,36,17
"102",2003-04-12,41,16
"103",2003-04-13,30,14
"104",2003-04-14,41,8
"105",2003-04-15,40,18
"106",2003-04-16,42,11
"107",2003-04-17,23,16
"108",2003-04-18,47,8
"109",2003-04-19,27,10
"110",2003-04-20,22,10
"111",2003-04-21,29,10
"112",2003-04-22,33,18
"113",2003-04-23,53,13
"114",2003-04-24,43,16
"115",2003-04-25,46,15
"116",2003-04-26,49,16
"117",2003-04-27,58,10
"118",2003-04-28,26,8
