"i","Date","Solved","Not Solved"
"1",2003-02-12,0,1
"2",2003-03-28,0,1
"3",2003-09-16,1,0
"4",2004-08-06,1,0
"5",2004-08-20,1,0
"6",2004-11-27,0,1
"7",2005-02-27,0,1
"8",2005-02-28,0,1
"9",2005-03-27,0,1
"10",2005-03-29,1,0
"11",2005-10-07,0,1
"12",2006-06-08,1,0
"13",2006-07-10,1,0
"14",2006-08-09,0,1
"15",2006-08-28,1,0
"16",2006-10-06,0,1
"17",2006-11-01,1,0
"18",2007-02-03,0,1
"19",2007-03-20,0,1
"20",2007-09-05,1,0
"21",2007-09-07,1,0
"22",2008-04-09,1,0
"23",2008-05-22,0,1
"24",2008-06-04,1,0
"25",2008-07-10,1,0
"26",2008-07-30,1,0
"27",2010-03-26,1,0
"28",2010-04-13,1,0
"29",2010-10-07,0,1
"30",2010-12-29,1,0
"31",2011-03-01,0,1
"32",2011-07-25,1,0
"33",2011-12-18,0,1
"34",2012-07-21,0,1
"35",2012-08-24,1,0
"36",2013-05-29,1,0
"37",2013-07-01,0,1
"38",2013-07-20,1,0
"39",2013-09-15,1,0
"40",2013-09-30,0,1
"41",2014-07-30,0,1
"42",2014-09-24,0,1
"43",2015-02-11,0,1
"44",2015-06-09,1,0
"45",2015-06-25,0,1
"46",2015-10-19,1,0
