"i","Date","Solved","Not Solved"
"1",2003-01-01,1,0
"2",2003-01-02,6,0
"3",2003-01-03,11,0
"4",2003-01-04,13,0
"5",2003-01-05,1,0
"6",2003-01-07,10,0
"7",2003-01-08,6,0
"8",2003-01-09,12,0
"9",2003-01-10,10,0
"10",2003-01-11,1,0
"11",2003-01-14,12,0
"12",2003-01-15,9,0
"13",2003-01-16,9,0
"14",2003-01-17,10,0
"15",2003-01-18,6,0
"16",2003-01-20,2,0
"17",2003-01-21,1,0
"18",2003-01-22,2,0
"19",2003-01-23,9,0
"20",2003-01-24,12,0
"21",2003-01-28,8,0
"22",2003-01-29,10,0
"23",2003-01-30,6,0
"24",2003-01-31,20,0
"25",2003-02-01,3,0
"26",2003-02-02,1,0
"27",2003-02-03,1,0
"28",2003-02-04,7,0
"29",2003-02-05,12,0
"30",2003-02-06,6,0
"31",2003-02-07,6,0
"32",2003-02-08,16,2
"33",2003-02-11,14,0
"34",2003-02-12,17,0
"35",2003-02-13,1,0
"36",2003-02-14,15,8
"37",2003-02-15,0,4
"38",2003-02-16,2,0
"39",2003-02-19,6,1
"40",2003-02-20,5,0
"41",2003-02-21,10,0
"42",2003-02-22,0,2
"43",2003-02-26,14,0
"44",2003-02-27,14,0
"45",2003-02-28,1,0
"46",2003-03-01,1,0
"47",2003-03-05,1,0
"48",2003-03-06,1,0
"49",2003-03-07,19,0
"50",2003-03-12,4,0
"51",2003-03-13,7,0
"52",2003-03-14,2,0
"53",2003-03-15,10,0
"54",2003-03-16,1,0
"55",2003-03-19,11,0
"56",2003-03-20,4,0
"57",2003-03-21,1,0
"58",2003-03-26,12,0
"59",2003-03-27,19,0
"60",2003-03-29,11,0
"61",2003-04-01,1,1
"62",2003-04-02,8,0
"63",2003-04-03,14,0
"64",2003-04-04,3,0
"65",2003-04-05,12,0
"66",2003-04-07,1,0
"67",2003-04-08,1,0
"68",2003-04-09,7,0
"69",2003-04-10,13,0
"70",2003-04-11,19,2
"71",2003-04-12,15,2
"72",2003-04-13,1,0
"73",2003-04-15,2,0
"74",2003-04-16,6,0
"75",2003-04-17,5,0
"76",2003-04-18,11,0
"77",2003-04-19,11,0
"78",2003-04-23,6,0
"79",2003-04-24,3,0
"80",2003-04-25,18,0
"81",2003-04-26,8,0
"82",2003-04-29,3,0
"83",2003-04-30,12,1
"84",2003-05-01,5,0
"85",2003-05-02,14,0
"86",2003-05-03,12,0
"87",2003-05-05,1,0
"88",2003-05-06,3,0
"89",2003-05-07,12,0
"90",2003-05-08,5,0
"91",2003-05-09,10,0
"92",2003-05-10,17,0
"93",2003-05-12,1,1
"94",2003-05-14,6,0
"95",2003-05-15,15,0
"96",2003-05-16,1,0
"97",2003-05-19,5,0
"98",2003-05-20,2,0
"99",2003-05-21,26,0
"100",2003-05-22,6,0
"101",2003-05-23,18,0
"102",2003-05-24,20,0
"103",2003-05-25,2,0
"104",2003-05-26,1,0
"105",2003-05-27,1,0
"106",2003-05-28,10,0
"107",2003-05-29,19,0
"108",2003-05-30,9,0
"109",2003-05-31,2,0
"110",2003-06-02,1,0
"111",2003-06-04,1,0
"112",2003-06-05,16,0
"113",2003-06-06,9,0
"114",2003-06-07,2,0
"115",2003-06-11,4,0
"116",2003-06-12,3,0
"117",2003-06-13,4,0
"118",2003-06-14,13,0
"119",2003-06-17,1,0
"120",2003-06-18,2,0
"121",2003-06-19,13,0
"122",2003-06-21,8,0
"123",2003-06-24,1,0
"124",2003-06-25,14,0
"125",2003-06-26,1,0
"126",2003-06-27,28,0
"127",2003-07-01,1,0
"128",2003-07-02,17,0
"129",2003-07-03,2,1
"130",2003-07-04,12,0
"131",2003-07-05,1,0
"132",2003-07-08,1,1
"133",2003-07-09,2,0
"134",2003-07-10,3,0
"135",2003-07-11,10,0
"136",2003-07-12,18,0
"137",2003-07-16,1,0
"138",2003-07-17,12,0
"139",2003-07-18,1,0
"140",2003-07-19,9,0
"141",2003-07-21,1,0
"142",2003-07-23,3,0
"143",2003-07-24,12,0
"144",2003-07-26,6,0
"145",2003-07-30,14,0
"146",2003-07-31,1,0
"147",2003-08-05,1,0
"148",2003-08-07,19,0
"149",2003-08-09,1,0
"150",2003-08-13,16,0
"151",2003-08-14,9,0
"152",2003-08-15,1,0
"153",2003-08-16,1,1
"154",2003-08-17,1,0
"155",2003-08-19,1,0
"156",2003-08-20,11,0
"157",2003-08-21,9,0
"158",2003-08-22,7,0
"159",2003-08-23,8,0
"160",2003-08-24,2,0
"161",2003-08-25,1,0
"162",2003-08-26,2,0
"163",2003-08-27,4,0
"164",2003-08-28,23,1
"165",2003-08-29,8,0
"166",2003-08-30,6,0
"167",2003-09-02,1,0
"168",2003-09-03,2,0
"169",2003-09-04,3,0
"170",2003-09-05,22,0
"171",2003-09-06,2,0
"172",2003-09-10,6,0
"173",2003-09-11,17,0
"174",2003-09-12,1,0
"175",2003-09-13,8,0
"176",2003-09-14,1,0
"177",2003-09-15,4,0
"178",2003-09-16,3,0
"179",2003-09-17,18,0
"180",2003-09-18,25,1
"181",2003-09-19,14,0
"182",2003-09-20,8,0
"183",2003-09-21,1,0
"184",2003-09-23,1,0
"185",2003-09-24,21,2
"186",2003-09-25,4,0
"187",2003-09-26,37,1
"188",2003-09-27,2,0
"189",2003-09-29,1,0
"190",2003-09-30,1,0
"191",2003-10-01,7,1
"192",2003-10-02,9,0
"193",2003-10-03,16,0
"194",2003-10-04,3,0
"195",2003-10-05,1,0
"196",2003-10-06,1,0
"197",2003-10-07,2,0
"198",2003-10-08,21,0
"199",2003-10-09,2,0
"200",2003-10-10,9,0
"201",2003-10-11,4,0
"202",2003-10-14,2,0
"203",2003-10-15,15,0
"204",2003-10-16,8,0
"205",2003-10-17,12,0
"206",2003-10-18,5,0
"207",2003-10-19,1,0
"208",2003-10-20,1,0
"209",2003-10-21,3,0
"210",2003-10-22,1,0
"211",2003-10-23,9,0
"212",2003-10-24,2,0
"213",2003-10-25,1,0
"214",2003-10-28,6,0
"215",2003-10-29,12,0
"216",2003-10-30,6,0
"217",2003-10-31,20,0
"218",2003-11-01,0,1
"219",2003-11-02,1,0
"220",2003-11-04,1,0
"221",2003-11-05,2,0
"222",2003-11-06,20,0
"223",2003-11-07,14,2
"224",2003-11-08,1,0
"225",2003-11-09,2,0
"226",2003-11-12,2,0
"227",2003-11-13,8,0
"228",2003-11-14,19,3
"229",2003-11-16,1,0
"230",2003-11-18,4,0
"231",2003-11-19,6,0
"232",2003-11-20,13,1
"233",2003-11-21,1,0
"234",2003-11-22,8,0
"235",2003-11-23,2,0
"236",2003-11-24,1,0
"237",2003-11-25,1,0
"238",2003-11-26,22,0
"239",2003-11-27,25,0
"240",2003-11-29,1,0
"241",2003-12-01,3,0
"242",2003-12-02,4,0
"243",2003-12-03,15,0
"244",2003-12-04,7,0
"245",2003-12-05,1,0
"246",2003-12-06,2,0
"247",2003-12-08,1,0
"248",2003-12-09,4,0
"249",2003-12-10,1,0
"250",2003-12-11,10,0
"251",2003-12-12,9,0
"252",2003-12-13,6,0
"253",2003-12-15,2,0
"254",2003-12-16,2,0
"255",2003-12-17,17,0
"256",2003-12-18,4,0
"257",2003-12-19,22,0
"258",2003-12-20,1,1
"259",2003-12-22,1,0
"260",2003-12-24,28,0
"261",2003-12-25,0,1
