"i","Date","Solved","Not Solved"
"1",2006-01-01,0,1
"2",2006-01-02,0,4
"3",2006-01-03,0,3
"4",2006-01-04,0,5
"5",2006-01-05,0,4
"6",2006-01-06,1,2
"7",2006-01-07,0,2
"8",2006-01-09,0,6
"9",2006-01-10,0,5
"10",2006-01-11,0,1
"11",2006-01-12,0,2
"12",2006-01-14,0,5
"13",2006-01-15,0,3
"14",2006-01-16,0,1
"15",2006-01-17,1,6
"16",2006-01-18,0,5
"17",2006-01-19,0,5
"18",2006-01-20,0,2
"19",2006-01-21,1,2
"20",2006-01-22,2,5
"21",2006-01-23,0,5
"22",2006-01-24,0,4
"23",2006-01-25,0,2
"24",2006-01-26,0,2
"25",2006-01-27,1,2
"26",2006-01-28,0,5
"27",2006-01-29,0,2
"28",2006-01-30,1,2
"29",2006-01-31,0,5
"30",2006-02-01,1,3
"31",2006-02-02,0,1
"32",2006-02-03,0,4
"33",2006-02-04,0,1
"34",2006-02-05,1,0
"35",2006-02-06,2,4
"36",2006-02-07,0,3
"37",2006-02-08,0,2
"38",2006-02-09,1,5
"39",2006-02-10,1,2
"40",2006-02-11,0,4
"41",2006-02-12,0,4
"42",2006-02-13,1,1
"43",2006-02-14,0,5
"44",2006-02-16,1,2
"45",2006-02-17,0,4
"46",2006-02-18,0,1
"47",2006-02-19,0,1
"48",2006-02-20,0,3
"49",2006-02-21,0,1
"50",2006-02-22,0,1
"51",2006-02-23,1,2
"52",2006-02-24,0,2
"53",2006-02-25,0,4
"54",2006-02-26,0,2
"55",2006-02-27,0,2
"56",2006-03-01,0,3
"57",2006-03-02,0,3
"58",2006-03-03,0,2
"59",2006-03-04,0,2
"60",2006-03-05,0,2
"61",2006-03-06,0,4
"62",2006-03-07,0,1
"63",2006-03-08,0,3
"64",2006-03-09,0,2
"65",2006-03-10,1,1
"66",2006-03-11,0,2
"67",2006-03-12,0,3
"68",2006-03-13,0,6
"69",2006-03-14,0,5
"70",2006-03-15,0,1
"71",2006-03-16,0,1
"72",2006-03-18,0,1
"73",2006-03-19,0,3
"74",2006-03-20,0,3
"75",2006-03-21,0,3
"76",2006-03-22,0,3
"77",2006-03-23,0,3
"78",2006-03-24,0,5
"79",2006-03-25,0,1
"80",2006-03-26,1,1
"81",2006-03-27,0,2
"82",2006-03-28,0,2
"83",2006-03-29,0,1
"84",2006-03-30,0,1
"85",2006-03-31,0,5
"86",2006-04-01,1,2
"87",2006-04-02,0,2
"88",2006-04-03,0,3
"89",2006-04-04,0,3
"90",2006-04-05,0,6
"91",2006-04-06,0,1
"92",2006-04-07,0,5
"93",2006-04-08,0,4
"94",2006-04-09,0,4
"95",2006-04-10,0,3
"96",2006-04-11,0,2
"97",2006-04-12,0,3
"98",2006-04-13,0,3
"99",2006-04-14,0,2
"100",2006-04-15,1,5
"101",2006-04-16,1,3
"102",2006-04-17,0,4
"103",2006-04-19,0,4
"104",2006-04-20,0,1
"105",2006-04-21,1,4
"106",2006-04-22,0,1
"107",2006-04-23,0,3
"108",2006-04-24,0,3
"109",2006-04-25,0,5
"110",2006-04-26,0,5
"111",2006-04-27,0,3
"112",2006-04-28,0,1
"113",2006-04-29,0,3
"114",2006-05-01,0,3
"115",2006-05-02,0,2
"116",2006-05-03,1,1
"117",2006-05-04,0,3
"118",2006-05-05,0,2
"119",2006-05-06,0,2
"120",2006-05-07,0,2
"121",2006-05-08,0,3
"122",2006-05-09,0,3
"123",2006-05-10,0,3
"124",2006-05-11,0,4
"125",2006-05-12,0,6
"126",2006-05-13,0,1
"127",2006-05-14,0,1
"128",2006-05-15,0,3
"129",2006-05-16,0,1
"130",2006-05-17,0,10
"131",2006-05-18,0,2
"132",2006-05-19,0,2
"133",2006-05-20,0,5
"134",2006-05-21,0,1
"135",2006-05-22,0,3
"136",2006-05-23,0,2
"137",2006-05-24,0,5
"138",2006-05-25,0,2
"139",2006-05-26,0,2
"140",2006-05-27,0,6
"141",2006-05-28,0,4
"142",2006-05-29,0,1
"143",2006-05-30,0,3
"144",2006-05-31,0,2
"145",2006-06-01,0,2
"146",2006-06-02,0,5
"147",2006-06-03,0,4
"148",2006-06-04,0,2
"149",2006-06-05,0,2
"150",2006-06-06,0,2
"151",2006-06-07,0,5
"152",2006-06-08,0,2
"153",2006-06-09,0,2
"154",2006-06-10,0,2
"155",2006-06-11,0,1
"156",2006-06-12,0,2
"157",2006-06-13,0,3
"158",2006-06-14,0,1
"159",2006-06-15,0,6
"160",2006-06-16,0,3
"161",2006-06-17,0,2
"162",2006-06-18,0,2
"163",2006-06-19,0,2
"164",2006-06-20,0,5
"165",2006-06-21,0,1
"166",2006-06-22,0,2
"167",2006-06-23,0,1
"168",2006-06-24,0,1
"169",2006-06-25,0,2
"170",2006-06-26,0,3
"171",2006-06-27,0,5
"172",2006-06-28,0,2
"173",2006-06-29,0,2
"174",2006-06-30,0,3
"175",2006-07-01,1,3
"176",2006-07-02,1,0
"177",2006-07-03,1,1
"178",2006-07-05,1,0
"179",2006-07-06,0,4
"180",2006-07-07,0,2
"181",2006-07-08,1,2
"182",2006-07-09,0,2
"183",2006-07-11,0,4
"184",2006-07-12,0,3
"185",2006-07-13,0,2
"186",2006-07-14,0,3
"187",2006-07-15,0,2
"188",2006-07-16,0,3
"189",2006-07-17,0,2
"190",2006-07-18,0,2
"191",2006-07-19,0,1
"192",2006-07-20,0,4
"193",2006-07-21,0,2
"194",2006-07-22,0,2
"195",2006-07-24,0,5
"196",2006-07-25,0,1
"197",2006-07-26,0,5
"198",2006-07-27,0,5
"199",2006-07-28,0,5
"200",2006-07-29,1,3
"201",2006-07-30,0,3
"202",2006-07-31,0,3
"203",2006-08-01,1,6
"204",2006-08-02,0,1
"205",2006-08-03,0,1
"206",2006-08-04,1,5
"207",2006-08-05,0,6
"208",2006-08-07,0,3
"209",2006-08-08,0,4
"210",2006-08-09,0,4
"211",2006-08-10,1,3
"212",2006-08-11,2,4
"213",2006-08-12,0,1
"214",2006-08-13,1,0
"215",2006-08-14,0,5
"216",2006-08-15,0,5
"217",2006-08-16,0,1
"218",2006-08-17,0,3
"219",2006-08-18,0,6
"220",2006-08-19,0,3
"221",2006-08-20,0,3
"222",2006-08-21,2,5
"223",2006-08-22,0,6
"224",2006-08-23,0,3
"225",2006-08-24,0,6
"226",2006-08-25,1,3
"227",2006-08-26,0,5
"228",2006-08-27,0,1
"229",2006-08-28,0,3
"230",2006-08-29,0,5
"231",2006-08-30,0,3
"232",2006-08-31,0,6
"233",2006-09-01,0,3
"234",2006-09-02,0,3
"235",2006-09-03,0,4
"236",2006-09-04,0,4
"237",2006-09-05,0,1
"238",2006-09-07,0,1
"239",2006-09-08,0,2
"240",2006-09-09,0,5
"241",2006-09-11,0,3
"242",2006-09-12,0,2
"243",2006-09-13,0,4
"244",2006-09-14,0,5
"245",2006-09-15,1,2
"246",2006-09-16,0,2
"247",2006-09-17,0,3
"248",2006-09-18,0,1
"249",2006-09-19,0,3
"250",2006-09-20,0,4
"251",2006-09-21,0,3
"252",2006-09-22,0,4
"253",2006-09-23,0,1
"254",2006-09-24,0,4
"255",2006-09-25,0,1
"256",2006-09-26,0,2
"257",2006-09-27,0,5
"258",2006-09-28,0,3
"259",2006-09-29,0,4
"260",2006-09-30,0,3
"261",2006-10-01,0,1
"262",2006-10-02,0,2
"263",2006-10-03,0,2
"264",2006-10-04,0,4
"265",2006-10-05,0,3
"266",2006-10-06,1,1
"267",2006-10-07,1,5
"268",2006-10-08,1,2
"269",2006-10-09,0,2
"270",2006-10-10,0,2
"271",2006-10-11,0,2
"272",2006-10-12,0,1
"273",2006-10-13,0,3
"274",2006-10-14,0,3
"275",2006-10-15,0,3
"276",2006-10-16,1,4
"277",2006-10-17,0,5
"278",2006-10-18,0,3
"279",2006-10-19,1,0
"280",2006-10-20,0,6
"281",2006-10-21,0,2
"282",2006-10-22,0,4
"283",2006-10-23,0,1
"284",2006-10-24,0,4
"285",2006-10-25,0,4
"286",2006-10-26,0,2
"287",2006-10-27,0,1
"288",2006-10-28,0,3
"289",2006-10-29,0,3
"290",2006-10-30,0,5
"291",2006-10-31,0,3
"292",2006-11-01,0,2
"293",2006-11-02,0,7
"294",2006-11-03,0,1
"295",2006-11-04,0,4
"296",2006-11-05,0,2
"297",2006-11-06,0,5
"298",2006-11-07,0,4
"299",2006-11-08,0,5
"300",2006-11-09,0,6
"301",2006-11-11,0,2
"302",2006-11-12,0,3
"303",2006-11-13,0,4
"304",2006-11-14,1,5
"305",2006-11-15,0,3
"306",2006-11-16,0,5
"307",2006-11-17,0,1
"308",2006-11-18,0,1
"309",2006-11-20,1,1
"310",2006-11-21,0,4
"311",2006-11-22,0,3
"312",2006-11-23,0,1
"313",2006-11-24,0,1
"314",2006-11-25,0,3
"315",2006-11-26,0,3
"316",2006-11-27,0,1
"317",2006-11-28,0,4
"318",2006-11-29,0,1
"319",2006-11-30,0,6
