"i","Date","Solved","Not Solved"
"1",2003-01-02,1,0
"2",2003-01-03,2,1
"3",2003-01-04,1,1
"4",2003-01-05,1,0
"5",2003-01-09,2,1
"6",2003-01-10,2,1
"7",2003-01-11,0,1
"8",2003-01-12,0,1
"9",2003-01-15,1,3
"10",2003-01-16,1,0
"11",2003-01-18,0,1
"12",2003-01-19,0,1
"13",2003-01-20,1,1
"14",2003-01-24,3,2
"15",2003-01-25,2,0
"16",2003-01-27,2,0
"17",2003-01-28,0,1
"18",2003-01-29,0,2
"19",2003-01-30,1,0
"20",2003-01-31,0,1
"21",2003-02-01,2,0
"22",2003-02-05,0,1
"23",2003-02-06,1,0
"24",2003-02-08,4,0
"25",2003-02-09,1,1
"26",2003-02-11,3,0
"27",2003-02-14,1,0
"28",2003-02-15,0,1
"29",2003-02-16,2,0
"30",2003-02-18,1,1
"31",2003-02-20,1,0
"32",2003-02-22,1,0
"33",2003-02-23,0,2
"34",2003-02-26,0,1
"35",2003-02-27,1,0
"36",2003-02-28,0,1
"37",2003-03-01,1,1
"38",2003-03-02,1,0
"39",2003-03-03,0,1
"40",2003-03-05,1,0
"41",2003-03-07,1,0
"42",2003-03-08,0,1
"43",2003-03-09,1,0
"44",2003-03-11,2,1
"45",2003-03-14,1,0
"46",2003-03-16,1,0
"47",2003-03-18,1,1
"48",2003-03-20,0,1
"49",2003-03-21,3,0
"50",2003-03-25,0,1
"51",2003-03-27,1,2
"52",2003-03-28,4,0
"53",2003-03-29,1,0
"54",2003-04-02,2,0
"55",2003-04-03,1,0
"56",2003-04-04,1,1
"57",2003-04-06,0,2
"58",2003-04-07,1,0
"59",2003-04-08,1,2
"60",2003-04-09,1,0
"61",2003-04-10,1,3
"62",2003-04-11,0,1
"63",2003-04-12,0,3
"64",2003-04-13,1,0
"65",2003-04-14,3,0
"66",2003-04-16,1,0
"67",2003-04-19,1,1
"68",2003-04-20,1,0
"69",2003-04-21,1,0
"70",2003-04-23,2,0
"71",2003-04-24,1,1
"72",2003-04-25,1,0
"73",2003-04-29,1,0
"74",2003-05-01,2,0
"75",2003-05-02,0,2
"76",2003-05-06,2,1
"77",2003-05-08,0,1
"78",2003-05-09,2,0
"79",2003-05-11,0,1
"80",2003-05-14,1,2
"81",2003-05-15,1,0
"82",2003-05-17,1,0
"83",2003-05-19,3,0
"84",2003-05-20,2,0
"85",2003-05-21,1,0
"86",2003-05-22,2,0
"87",2003-05-23,2,0
"88",2003-05-24,1,0
"89",2003-05-25,1,0
"90",2003-05-28,2,0
"91",2003-05-29,3,0
"92",2003-05-30,1,0
"93",2003-06-01,1,0
"94",2003-06-02,0,1
"95",2003-06-04,0,1
"96",2003-06-05,1,0
"97",2003-06-06,1,0
"98",2003-06-07,3,0
"99",2003-06-10,1,0
"100",2003-06-11,2,0
"101",2003-06-12,1,0
"102",2003-06-13,1,0
"103",2003-06-14,1,2
"104",2003-06-15,1,0
"105",2003-06-16,0,1
"106",2003-06-17,2,0
"107",2003-06-18,1,0
"108",2003-06-19,2,0
"109",2003-06-20,2,0
"110",2003-06-22,1,0
"111",2003-06-23,1,0
"112",2003-06-25,0,1
"113",2003-06-26,1,0
"114",2003-06-27,2,0
"115",2003-06-28,2,0
"116",2003-06-30,2,0
"117",2003-07-01,1,0
"118",2003-07-02,1,0
"119",2003-07-03,1,0
"120",2003-07-04,1,0
"121",2003-07-05,2,0
"122",2003-07-07,2,0
"123",2003-07-08,2,2
"124",2003-07-09,1,0
"125",2003-07-11,1,0
"126",2003-07-12,1,0
"127",2003-07-17,1,0
"128",2003-07-19,1,1
"129",2003-07-20,1,0
"130",2003-07-21,1,1
"131",2003-07-22,1,1
"132",2003-07-24,1,0
"133",2003-07-25,0,1
"134",2003-07-26,2,0
"135",2003-07-28,1,1
"136",2003-07-31,2,0
"137",2003-08-01,3,0
"138",2003-08-04,1,0
"139",2003-08-06,0,1
"140",2003-08-07,1,0
"141",2003-08-10,1,0
"142",2003-08-12,1,0
"143",2003-08-13,1,0
"144",2003-08-19,1,0
"145",2003-08-21,0,1
"146",2003-08-23,1,0
"147",2003-08-24,2,0
"148",2003-08-25,1,0
"149",2003-08-26,1,1
"150",2003-08-28,3,2
"151",2003-08-29,1,1
"152",2003-08-31,1,1
"153",2003-09-01,0,1
"154",2003-09-02,1,0
"155",2003-09-04,1,0
"156",2003-09-05,3,0
"157",2003-09-06,2,0
"158",2003-09-07,1,0
"159",2003-09-09,0,1
"160",2003-09-12,1,1
"161",2003-09-13,1,0
"162",2003-09-15,1,0
"163",2003-09-16,1,0
"164",2003-09-17,1,0
"165",2003-09-18,1,1
"166",2003-09-19,2,0
"167",2003-09-21,2,1
"168",2003-09-22,2,0
"169",2003-09-23,2,1
"170",2003-09-25,2,0
"171",2003-10-01,1,0
"172",2003-10-02,2,1
"173",2003-10-03,1,0
"174",2003-10-04,2,1
"175",2003-10-05,2,0
"176",2003-10-06,1,0
"177",2003-10-07,2,0
"178",2003-10-08,0,1
"179",2003-10-09,1,0
"180",2003-10-10,2,0
"181",2003-10-11,1,0
"182",2003-10-14,0,1
"183",2003-10-15,0,1
"184",2003-10-16,0,1
"185",2003-10-17,1,0
"186",2003-10-18,1,0
"187",2003-10-19,1,0
"188",2003-10-20,1,0
"189",2003-10-21,1,1
"190",2003-10-22,1,0
"191",2003-10-24,2,0
"192",2003-10-25,1,0
"193",2003-10-28,3,0
"194",2003-10-29,2,0
"195",2003-10-31,1,0
"196",2003-11-01,0,1
"197",2003-11-03,2,0
"198",2003-11-04,2,0
"199",2003-11-05,1,0
"200",2003-11-06,1,0
"201",2003-11-07,1,1
"202",2003-11-09,1,0
"203",2003-11-10,0,1
"204",2003-11-11,1,0
"205",2003-11-12,2,0
"206",2003-11-15,0,1
"207",2003-11-17,1,0
"208",2003-11-18,1,0
"209",2003-11-20,1,0
"210",2003-11-21,1,0
"211",2003-11-22,1,0
"212",2003-11-25,1,0
"213",2003-11-27,1,0
"214",2003-11-29,0,1
"215",2003-12-02,1,0
"216",2003-12-03,0,1
"217",2003-12-06,3,0
"218",2003-12-10,0,1
"219",2003-12-11,0,1
"220",2003-12-12,1,0
"221",2003-12-13,3,0
"222",2003-12-16,2,0
"223",2003-12-17,2,0
"224",2003-12-18,2,1
"225",2003-12-26,1,0
"226",2003-12-27,1,0
"227",2003-12-30,1,0
"228",2004-01-01,2,0
"229",2004-01-02,1,0
"230",2004-01-03,1,0
"231",2004-01-06,2,0
"232",2004-01-09,1,0
"233",2004-01-10,1,0
"234",2004-01-13,1,0
"235",2004-01-16,0,1
"236",2004-01-17,3,2
"237",2004-01-19,1,1
"238",2004-01-20,2,0
"239",2004-01-22,1,0
"240",2004-01-24,1,0
"241",2004-01-25,1,0
"242",2004-01-26,0,1
"243",2004-01-27,1,0
"244",2004-01-28,0,1
"245",2004-01-29,4,0
"246",2004-01-30,1,0
"247",2004-01-31,1,0
"248",2004-02-01,2,0
"249",2004-02-03,1,0
"250",2004-02-05,1,0
"251",2004-02-06,0,1
"252",2004-02-07,0,1
"253",2004-02-10,1,0
"254",2004-02-12,3,0
"255",2004-02-14,0,2
"256",2004-02-18,1,0
"257",2004-02-19,0,1
"258",2004-02-21,1,0
"259",2004-02-22,1,2
"260",2004-02-24,1,0
"261",2004-02-25,2,0
"262",2004-02-26,1,0
"263",2004-02-27,2,0
"264",2004-02-28,2,1
"265",2004-02-29,1,0
"266",2004-03-02,1,1
"267",2004-03-04,1,1
"268",2004-03-05,1,1
"269",2004-03-06,2,1
"270",2004-03-07,1,0
"271",2004-03-08,2,0
"272",2004-03-09,1,0
"273",2004-03-11,4,0
"274",2004-03-12,1,0
"275",2004-03-13,1,2
"276",2004-03-14,0,1
"277",2004-03-15,1,0
"278",2004-03-16,2,0
"279",2004-03-19,1,0
"280",2004-03-21,1,0
"281",2004-03-22,1,0
"282",2004-03-24,2,0
"283",2004-03-25,2,0
"284",2004-03-26,1,2
"285",2004-03-27,5,1
"286",2004-03-28,2,0
"287",2004-03-31,3,1
"288",2004-04-01,1,0
"289",2004-04-02,4,1
"290",2004-04-03,4,1
"291",2004-04-05,1,0
"292",2004-04-06,1,0
"293",2004-04-07,1,0
"294",2004-04-08,0,1
"295",2004-04-09,2,0
"296",2004-04-13,2,0
"297",2004-04-14,1,0
"298",2004-04-15,5,1
"299",2004-04-16,1,1
"300",2004-04-17,1,2
"301",2004-04-18,3,1
"302",2004-04-19,2,0
"303",2004-04-22,1,0
"304",2004-04-23,2,0
"305",2004-04-25,2,1
"306",2004-04-26,2,0
"307",2004-04-27,4,0
"308",2004-04-28,2,0
"309",2004-04-29,1,0
"310",2004-04-30,2,1
"311",2004-05-02,1,0
"312",2004-05-03,2,0
"313",2004-05-04,2,0
"314",2004-05-05,4,1
"315",2004-05-06,3,0
"316",2004-05-07,3,2
"317",2004-05-08,0,1
"318",2004-05-11,0,1
"319",2004-05-15,2,2
"320",2004-05-16,1,1
"321",2004-05-17,2,1
"322",2004-05-18,1,0
"323",2004-05-19,1,0
"324",2004-05-21,1,1
"325",2004-05-22,0,1
"326",2004-05-23,1,0
"327",2004-05-24,3,1
"328",2004-05-25,0,2
"329",2004-05-26,1,0
"330",2004-05-27,1,1
"331",2004-05-28,0,1
"332",2004-05-29,1,0
"333",2004-05-30,0,1
"334",2004-05-31,3,0
"335",2004-06-01,1,0
"336",2004-06-02,1,0
"337",2004-06-04,1,0
"338",2004-06-05,1,1
"339",2004-06-06,3,1
"340",2004-06-07,1,0
"341",2004-06-09,3,0
"342",2004-06-10,1,0
"343",2004-06-11,1,1
"344",2004-06-12,1,0
"345",2004-06-13,1,1
"346",2004-06-14,1,2
"347",2004-06-15,1,0
"348",2004-06-16,1,0
"349",2004-06-17,2,0
"350",2004-06-18,1,0
"351",2004-06-20,3,0
"352",2004-06-21,1,0
"353",2004-06-22,1,0
"354",2004-06-23,1,0
"355",2004-06-24,2,0
"356",2004-06-25,0,1
"357",2004-06-26,1,1
"358",2004-06-27,1,0
"359",2004-06-29,1,0
"360",2004-07-02,1,0
"361",2004-07-03,1,1
"362",2004-07-05,4,0
"363",2004-07-07,2,0
"364",2004-07-08,1,0
"365",2004-07-10,1,0
"366",2004-07-12,2,0
"367",2004-07-14,1,0
"368",2004-07-15,2,0
"369",2004-07-17,1,0
"370",2004-07-19,1,0
"371",2004-07-21,0,1
"372",2004-07-23,1,0
"373",2004-07-24,2,2
"374",2004-07-25,2,0
"375",2004-07-28,3,0
"376",2004-07-30,1,0
"377",2004-08-02,1,0
"378",2004-08-03,3,0
"379",2004-08-05,0,1
"380",2004-08-08,1,0
"381",2004-08-09,1,0
"382",2004-08-11,1,0
"383",2004-08-13,2,0
"384",2004-08-17,1,0
"385",2004-08-19,1,0
"386",2004-08-20,1,0
"387",2004-08-27,2,0
"388",2004-08-28,1,0
"389",2004-09-01,3,0
"390",2004-09-04,1,1
"391",2004-09-06,1,1
"392",2004-09-08,1,0
"393",2004-09-11,1,0
"394",2004-09-15,1,0
"395",2004-09-16,2,0
"396",2004-09-17,4,0
"397",2004-09-18,2,1
"398",2004-09-19,1,0
"399",2004-09-20,0,1
"400",2004-09-21,3,2
"401",2004-09-22,3,0
"402",2004-09-23,1,0
"403",2004-09-24,3,0
"404",2004-09-25,2,0
"405",2004-09-26,2,0
"406",2004-09-29,2,0
"407",2004-09-30,1,1
"408",2004-10-01,0,2
"409",2004-10-02,1,0
"410",2004-10-05,1,0
"411",2004-10-06,2,0
"412",2004-10-07,1,0
"413",2004-10-08,1,0
"414",2004-10-09,1,0
"415",2004-10-10,2,0
"416",2004-10-12,1,0
"417",2004-10-13,1,0
"418",2004-10-15,2,0
"419",2004-10-17,1,0
"420",2004-10-18,2,0
"421",2004-10-20,0,2
"422",2004-10-22,1,0
"423",2004-10-23,5,0
"424",2004-10-24,1,1
"425",2004-10-25,2,0
"426",2004-10-26,1,1
"427",2004-10-29,2,0
"428",2004-10-31,1,0
"429",2004-11-01,3,1
"430",2004-11-05,0,1
"431",2004-11-07,3,1
"432",2004-11-08,1,0
"433",2004-11-10,2,0
"434",2004-11-11,2,0
"435",2004-11-12,3,0
"436",2004-11-13,3,0
"437",2004-11-14,1,0
"438",2004-11-15,3,1
"439",2004-11-16,3,0
"440",2004-11-17,2,0
"441",2004-11-18,1,0
"442",2004-11-19,0,1
"443",2004-11-20,1,1
"444",2004-11-24,1,0
"445",2004-11-25,1,0
"446",2004-11-27,1,0
"447",2004-11-30,1,0
"448",2004-12-04,1,0
"449",2004-12-05,1,0
"450",2004-12-08,1,0
"451",2004-12-09,0,1
"452",2004-12-12,1,0
"453",2004-12-13,1,0
"454",2004-12-16,1,0
"455",2004-12-18,3,1
"456",2004-12-19,1,0
"457",2004-12-20,0,1
"458",2004-12-21,1,0
"459",2004-12-23,0,1
"460",2004-12-25,1,0
"461",2004-12-28,1,0
"462",2004-12-30,2,0
"463",2004-12-31,3,0
"464",2005-01-01,1,0
"465",2005-01-02,1,0
"466",2005-01-03,1,0
"467",2005-01-05,3,0
