"i","Date","Solved","Not Solved"
"1",2003-01-01,0,2
"2",2003-01-02,1,3
"3",2003-01-03,1,4
"4",2003-01-04,4,5
"5",2003-01-05,2,0
"6",2003-01-06,2,1
"7",2003-01-07,3,0
"8",2003-01-08,0,1
"9",2003-01-09,0,3
"10",2003-01-10,1,3
"11",2003-01-11,3,1
"12",2003-01-12,4,1
"13",2003-01-13,2,0
"14",2003-01-14,1,2
"15",2003-01-15,0,3
"16",2003-01-16,0,4
"17",2003-01-17,1,2
"18",2003-01-18,2,3
"19",2003-01-19,0,1
"20",2003-01-20,1,3
"21",2003-01-21,2,0
"22",2003-01-22,2,2
"23",2003-01-23,3,2
"24",2003-01-24,1,1
"25",2003-01-25,2,2
"26",2003-01-26,2,2
"27",2003-01-27,1,3
"28",2003-01-28,2,2
"29",2003-01-29,1,3
"30",2003-01-30,2,2
"31",2003-01-31,1,1
"32",2003-02-01,1,3
"33",2003-02-02,1,5
"34",2003-02-03,0,2
"35",2003-02-04,0,1
"36",2003-02-05,2,2
"37",2003-02-06,1,2
"38",2003-02-07,0,4
"39",2003-02-09,2,1
"40",2003-02-10,0,2
"41",2003-02-11,2,1
"42",2003-02-12,2,2
"43",2003-02-13,1,2
"44",2003-02-14,1,4
"45",2003-02-15,0,2
"46",2003-02-16,2,2
"47",2003-02-17,0,1
"48",2003-02-18,3,2
"49",2003-02-19,1,0
"50",2003-02-20,1,4
"51",2003-02-21,1,3
"52",2003-02-22,1,2
"53",2003-02-23,2,1
"54",2003-02-24,2,0
"55",2003-02-25,0,4
"56",2003-02-26,1,6
"57",2003-02-27,1,2
"58",2003-02-28,0,1
"59",2003-03-01,2,3
"60",2003-03-02,1,0
"61",2003-03-03,0,3
"62",2003-03-04,4,0
"63",2003-03-05,1,5
"64",2003-03-06,1,4
"65",2003-03-07,3,1
"66",2003-03-08,0,2
"67",2003-03-10,0,2
"68",2003-03-11,2,2
"69",2003-03-12,1,0
"70",2003-03-13,1,2
"71",2003-03-14,3,2
"72",2003-03-15,2,2
"73",2003-03-16,1,5
"74",2003-03-17,2,5
"75",2003-03-18,2,1
"76",2003-03-19,1,1
"77",2003-03-20,4,0
"78",2003-03-21,1,1
"79",2003-03-22,1,4
"80",2003-03-23,1,1
"81",2003-03-24,0,4
"82",2003-03-25,1,2
"83",2003-03-26,2,2
"84",2003-03-27,1,5
"85",2003-03-28,2,3
"86",2003-03-29,2,2
"87",2003-03-30,1,1
"88",2003-03-31,0,1
"89",2003-04-01,1,3
"90",2003-04-02,0,2
"91",2003-04-04,0,1
"92",2003-04-05,1,4
"93",2003-04-06,1,1
"94",2003-04-07,0,1
"95",2003-04-08,2,0
"96",2003-04-09,0,5
"97",2003-04-10,1,4
"98",2003-04-11,0,2
"99",2003-04-12,0,5
"100",2003-04-13,1,3
"101",2003-04-14,2,3
"102",2003-04-15,1,1
"103",2003-04-16,1,2
"104",2003-04-17,0,1
"105",2003-04-18,1,1
"106",2003-04-19,0,1
"107",2003-04-20,2,4
"108",2003-04-21,2,3
"109",2003-04-22,3,1
"110",2003-04-23,0,3
"111",2003-04-24,6,3
"112",2003-04-25,0,4
"113",2003-04-26,1,2
"114",2003-04-27,1,0
"115",2003-04-28,1,1
"116",2003-04-29,0,3
"117",2003-04-30,1,0
"118",2003-05-01,2,0
"119",2003-05-02,2,3
"120",2003-05-03,2,6
"121",2003-05-04,3,1
"122",2003-05-05,1,3
"123",2003-05-07,1,2
"124",2003-05-08,0,2
"125",2003-05-09,2,2
"126",2003-05-10,1,4
"127",2003-05-11,0,1
"128",2003-05-12,2,2
"129",2003-05-13,3,2
"130",2003-05-14,0,3
"131",2003-05-15,1,1
"132",2003-05-16,4,1
"133",2003-05-17,1,1
"134",2003-05-18,2,2
"135",2003-05-19,3,0
"136",2003-05-20,2,2
"137",2003-05-21,4,3
"138",2003-05-22,3,1
"139",2003-05-23,0,1
"140",2003-05-24,1,0
"141",2003-05-25,1,2
"142",2003-05-26,1,1
"143",2003-05-27,1,0
"144",2003-05-28,2,3
"145",2003-05-29,0,2
"146",2003-05-31,2,2
"147",2003-06-01,0,1
"148",2003-06-02,1,2
"149",2003-06-03,0,3
"150",2003-06-04,1,1
"151",2003-06-05,1,2
"152",2003-06-06,2,0
"153",2003-06-07,3,2
"154",2003-06-08,2,2
"155",2003-06-09,2,1
"156",2003-06-10,0,2
"157",2003-06-11,0,3
"158",2003-06-12,0,3
"159",2003-06-14,1,0
"160",2003-06-15,4,1
"161",2003-06-16,0,3
"162",2003-06-17,1,3
"163",2003-06-18,0,1
"164",2003-06-19,0,1
"165",2003-06-20,0,3
"166",2003-06-21,1,0
"167",2003-06-22,1,0
"168",2003-06-23,0,1
"169",2003-06-24,0,4
"170",2003-06-26,0,1
"171",2003-06-27,1,0
"172",2003-06-28,1,1
"173",2003-06-29,1,2
"174",2003-06-30,2,2
"175",2003-07-01,3,1
"176",2003-07-02,1,2
"177",2003-07-03,1,2
"178",2003-07-04,1,4
"179",2003-07-05,1,2
"180",2003-07-06,0,5
"181",2003-07-07,0,1
"182",2003-07-08,0,2
"183",2003-07-09,2,2
"184",2003-07-10,4,2
"185",2003-07-11,0,1
"186",2003-07-12,1,3
"187",2003-07-13,1,1
"188",2003-07-14,1,3
"189",2003-07-15,0,1
"190",2003-07-17,0,4
"191",2003-07-18,1,0
"192",2003-07-19,1,4
"193",2003-07-21,4,0
"194",2003-07-22,3,2
"195",2003-07-23,1,2
"196",2003-07-24,1,4
"197",2003-07-25,2,0
"198",2003-07-26,2,2
"199",2003-07-27,2,3
"200",2003-07-28,3,5
"201",2003-07-29,2,3
"202",2003-07-30,3,1
"203",2003-07-31,1,2
"204",2003-08-01,1,2
"205",2003-08-02,3,0
"206",2003-08-03,2,2
"207",2003-08-04,0,1
"208",2003-08-05,0,4
"209",2003-08-06,3,1
"210",2003-08-07,0,3
"211",2003-08-08,0,1
"212",2003-08-09,1,2
"213",2003-08-10,5,2
"214",2003-08-11,3,4
"215",2003-08-12,2,3
"216",2003-08-13,3,4
"217",2003-08-14,2,2
"218",2003-08-15,1,0
"219",2003-08-16,4,2
"220",2003-08-17,1,1
"221",2003-08-18,0,1
"222",2003-08-19,3,2
"223",2003-08-20,3,0
"224",2003-08-21,5,2
"225",2003-08-22,0,3
"226",2003-08-23,1,3
"227",2003-08-24,2,0
"228",2003-08-25,0,3
"229",2003-08-26,2,0
"230",2003-08-27,1,4
"231",2003-08-28,1,2
"232",2003-08-29,4,3
"233",2003-08-30,2,2
"234",2003-08-31,2,1
"235",2003-09-01,4,2
"236",2003-09-02,2,1
"237",2003-09-03,3,2
"238",2003-09-04,0,1
"239",2003-09-05,1,3
"240",2003-09-06,5,0
"241",2003-09-07,0,2
"242",2003-09-08,2,1
"243",2003-09-09,4,3
"244",2003-09-10,3,4
"245",2003-09-11,5,1
"246",2003-09-12,3,3
"247",2003-09-13,2,1
"248",2003-09-14,8,4
"249",2003-09-15,2,1
"250",2003-09-16,1,3
"251",2003-09-17,0,3
"252",2003-09-18,2,3
"253",2003-09-19,2,1
"254",2003-09-20,2,0
"255",2003-09-21,2,1
"256",2003-09-22,3,1
"257",2003-09-23,1,2
"258",2003-09-24,2,4
"259",2003-09-25,1,3
"260",2003-09-26,0,1
"261",2003-09-27,3,2
"262",2003-09-28,2,5
"263",2003-09-29,3,1
"264",2003-09-30,2,1
"265",2003-10-01,1,2
"266",2003-10-02,2,4
"267",2003-10-03,2,3
"268",2003-10-04,1,2
"269",2003-10-05,3,3
"270",2003-10-06,1,3
"271",2003-10-07,1,1
"272",2003-10-08,2,1
"273",2003-10-09,1,0
"274",2003-10-10,1,3
"275",2003-10-11,0,1
"276",2003-10-12,3,0
"277",2003-10-13,0,4
"278",2003-10-14,1,5
"279",2003-10-15,3,3
"280",2003-10-16,1,4
"281",2003-10-17,5,4
"282",2003-10-18,2,3
"283",2003-10-19,1,1
"284",2003-10-20,2,2
"285",2003-10-21,2,5
"286",2003-10-22,2,1
"287",2003-10-23,2,6
"288",2003-10-24,0,4
"289",2003-10-25,0,2
"290",2003-10-26,0,2
"291",2003-10-27,2,1
"292",2003-10-28,0,1
"293",2003-10-29,0,4
"294",2003-10-30,2,0
"295",2003-10-31,1,1
"296",2003-11-01,1,4
"297",2003-11-02,2,3
"298",2003-11-03,1,4
"299",2003-11-05,0,3
"300",2003-11-06,2,1
"301",2003-11-07,3,3
"302",2003-11-08,3,5
"303",2003-11-09,2,2
