"i","Date","Solved","Not Solved"
"1",2003-01-01,8,3
"2",2003-01-02,0,2
"3",2003-01-03,2,0
"4",2003-01-04,1,2
"5",2003-01-05,1,0
"6",2003-01-06,2,0
"7",2003-01-07,2,1
"8",2003-01-08,0,1
"9",2003-01-09,1,2
"10",2003-01-10,1,1
"11",2003-01-11,0,2
"12",2003-01-13,4,1
"13",2003-01-14,0,2
"14",2003-01-15,3,3
"15",2003-01-17,0,2
"16",2003-01-18,0,1
"17",2003-01-22,0,1
"18",2003-01-23,3,2
"19",2003-01-24,0,3
"20",2003-01-25,1,0
"21",2003-01-26,3,3
"22",2003-01-27,0,1
"23",2003-01-28,1,2
"24",2003-01-29,3,2
"25",2003-01-30,1,0
"26",2003-01-31,1,1
"27",2003-02-01,2,4
"28",2003-02-02,0,2
"29",2003-02-03,1,0
"30",2003-02-04,2,1
"31",2003-02-05,0,3
"32",2003-02-07,2,1
"33",2003-02-08,2,2
"34",2003-02-10,1,0
"35",2003-02-11,0,2
"36",2003-02-12,1,1
"37",2003-02-13,2,2
"38",2003-02-14,0,2
"39",2003-02-15,0,1
"40",2003-02-16,1,0
"41",2003-02-18,1,0
"42",2003-02-19,0,3
"43",2003-02-20,1,2
"44",2003-02-21,0,1
"45",2003-02-22,1,3
"46",2003-02-23,0,2
"47",2003-02-24,0,1
"48",2003-02-25,2,1
"49",2003-02-26,1,0
"50",2003-02-27,0,2
"51",2003-02-28,1,1
"52",2003-03-02,3,4
"53",2003-03-03,0,2
"54",2003-03-04,0,3
"55",2003-03-05,1,3
"56",2003-03-06,5,0
"57",2003-03-07,5,0
"58",2003-03-08,1,3
"59",2003-03-11,0,1
"60",2003-03-12,1,1
"61",2003-03-13,0,1
"62",2003-03-14,0,1
"63",2003-03-15,0,2
"64",2003-03-16,0,1
"65",2003-03-17,3,1
"66",2003-03-20,1,2
"67",2003-03-21,0,1
"68",2003-03-22,0,2
"69",2003-03-23,0,2
"70",2003-03-24,0,2
"71",2003-03-26,0,2
"72",2003-03-27,0,2
"73",2003-03-29,0,1
"74",2003-04-01,2,2
"75",2003-04-02,1,2
"76",2003-04-03,1,2
"77",2003-04-05,2,0
"78",2003-04-06,2,0
"79",2003-04-09,1,1
"80",2003-04-10,2,0
"81",2003-04-12,2,0
"82",2003-04-13,1,3
"83",2003-04-15,0,1
"84",2003-04-16,1,0
"85",2003-04-17,0,2
"86",2003-04-18,2,1
"87",2003-04-20,0,1
"88",2003-04-21,3,0
"89",2003-04-22,3,0
"90",2003-04-23,0,2
"91",2003-04-24,1,1
"92",2003-04-25,2,3
"93",2003-04-26,1,1
"94",2003-04-27,0,1
"95",2003-04-28,0,1
"96",2003-04-29,0,1
"97",2003-04-30,1,0
"98",2003-05-01,3,4
"99",2003-05-02,3,2
"100",2003-05-04,1,0
"101",2003-05-05,1,1
"102",2003-05-06,1,4
"103",2003-05-07,2,2
"104",2003-05-08,0,2
"105",2003-05-09,1,1
"106",2003-05-10,1,1
"107",2003-05-11,0,2
"108",2003-05-12,0,2
"109",2003-05-13,0,1
"110",2003-05-14,0,1
"111",2003-05-15,2,0
"112",2003-05-16,2,2
"113",2003-05-18,1,3
"114",2003-05-19,1,2
"115",2003-05-20,1,0
"116",2003-05-21,2,1
"117",2003-05-24,0,1
"118",2003-05-25,2,0
"119",2003-05-26,2,3
"120",2003-05-28,2,1
"121",2003-05-29,0,1
"122",2003-06-01,5,0
"123",2003-06-03,1,2
"124",2003-06-04,3,0
"125",2003-06-05,3,0
"126",2003-06-06,1,0
"127",2003-06-07,1,0
"128",2003-06-08,3,0
"129",2003-06-09,0,1
"130",2003-06-10,2,2
"131",2003-06-12,1,0
"132",2003-06-13,0,2
"133",2003-06-14,5,2
"134",2003-06-15,1,1
"135",2003-06-17,0,1
"136",2003-06-18,2,1
"137",2003-06-19,2,0
"138",2003-06-20,2,3
"139",2003-06-22,1,0
"140",2003-06-24,1,0
"141",2003-06-25,2,0
"142",2003-06-26,4,0
"143",2003-06-27,3,1
"144",2003-06-28,3,2
"145",2003-06-30,2,0
"146",2003-07-01,1,4
"147",2003-07-02,1,1
"148",2003-07-03,1,0
"149",2003-07-04,0,1
"150",2003-07-06,0,2
"151",2003-07-07,1,1
"152",2003-07-08,1,1
"153",2003-07-09,0,2
"154",2003-07-10,4,0
"155",2003-07-11,1,0
"156",2003-07-13,2,1
"157",2003-07-14,2,1
"158",2003-07-16,2,2
"159",2003-07-17,2,0
"160",2003-07-18,1,1
"161",2003-07-20,1,2
"162",2003-07-23,1,1
"163",2003-07-24,0,2
"164",2003-07-25,1,1
"165",2003-07-26,1,1
"166",2003-07-27,0,2
"167",2003-07-29,2,2
"168",2003-07-30,1,0
"169",2003-08-01,1,0
"170",2003-08-02,1,0
"171",2003-08-03,1,0
"172",2003-08-05,0,1
"173",2003-08-06,1,1
"174",2003-08-07,0,2
"175",2003-08-08,0,1
"176",2003-08-09,1,0
"177",2003-08-10,1,0
"178",2003-08-11,0,1
"179",2003-08-12,2,1
"180",2003-08-13,1,0
"181",2003-08-14,1,2
"182",2003-08-15,2,0
"183",2003-08-16,0,2
"184",2003-08-18,0,1
"185",2003-08-21,1,0
"186",2003-08-22,1,1
"187",2003-08-23,0,3
"188",2003-08-24,1,0
"189",2003-08-25,1,1
"190",2003-08-26,1,0
"191",2003-08-28,5,1
"192",2003-08-30,1,1
"193",2003-08-31,1,1
"194",2003-09-01,2,1
"195",2003-09-02,1,1
"196",2003-09-03,2,1
"197",2003-09-04,1,0
"198",2003-09-05,2,3
"199",2003-09-08,4,0
"200",2003-09-09,1,0
"201",2003-09-11,0,3
"202",2003-09-13,0,3
"203",2003-09-14,0,2
"204",2003-09-15,0,1
"205",2003-09-16,3,1
"206",2003-09-17,0,1
"207",2003-09-18,0,1
"208",2003-09-20,2,1
"209",2003-09-21,2,1
"210",2003-09-22,1,1
"211",2003-09-23,1,1
"212",2003-09-24,2,1
"213",2003-09-26,0,1
"214",2003-09-27,2,0
"215",2003-09-28,3,1
"216",2003-09-29,1,2
"217",2003-09-30,0,5
"218",2003-10-01,1,1
"219",2003-10-02,2,2
"220",2003-10-03,2,0
"221",2003-10-04,0,1
"222",2003-10-05,0,2
"223",2003-10-06,1,1
"224",2003-10-07,4,0
"225",2003-10-08,3,0
"226",2003-10-09,1,0
"227",2003-10-10,1,0
"228",2003-10-11,1,0
"229",2003-10-13,1,0
"230",2003-10-14,0,3
"231",2003-10-15,1,0
"232",2003-10-16,1,1
"233",2003-10-17,0,1
"234",2003-10-18,1,1
"235",2003-10-19,4,2
"236",2003-10-20,0,3
"237",2003-10-21,0,1
"238",2003-10-23,0,1
"239",2003-10-25,0,1
"240",2003-10-27,1,1
"241",2003-10-28,1,0
"242",2003-10-29,0,8
"243",2003-10-30,2,0
"244",2003-10-31,1,0
"245",2003-11-01,2,0
"246",2003-11-02,4,2
"247",2003-11-03,2,0
"248",2003-11-04,1,0
"249",2003-11-05,1,0
"250",2003-11-06,1,1
"251",2003-11-07,0,1
"252",2003-11-08,1,0
"253",2003-11-09,0,1
"254",2003-11-10,1,1
"255",2003-11-11,1,1
"256",2003-11-12,3,3
"257",2003-11-13,0,2
"258",2003-11-14,2,2
"259",2003-11-15,1,0
"260",2003-11-16,2,0
"261",2003-11-18,1,1
"262",2003-11-20,0,1
"263",2003-11-21,1,1
"264",2003-11-22,0,1
"265",2003-11-23,3,1
"266",2003-11-24,1,0
"267",2003-11-26,1,0
"268",2003-11-27,2,0
"269",2003-11-28,1,2
"270",2003-11-29,1,1
"271",2003-12-01,2,0
"272",2003-12-02,1,0
"273",2003-12-03,1,0
"274",2003-12-04,2,0
"275",2003-12-06,2,0
"276",2003-12-07,0,2
"277",2003-12-09,1,1
"278",2003-12-10,0,2
"279",2003-12-11,1,0
"280",2003-12-12,0,1
"281",2003-12-13,1,1
"282",2003-12-14,1,1
"283",2003-12-15,1,0
"284",2003-12-16,0,3
"285",2003-12-17,1,0
"286",2003-12-18,5,1
"287",2003-12-19,1,1
"288",2003-12-20,1,0
"289",2003-12-24,1,1
"290",2003-12-25,0,1
"291",2003-12-26,1,0
"292",2003-12-27,1,2
"293",2003-12-28,0,1
"294",2003-12-29,0,1
"295",2003-12-30,4,1
"296",2003-12-31,0,1
"297",2004-01-01,11,3
"298",2004-01-02,1,1
"299",2004-01-03,2,1
"300",2004-01-04,0,1
"301",2004-01-05,2,0
"302",2004-01-06,1,0
"303",2004-01-07,2,0
"304",2004-01-08,4,1
"305",2004-01-09,1,1
"306",2004-01-10,2,0
"307",2004-01-12,0,1
"308",2004-01-13,1,0
"309",2004-01-14,1,0
"310",2004-01-15,0,1
"311",2004-01-16,1,0
"312",2004-01-17,0,1
"313",2004-01-19,1,0
"314",2004-01-20,1,1
"315",2004-01-21,2,0
"316",2004-01-22,0,1
"317",2004-01-23,0,2
"318",2004-01-24,1,0
"319",2004-01-25,1,1
"320",2004-01-26,1,1
"321",2004-01-27,3,1
"322",2004-01-28,3,3
"323",2004-01-30,1,2
"324",2004-01-31,0,2
"325",2004-02-01,1,4
"326",2004-02-03,1,1
"327",2004-02-05,3,0
"328",2004-02-06,3,0
"329",2004-02-07,4,1
"330",2004-02-09,2,1
"331",2004-02-10,1,0
"332",2004-02-11,0,2
"333",2004-02-12,1,0
"334",2004-02-13,4,0
"335",2004-02-14,1,1
"336",2004-02-15,1,0
"337",2004-02-16,0,1
"338",2004-02-17,0,2
"339",2004-02-18,2,1
"340",2004-02-19,1,0
"341",2004-02-20,2,0
"342",2004-02-21,0,1
"343",2004-02-22,0,4
"344",2004-02-23,0,3
"345",2004-02-24,1,2
"346",2004-02-25,1,0
"347",2004-02-26,1,0
"348",2004-02-27,2,0
"349",2004-02-28,2,1
"350",2004-02-29,3,0
"351",2004-03-01,0,2
"352",2004-03-02,1,0
"353",2004-03-04,2,2
"354",2004-03-05,1,2
"355",2004-03-06,2,0
"356",2004-03-07,3,2
"357",2004-03-08,1,2
"358",2004-03-09,0,1
"359",2004-03-10,3,2
"360",2004-03-12,1,1
"361",2004-03-13,3,1
"362",2004-03-14,1,0
"363",2004-03-16,4,2
"364",2004-03-17,2,2
"365",2004-03-20,1,2
"366",2004-03-21,1,0
"367",2004-03-22,3,2
"368",2004-03-23,2,3
"369",2004-03-24,2,1
"370",2004-03-25,3,0
"371",2004-03-26,1,1
"372",2004-03-27,0,2
"373",2004-03-28,1,1
"374",2004-03-29,1,1
"375",2004-03-30,2,1
"376",2004-03-31,2,2
"377",2004-04-01,2,0
"378",2004-04-02,1,2
"379",2004-04-03,2,2
"380",2004-04-04,1,2
"381",2004-04-06,3,0
"382",2004-04-07,1,0
"383",2004-04-08,1,1
"384",2004-04-09,1,2
"385",2004-04-10,0,3
"386",2004-04-11,0,2
"387",2004-04-12,1,0
"388",2004-04-13,3,0
"389",2004-04-14,0,1
"390",2004-04-15,1,0
"391",2004-04-16,1,0
"392",2004-04-17,1,0
"393",2004-04-18,1,1
"394",2004-04-19,0,2
"395",2004-04-20,1,0
"396",2004-04-22,1,2
"397",2004-04-23,1,0
"398",2004-04-24,1,1
"399",2004-04-25,3,2
"400",2004-04-26,1,2
"401",2004-04-27,1,1
"402",2004-04-28,0,2
"403",2004-04-30,1,3
"404",2004-05-01,3,2
"405",2004-05-02,3,0
"406",2004-05-03,1,0
"407",2004-05-04,2,3
"408",2004-05-05,3,1
"409",2004-05-06,1,0
"410",2004-05-07,4,0
"411",2004-05-08,1,0
"412",2004-05-09,1,0
"413",2004-05-10,2,1
"414",2004-05-11,2,1
"415",2004-05-12,1,0
"416",2004-05-13,1,1
"417",2004-05-14,0,2
"418",2004-05-15,1,1
"419",2004-05-16,0,1
"420",2004-05-17,2,0
"421",2004-05-18,2,3
"422",2004-05-19,3,0
"423",2004-05-21,1,0
"424",2004-05-22,1,1
"425",2004-05-23,2,2
"426",2004-05-24,0,2
"427",2004-05-25,1,2
"428",2004-05-26,2,0
"429",2004-05-28,1,0
"430",2004-05-29,1,0
"431",2004-05-31,2,3
"432",2004-06-01,2,2
"433",2004-06-02,0,2
"434",2004-06-04,3,0
"435",2004-06-06,1,5
"436",2004-06-07,3,0
"437",2004-06-08,0,1
"438",2004-06-09,1,0
"439",2004-06-10,3,1
"440",2004-06-11,1,0
"441",2004-06-12,0,1
"442",2004-06-13,0,1
"443",2004-06-15,0,1
"444",2004-06-16,3,2
"445",2004-06-17,1,0
"446",2004-06-18,2,1
"447",2004-06-19,2,3
"448",2004-06-22,2,1
"449",2004-06-23,2,0
"450",2004-06-24,1,3
"451",2004-06-25,0,1
"452",2004-06-26,1,0
"453",2004-06-27,2,0
"454",2004-06-28,5,0
"455",2004-06-29,2,1
"456",2004-07-01,2,2
"457",2004-07-02,1,2
"458",2004-07-03,2,1
"459",2004-07-04,0,2
"460",2004-07-05,1,0
"461",2004-07-06,0,4
"462",2004-07-07,1,0
"463",2004-07-08,0,2
"464",2004-07-09,3,0
"465",2004-07-10,0,1
"466",2004-07-11,2,0
"467",2004-07-12,2,2
"468",2004-07-15,0,4
"469",2004-07-16,4,1
"470",2004-07-17,2,3
"471",2004-07-18,1,0
"472",2004-07-19,1,0
"473",2004-07-20,0,3
"474",2004-07-24,1,0
"475",2004-07-28,2,0
"476",2004-07-29,2,0
"477",2004-07-30,1,0
"478",2004-07-31,1,2
"479",2004-08-01,2,3
"480",2004-08-02,2,1
"481",2004-08-04,0,2
"482",2004-08-05,0,1
"483",2004-08-06,0,1
"484",2004-08-07,1,0
"485",2004-08-08,1,0
"486",2004-08-09,0,1
"487",2004-08-10,2,1
"488",2004-08-11,1,0
"489",2004-08-12,0,1
"490",2004-08-14,2,1
"491",2004-08-15,1,1
"492",2004-08-16,0,1
"493",2004-08-17,1,0
"494",2004-08-19,1,0
"495",2004-08-21,0,3
"496",2004-08-23,0,1
"497",2004-08-24,1,0
"498",2004-08-25,0,1
"499",2004-08-26,1,2
"500",2004-08-27,0,1
"501",2004-08-28,1,0
"502",2004-08-29,0,1
"503",2004-08-30,2,1
"504",2004-09-01,1,2
"505",2004-09-02,1,0
"506",2004-09-03,1,0
"507",2004-09-04,0,1
"508",2004-09-08,1,1
"509",2004-09-09,1,3
"510",2004-09-12,1,0
"511",2004-09-13,1,1
"512",2004-09-14,2,2
"513",2004-09-15,1,0
"514",2004-09-17,0,1
"515",2004-09-18,0,1
"516",2004-09-20,2,0
"517",2004-09-21,1,0
"518",2004-09-22,2,1
"519",2004-09-24,3,3
"520",2004-09-25,0,3
"521",2004-09-26,2,1
"522",2004-09-27,1,0
"523",2004-09-28,0,2
"524",2004-09-30,2,2
"525",2004-10-01,2,1
"526",2004-10-02,2,1
"527",2004-10-03,0,3
"528",2004-10-05,2,3
"529",2004-10-06,0,1
"530",2004-10-07,0,2
"531",2004-10-08,0,2
"532",2004-10-09,0,3
"533",2004-10-12,1,2
"534",2004-10-14,1,0
"535",2004-10-15,1,1
"536",2004-10-16,1,0
"537",2004-10-17,1,0
"538",2004-10-19,3,1
"539",2004-10-20,1,1
"540",2004-10-21,0,1
"541",2004-10-22,0,1
"542",2004-10-23,1,0
"543",2004-10-25,1,0
"544",2004-10-26,0,2
"545",2004-10-28,0,1
"546",2004-10-29,1,4
"547",2004-10-30,1,4
"548",2004-10-31,0,1
"549",2004-11-01,2,3
"550",2004-11-02,0,1
"551",2004-11-03,0,1
"552",2004-11-05,3,0
"553",2004-11-06,2,1
"554",2004-11-07,0,1
"555",2004-11-11,1,1
"556",2004-11-12,1,1
"557",2004-11-13,1,1
"558",2004-11-15,2,0
"559",2004-11-17,1,1
"560",2004-11-18,1,0
"561",2004-11-19,1,0
"562",2004-11-21,1,0
"563",2004-11-23,1,0
"564",2004-11-24,0,1
"565",2004-11-25,2,0
"566",2004-11-26,2,0
"567",2004-11-29,3,0
"568",2004-11-30,1,1
"569",2004-12-01,3,3
"570",2004-12-02,1,0
"571",2004-12-03,0,1
"572",2004-12-04,0,1
"573",2004-12-05,2,1
"574",2004-12-06,2,1
"575",2004-12-07,2,2
"576",2004-12-08,0,2
"577",2004-12-09,0,1
"578",2004-12-10,3,1
"579",2004-12-11,0,1
"580",2004-12-12,3,3
"581",2004-12-15,6,0
"582",2004-12-16,1,0
"583",2004-12-17,1,0
"584",2004-12-20,0,1
"585",2004-12-22,0,1
"586",2004-12-23,2,1
"587",2004-12-24,0,3
"588",2004-12-26,1,0
"589",2004-12-28,3,0
"590",2004-12-29,0,2
"591",2005-01-01,5,6
"592",2005-01-02,2,1
"593",2005-01-03,1,0
