"i","Date","Solved","Not Solved"
"1",2003-01-02,2,0
"2",2003-01-03,2,1
"3",2003-01-04,3,0
"4",2003-01-05,1,0
"5",2003-01-06,5,1
"6",2003-01-08,3,1
"7",2003-01-09,2,0
"8",2003-01-10,2,0
"9",2003-01-11,4,0
"10",2003-01-13,1,0
"11",2003-01-14,3,0
"12",2003-01-15,1,0
"13",2003-01-16,2,1
"14",2003-01-17,2,0
"15",2003-01-18,0,1
"16",2003-01-19,2,0
"17",2003-01-20,1,1
"18",2003-01-21,3,0
"19",2003-01-22,2,0
"20",2003-01-23,1,0
"21",2003-01-24,1,2
"22",2003-01-25,1,0
"23",2003-01-26,1,0
"24",2003-01-27,2,0
"25",2003-01-30,6,0
"26",2003-01-31,4,0
"27",2003-02-01,1,1
"28",2003-02-02,3,0
"29",2003-02-05,2,0
"30",2003-02-07,3,1
"31",2003-02-08,3,0
"32",2003-02-09,0,2
"33",2003-02-10,2,0
"34",2003-02-11,1,2
"35",2003-02-12,2,0
"36",2003-02-14,0,2
"37",2003-02-15,1,1
"38",2003-02-16,1,1
"39",2003-02-17,1,0
"40",2003-02-18,3,0
"41",2003-02-20,3,0
"42",2003-02-21,1,0
"43",2003-02-22,2,1
"44",2003-02-23,2,0
"45",2003-02-25,3,0
"46",2003-02-26,1,0
"47",2003-02-27,2,0
"48",2003-02-28,4,2
"49",2003-03-01,3,1
"50",2003-03-02,4,0
"51",2003-03-03,6,1
"52",2003-03-04,3,0
"53",2003-03-05,1,1
"54",2003-03-06,2,0
"55",2003-03-07,4,1
"56",2003-03-08,1,0
"57",2003-03-09,1,0
"58",2003-03-11,1,0
"59",2003-03-12,5,0
"60",2003-03-13,4,0
"61",2003-03-14,2,0
"62",2003-03-15,3,2
"63",2003-03-17,2,2
"64",2003-03-18,2,1
"65",2003-03-19,0,1
"66",2003-03-20,1,0
"67",2003-03-22,1,0
"68",2003-03-23,0,1
"69",2003-03-24,1,1
"70",2003-03-25,4,1
"71",2003-03-26,3,2
"72",2003-03-27,0,2
"73",2003-03-28,1,0
"74",2003-03-29,1,1
"75",2003-03-30,1,1
"76",2003-03-31,1,0
"77",2003-04-01,1,1
"78",2003-04-02,3,0
"79",2003-04-03,2,0
"80",2003-04-04,0,1
"81",2003-04-05,0,1
"82",2003-04-07,1,0
"83",2003-04-08,0,1
"84",2003-04-09,3,1
"85",2003-04-10,3,0
"86",2003-04-11,1,0
"87",2003-04-12,2,0
"88",2003-04-13,1,0
"89",2003-04-14,2,1
"90",2003-04-15,4,1
"91",2003-04-17,1,1
"92",2003-04-18,2,1
"93",2003-04-19,2,0
"94",2003-04-20,0,1
"95",2003-04-21,1,1
"96",2003-04-22,2,2
"97",2003-04-23,2,0
"98",2003-04-24,4,0
"99",2003-04-25,4,0
"100",2003-04-26,2,1
"101",2003-04-27,1,0
