"i","Date","Solved","Not Solved"
"1",2003-01-05,1,0
"2",2003-01-13,1,0
"3",2003-01-16,0,1
"4",2003-01-23,0,1
"5",2003-01-24,0,1
"6",2003-01-26,0,1
"7",2003-01-29,0,1
"8",2003-02-04,1,1
"9",2003-02-05,0,1
"10",2003-02-06,0,2
"11",2003-02-16,0,1
"12",2003-02-18,0,1
"13",2003-02-19,1,0
"14",2003-02-27,0,1
"15",2003-02-28,0,1
"16",2003-03-07,1,0
"17",2003-03-11,0,1
"18",2003-03-17,0,1
"19",2003-03-18,0,1
"20",2003-03-22,0,1
"21",2003-03-26,0,1
"22",2003-03-29,1,0
"23",2003-04-08,1,0
"24",2003-04-20,1,0
"25",2003-04-26,0,1
"26",2003-05-01,0,2
"27",2003-05-04,0,1
"28",2003-05-10,0,1
"29",2003-05-13,1,0
"30",2003-05-17,1,0
"31",2003-05-27,0,1
"32",2003-05-28,1,0
"33",2003-05-30,0,1
"34",2003-05-31,0,1
"35",2003-06-05,0,1
"36",2003-06-07,0,1
"37",2003-06-08,0,1
"38",2003-06-17,0,1
"39",2003-06-18,0,1
"40",2003-06-29,0,2
"41",2003-07-06,0,1
"42",2003-07-08,0,2
"43",2003-07-15,0,1
"44",2003-07-17,0,1
"45",2003-07-20,0,1
"46",2003-07-23,1,0
"47",2003-07-27,1,0
"48",2003-07-28,0,1
"49",2003-08-01,0,1
"50",2003-08-08,1,0
"51",2003-08-12,1,0
"52",2003-08-13,1,0
"53",2003-08-15,1,0
"54",2003-08-16,0,1
"55",2003-08-20,0,1
"56",2003-08-29,0,1
"57",2003-09-03,0,1
"58",2003-09-05,1,0
"59",2003-09-07,0,1
"60",2003-09-08,0,1
"61",2003-09-12,0,1
"62",2003-09-13,0,1
"63",2003-09-15,0,1
"64",2003-09-16,0,1
"65",2003-09-27,0,1
"66",2003-10-07,0,2
"67",2003-10-09,0,1
"68",2003-10-23,1,0
"69",2003-11-01,0,1
"70",2003-11-03,1,0
"71",2003-11-04,0,1
"72",2003-11-08,0,1
"73",2003-11-12,1,0
"74",2003-11-13,1,0
"75",2003-11-18,0,1
"76",2003-11-20,1,0
"77",2003-11-22,0,1
"78",2003-11-26,1,0
"79",2003-11-29,0,2
"80",2003-12-05,0,1
"81",2003-12-06,0,1
"82",2003-12-08,1,1
"83",2003-12-10,0,1
"84",2003-12-24,0,1
"85",2003-12-30,1,0
"86",2004-01-02,0,2
"87",2004-01-03,0,1
"88",2004-01-06,0,1
"89",2004-01-10,1,1
"90",2004-01-17,0,1
"91",2004-02-09,0,1
"92",2004-02-10,0,1
"93",2004-02-11,0,1
"94",2004-02-12,0,1
"95",2004-02-14,0,1
"96",2004-02-15,0,1
"97",2004-03-17,0,1
"98",2004-03-18,0,2
"99",2004-03-21,1,0
"100",2004-03-23,0,1
"101",2004-03-29,0,1
"102",2004-03-30,0,1
"103",2004-04-02,0,1
"104",2004-04-09,1,0
"105",2004-04-10,0,1
"106",2004-04-11,0,1
"107",2004-04-13,0,1
"108",2004-04-19,0,1
"109",2004-04-22,0,1
"110",2004-04-23,1,0
"111",2004-04-24,0,1
"112",2004-05-03,0,2
"113",2004-05-05,0,1
"114",2004-05-11,0,1
"115",2004-05-12,0,2
"116",2004-05-13,0,1
"117",2004-05-14,1,1
"118",2004-05-18,0,1
"119",2004-05-20,1,0
"120",2004-05-21,0,1
"121",2004-05-26,1,0
"122",2004-05-30,0,1
"123",2004-06-17,0,1
