"i","Date","Solved","Not Solved"
"1",2003-01-01,1,24
"2",2003-01-02,0,11
"3",2003-01-03,0,16
"4",2003-01-04,1,9
"5",2003-01-05,1,6
"6",2003-01-06,1,11
"7",2003-01-07,0,12
"8",2003-01-08,2,11
"9",2003-01-09,1,9
"10",2003-01-10,0,5
"11",2003-01-11,0,16
"12",2003-01-12,0,8
"13",2003-01-13,0,7
"14",2003-01-14,0,10
"15",2003-01-15,0,12
"16",2003-01-16,0,13
"17",2003-01-17,1,10
"18",2003-01-18,1,8
"19",2003-01-19,1,5
"20",2003-01-20,2,9
"21",2003-01-21,1,14
"22",2003-01-22,0,11
"23",2003-01-23,1,12
"24",2003-01-24,0,16
"25",2003-01-25,0,14
"26",2003-01-26,0,10
"27",2003-01-27,0,12
"28",2003-01-28,1,9
"29",2003-01-29,4,7
"30",2003-01-30,1,9
"31",2003-01-31,0,7
"32",2003-02-01,1,17
"33",2003-02-02,3,17
"34",2003-02-03,2,16
"35",2003-02-04,0,20
"36",2003-02-05,1,13
"37",2003-02-06,1,13
"38",2003-02-07,0,17
"39",2003-02-08,1,16
"40",2003-02-09,1,6
"41",2003-02-10,3,12
"42",2003-02-11,0,14
"43",2003-02-12,0,17
"44",2003-02-13,0,14
"45",2003-02-14,1,18
"46",2003-02-15,0,14
"47",2003-02-16,1,12
"48",2003-02-17,0,8
"49",2003-02-18,1,12
"50",2003-02-19,0,16
"51",2003-02-20,2,9
"52",2003-02-21,0,10
"53",2003-02-22,0,5
"54",2003-02-23,0,7
"55",2003-02-24,0,9
"56",2003-02-25,2,19
"57",2003-02-26,3,8
"58",2003-02-27,3,6
"59",2003-02-28,1,8
"60",2003-03-01,1,19
"61",2003-03-02,0,14
"62",2003-03-03,2,9
"63",2003-03-04,1,9
"64",2003-03-05,1,12
"65",2003-03-06,1,15
"66",2003-03-07,1,16
"67",2003-03-08,3,6
"68",2003-03-09,0,12
"69",2003-03-10,2,10
"70",2003-03-11,3,11
"71",2003-03-12,2,11
"72",2003-03-13,1,9
"73",2003-03-14,1,9
"74",2003-03-15,2,11
"75",2003-03-16,1,4
"76",2003-03-17,1,9
"77",2003-03-18,0,4
"78",2003-03-19,0,10
"79",2003-03-20,3,10
"80",2003-03-21,1,7
"81",2003-03-22,1,8
"82",2003-03-23,1,10
"83",2003-03-24,1,6
"84",2003-03-25,0,11
"85",2003-03-26,3,14
"86",2003-03-27,0,11
"87",2003-03-28,0,13
"88",2003-03-29,0,8
"89",2003-03-30,2,15
"90",2003-03-31,0,7
"91",2003-04-01,3,9
"92",2003-04-02,2,8
"93",2003-04-03,4,7
"94",2003-04-04,1,12
"95",2003-04-05,1,6
"96",2003-04-06,1,10
"97",2003-04-07,0,8
"98",2003-04-08,2,10
"99",2003-04-09,3,14
"100",2003-04-10,0,8
"101",2003-04-11,1,11
"102",2003-04-12,1,9
"103",2003-04-13,0,9
"104",2003-04-14,0,10
"105",2003-04-15,0,5
"106",2003-04-16,1,14
"107",2003-04-17,1,7
"108",2003-04-18,1,11
"109",2003-04-19,1,11
"110",2003-04-20,0,5
"111",2003-04-21,0,5
"112",2003-04-22,0,12
"113",2003-04-23,0,8
"114",2003-04-24,1,14
"115",2003-04-25,0,6
"116",2003-04-26,0,17
"117",2003-04-27,1,8
"118",2003-04-28,0,7
"119",2003-04-29,1,10
"120",2003-04-30,0,12
"121",2003-05-01,2,20
"122",2003-05-02,2,15
"123",2003-05-03,2,8
"124",2003-05-04,1,10
"125",2003-05-05,0,12
"126",2003-05-06,0,10
"127",2003-05-07,0,8
"128",2003-05-08,0,12
"129",2003-05-09,1,16
"130",2003-05-10,1,8
"131",2003-05-11,0,10
"132",2003-05-12,1,9
"133",2003-05-13,1,8
"134",2003-05-14,4,9
"135",2003-05-15,1,10
"136",2003-05-16,1,15
"137",2003-05-17,2,14
"138",2003-05-18,1,12
"139",2003-05-19,1,9
"140",2003-05-20,4,14
"141",2003-05-21,2,11
"142",2003-05-22,1,4
"143",2003-05-23,0,10
"144",2003-05-24,3,17
"145",2003-05-25,1,4
"146",2003-05-26,1,6
"147",2003-05-27,2,10
"148",2003-05-28,1,10
"149",2003-05-29,1,10
"150",2003-05-30,2,13
"151",2003-05-31,0,15
"152",2003-06-01,4,16
"153",2003-06-02,0,15
"154",2003-06-03,0,8
"155",2003-06-04,1,8
"156",2003-06-05,0,11
"157",2003-06-06,0,8
"158",2003-06-07,1,15
"159",2003-06-08,1,7
"160",2003-06-09,0,6
"161",2003-06-10,1,16
"162",2003-06-11,2,10
"163",2003-06-12,0,13
"164",2003-06-13,1,9
"165",2003-06-14,1,13
"166",2003-06-15,0,8
"167",2003-06-16,0,9
"168",2003-06-17,0,7
"169",2003-06-18,1,4
"170",2003-06-19,2,4
"171",2003-06-20,0,5
"172",2003-06-21,0,14
"173",2003-06-22,0,6
"174",2003-06-23,0,9
"175",2003-06-24,0,8
"176",2003-06-25,1,12
"177",2003-06-26,0,13
"178",2003-06-27,2,12
"179",2003-06-28,1,14
"180",2003-06-29,0,9
"181",2003-06-30,1,11
"182",2003-07-01,1,11
"183",2003-07-02,0,7
"184",2003-07-03,0,6
"185",2003-07-04,4,8
"186",2003-07-05,0,11
"187",2003-07-06,0,8
"188",2003-07-07,0,6
"189",2003-07-08,1,11
"190",2003-07-09,0,9
"191",2003-07-10,2,7
"192",2003-07-11,0,19
"193",2003-07-12,2,9
"194",2003-07-13,0,12
"195",2003-07-14,1,11
"196",2003-07-15,2,10
"197",2003-07-16,3,13
"198",2003-07-17,2,12
"199",2003-07-18,1,14
"200",2003-07-19,0,8
"201",2003-07-20,2,8
"202",2003-07-21,0,4
"203",2003-07-22,1,13
"204",2003-07-23,3,8
"205",2003-07-24,1,8
"206",2003-07-25,0,8
"207",2003-07-26,3,10
"208",2003-07-27,1,10
"209",2003-07-28,2,8
"210",2003-07-29,1,14
"211",2003-07-30,0,11
"212",2003-07-31,1,9
"213",2003-08-01,3,11
"214",2003-08-02,2,21
"215",2003-08-03,1,5
"216",2003-08-04,1,7
"217",2003-08-05,1,8
"218",2003-08-06,1,7
"219",2003-08-07,2,11
"220",2003-08-08,1,13
"221",2003-08-09,1,11
"222",2003-08-10,0,11
"223",2003-08-11,2,15
"224",2003-08-12,1,6
"225",2003-08-13,0,5
"226",2003-08-14,1,13
"227",2003-08-15,1,12
"228",2003-08-16,0,14
"229",2003-08-17,1,10
"230",2003-08-18,1,8
"231",2003-08-19,0,12
"232",2003-08-20,1,13
"233",2003-08-21,1,12
"234",2003-08-22,1,14
"235",2003-08-23,1,14
"236",2003-08-24,1,10
"237",2003-08-25,1,13
"238",2003-08-26,2,9
"239",2003-08-27,0,4
"240",2003-08-28,2,14
"241",2003-08-29,1,4
"242",2003-08-30,2,16
"243",2003-08-31,0,9
"244",2003-09-01,1,12
"245",2003-09-02,0,8
"246",2003-09-03,2,12
"247",2003-09-04,1,9
"248",2003-09-05,2,14
"249",2003-09-06,2,7
"250",2003-09-07,0,13
"251",2003-09-08,1,15
"252",2003-09-09,4,5
"253",2003-09-10,4,11
"254",2003-09-11,2,17
"255",2003-09-12,1,19
"256",2003-09-13,2,8
"257",2003-09-14,0,10
"258",2003-09-15,1,11
"259",2003-09-16,0,11
"260",2003-09-17,1,12
"261",2003-09-18,2,8
"262",2003-09-19,0,10
"263",2003-09-20,0,17
"264",2003-09-21,2,12
"265",2003-09-22,0,11
"266",2003-09-23,2,6
"267",2003-09-24,1,8
"268",2003-09-25,2,12
"269",2003-09-26,1,9
"270",2003-09-27,4,15
"271",2003-09-28,0,9
"272",2003-09-29,1,18
"273",2003-09-30,7,7
"274",2003-10-01,4,16
"275",2003-10-02,2,11
"276",2003-10-03,1,6
"277",2003-10-04,0,14
"278",2003-10-05,1,5
"279",2003-10-06,1,8
"280",2003-10-07,1,12
"281",2003-10-08,1,10
"282",2003-10-09,0,11
"283",2003-10-10,0,14
"284",2003-10-11,1,8
"285",2003-10-12,2,14
"286",2003-10-13,6,9
"287",2003-10-14,1,7
"288",2003-10-15,1,8
"289",2003-10-16,1,11
"290",2003-10-17,2,9
"291",2003-10-18,2,14
"292",2003-10-19,1,5
"293",2003-10-20,3,8
"294",2003-10-21,1,10
"295",2003-10-22,3,10
"296",2003-10-23,0,11
"297",2003-10-24,0,10
"298",2003-10-25,0,7
"299",2003-10-26,0,11
"300",2003-10-27,0,13
"301",2003-10-28,1,13
"302",2003-10-29,2,9
"303",2003-10-30,0,12
"304",2003-10-31,0,10
"305",2003-11-01,1,13
"306",2003-11-02,4,16
"307",2003-11-03,1,8
"308",2003-11-04,1,8
"309",2003-11-05,0,9
"310",2003-11-06,0,11
"311",2003-11-07,0,12
"312",2003-11-08,1,10
"313",2003-11-09,0,4
"314",2003-11-10,0,10
"315",2003-11-11,1,7
"316",2003-11-12,1,5
"317",2003-11-13,1,7
"318",2003-11-14,0,5
"319",2003-11-15,1,6
"320",2003-11-16,1,19
"321",2003-11-17,0,11
"322",2003-11-18,1,8
"323",2003-11-19,1,9
"324",2003-11-20,1,9
"325",2003-11-21,0,12
"326",2003-11-22,2,14
"327",2003-11-23,0,9
"328",2003-11-24,0,16
"329",2003-11-25,1,11
"330",2003-11-26,0,12
"331",2003-11-27,1,10
"332",2003-11-28,1,5
"333",2003-11-29,1,3
"334",2003-11-30,1,8
"335",2003-12-01,1,19
"336",2003-12-02,1,8
"337",2003-12-03,2,5
"338",2003-12-04,1,20
"339",2003-12-05,0,12
"340",2003-12-06,1,5
"341",2003-12-07,0,9
"342",2003-12-08,3,9
"343",2003-12-09,1,13
"344",2003-12-10,1,6
