"i","Date","Solved","Not Solved"
"1",2003-01-01,0,8
"2",2003-01-02,4,30
"3",2003-01-03,9,33
"4",2003-01-04,2,31
"5",2003-01-05,6,40
"6",2003-01-06,4,37
"7",2003-01-07,4,39
"8",2003-01-08,2,36
"9",2003-01-09,7,32
"10",2003-01-10,4,21
"11",2003-01-11,4,33
"12",2003-01-12,2,40
"13",2003-01-13,2,29
"14",2003-01-14,3,28
"15",2003-01-15,4,31
"16",2003-01-16,3,29
"17",2003-01-17,3,32
"18",2003-01-18,2,45
"19",2003-01-19,4,36
"20",2003-01-20,6,36
"21",2003-01-21,0,30
"22",2003-01-22,4,25
"23",2003-01-23,2,36
"24",2003-01-24,6,41
"25",2003-01-25,7,43
"26",2003-01-26,3,32
"27",2003-01-27,4,29
"28",2003-01-28,3,25
"29",2003-01-29,5,39
"30",2003-01-30,2,42
"31",2003-01-31,2,24
"32",2003-02-01,2,24
"33",2003-02-02,2,20
"34",2003-02-03,1,28
"35",2003-02-04,2,32
"36",2003-02-05,6,18
"37",2003-02-06,4,26
"38",2003-02-07,9,45
"39",2003-02-08,0,44
"40",2003-02-09,6,32
"41",2003-02-10,11,50
"42",2003-02-11,0,43
"43",2003-02-12,0,40
"44",2003-02-13,3,26
"45",2003-02-14,6,41
"46",2003-02-15,3,25
"47",2003-02-16,5,42
"48",2003-02-17,1,31
"49",2003-02-18,1,37
"50",2003-02-19,6,42
"51",2003-02-20,6,42
"52",2003-02-21,8,21
"53",2003-02-22,5,31
"54",2003-02-23,0,33
"55",2003-02-24,0,50
"56",2003-02-25,0,27
"57",2003-02-26,5,32
"58",2003-02-27,5,32
"59",2003-02-28,3,46
"60",2003-03-01,5,40
"61",2003-03-02,4,41
"62",2003-03-03,4,29
"63",2003-03-04,14,39
"64",2003-03-05,5,33
"65",2003-03-06,3,47
"66",2003-03-07,4,41
"67",2003-03-08,5,36
"68",2003-03-09,6,45
"69",2003-03-10,3,42
"70",2003-03-11,3,42
"71",2003-03-12,1,43
"72",2003-03-13,5,40
"73",2003-03-14,5,47
"74",2003-03-15,0,54
"75",2003-03-16,10,41
"76",2003-03-17,6,55
"77",2003-03-18,5,37
"78",2003-03-19,0,44
"79",2003-03-20,0,28
"80",2003-03-21,1,32
"81",2003-03-22,4,69
"82",2003-03-23,3,31
"83",2003-03-24,2,44
"84",2003-03-25,2,33
"85",2003-03-26,2,39
"86",2003-03-27,4,38
"87",2003-03-28,4,47
"88",2003-03-29,6,45
"89",2003-03-30,5,46
"90",2003-03-31,5,53
"91",2003-04-01,2,43
"92",2003-04-02,6,37
"93",2003-04-03,1,41
"94",2003-04-04,1,53
"95",2003-04-05,6,52
"96",2003-04-06,1,47
"97",2003-04-07,9,43
"98",2003-04-08,5,42
"99",2003-04-09,4,53
"100",2003-04-10,2,43
"101",2003-04-11,6,66
"102",2003-04-12,0,53
"103",2003-04-13,6,19
"104",2003-04-14,4,32
"105",2003-04-15,0,47
"106",2003-04-16,4,44
"107",2003-04-17,8,37
"108",2003-04-18,5,41
"109",2003-04-19,2,51
"110",2003-04-20,8,33
"111",2003-04-21,4,44
"112",2003-04-22,0,45
"113",2003-04-23,2,46
"114",2003-04-24,4,33
"115",2003-04-25,8,47
"116",2003-04-26,6,45
"117",2003-04-27,3,39
"118",2003-04-28,6,42
"119",2003-04-29,5,43
"120",2003-04-30,6,41
"121",2003-05-01,7,48
"122",2003-05-02,0,40
"123",2003-05-03,2,30
"124",2003-05-04,7,38
"125",2003-05-05,4,33
"126",2003-05-06,1,39
"127",2003-05-07,2,27
"128",2003-05-08,5,37
"129",2003-05-09,4,35
"130",2003-05-10,7,44
"131",2003-05-11,7,32
"132",2003-05-12,7,32
"133",2003-05-13,3,52
"134",2003-05-14,8,41
"135",2003-05-15,7,44
"136",2003-05-16,9,36
"137",2003-05-17,4,26
"138",2003-05-18,5,43
"139",2003-05-19,3,50
"140",2003-05-20,4,29
"141",2003-05-21,1,27
"142",2003-05-22,3,27
"143",2003-05-23,3,45
"144",2003-05-24,5,41
"145",2003-05-25,0,43
"146",2003-05-26,0,41
"147",2003-05-27,3,46
"148",2003-05-28,2,32
"149",2003-05-29,0,39
"150",2003-05-30,2,55
"151",2003-05-31,4,45
"152",2003-06-01,2,29
"153",2003-06-02,3,42
"154",2003-06-03,8,34
"155",2003-06-04,4,35
"156",2003-06-05,2,22
"157",2003-06-06,4,26
"158",2003-06-07,5,53
"159",2003-06-08,3,26
"160",2003-06-09,4,47
"161",2003-06-10,4,39
"162",2003-06-11,7,34
"163",2003-06-12,2,33
"164",2003-06-13,9,36
"165",2003-06-14,5,38
"166",2003-06-15,3,31
"167",2003-06-16,3,26
"168",2003-06-17,3,46
"169",2003-06-18,10,52
"170",2003-06-19,4,52
"171",2003-06-20,0,44
"172",2003-06-21,2,48
"173",2003-06-22,5,38
"174",2003-06-23,6,25
"175",2003-06-24,2,45
"176",2003-06-25,4,26
"177",2003-06-26,0,45
"178",2003-06-27,4,36
"179",2003-06-28,4,25
"180",2003-06-29,3,35
"181",2003-06-30,4,31
"182",2003-07-01,6,36
"183",2003-07-02,5,53
"184",2003-07-03,4,32
"185",2003-07-04,2,44
"186",2003-07-05,3,37
"187",2003-07-06,1,29
"188",2003-07-07,6,19
"189",2003-07-08,0,55
"190",2003-07-09,8,42
"191",2003-07-10,3,23
"192",2003-07-11,1,26
"193",2003-07-12,4,48
"194",2003-07-13,4,30
"195",2003-07-14,2,31
"196",2003-07-15,1,31
"197",2003-07-16,3,41
"198",2003-07-17,8,44
"199",2003-07-18,4,20
"200",2003-07-19,3,36
"201",2003-07-20,5,38
"202",2003-07-21,0,49
"203",2003-07-22,4,40
"204",2003-07-23,1,27
"205",2003-07-24,11,67
"206",2003-07-25,2,42
"207",2003-07-26,4,45
"208",2003-07-27,6,30
"209",2003-07-28,3,23
"210",2003-07-29,0,42
"211",2003-07-30,5,37
"212",2003-07-31,3,42
"213",2003-08-01,3,28
"214",2003-08-02,1,41
"215",2003-08-03,3,38
"216",2003-08-04,5,39
"217",2003-08-05,2,35
"218",2003-08-06,4,22
"219",2003-08-07,5,42
