"i","Date","Solved","Not Solved"
"1",2003-01-01,11,0
"2",2003-01-02,26,2
"3",2003-01-03,28,0
"4",2003-01-04,28,1
"5",2003-01-05,24,0
"6",2003-01-06,21,0
"7",2003-01-07,25,0
"8",2003-01-08,43,3
"9",2003-01-09,28,0
"10",2003-01-10,43,1
"11",2003-01-11,27,1
"12",2003-01-12,18,2
"13",2003-01-13,25,1
"14",2003-01-14,20,0
"15",2003-01-15,28,0
"16",2003-01-16,22,1
"17",2003-01-17,31,0
"18",2003-01-18,24,1
"19",2003-01-19,15,1
"20",2003-01-20,20,1
"21",2003-01-21,27,1
"22",2003-01-22,31,2
"23",2003-01-23,42,1
"24",2003-01-24,23,0
"25",2003-01-25,20,0
"26",2003-01-26,31,1
"27",2003-01-27,26,0
"28",2003-01-28,30,2
"29",2003-01-29,26,0
"30",2003-01-30,45,0
"31",2003-01-31,25,0
"32",2003-02-01,18,0
"33",2003-02-02,26,0
"34",2003-02-03,37,0
"35",2003-02-04,26,2
"36",2003-02-05,44,2
"37",2003-02-06,32,1
"38",2003-02-07,35,0
"39",2003-02-08,21,1
"40",2003-02-09,15,0
"41",2003-02-10,28,0
"42",2003-02-11,29,2
"43",2003-02-12,29,1
"44",2003-02-13,20,4
"45",2003-02-14,26,0
"46",2003-02-15,22,0
"47",2003-02-16,20,0
"48",2003-02-17,19,0
"49",2003-02-18,28,0
"50",2003-02-19,26,0
"51",2003-02-20,33,0
"52",2003-02-21,36,1
"53",2003-02-22,17,1
"54",2003-02-23,20,0
"55",2003-02-24,25,1
"56",2003-02-25,23,1
"57",2003-02-26,24,0
"58",2003-02-27,43,0
"59",2003-02-28,34,0
"60",2003-03-01,25,0
"61",2003-03-02,19,0
"62",2003-03-03,18,0
"63",2003-03-04,28,1
"64",2003-03-05,55,0
"65",2003-03-06,22,0
"66",2003-03-07,28,2
"67",2003-03-08,19,0
"68",2003-03-09,18,0
"69",2003-03-10,21,0
"70",2003-03-11,26,3
"71",2003-03-12,40,1
"72",2003-03-13,28,0
"73",2003-03-14,22,1
"74",2003-03-15,15,1
"75",2003-03-16,17,0
"76",2003-03-17,19,0
"77",2003-03-18,24,0
"78",2003-03-19,25,1
"79",2003-03-20,15,0
"80",2003-03-21,16,0
"81",2003-03-22,15,0
"82",2003-03-23,11,0
"83",2003-03-24,8,2
"84",2003-03-25,18,0
"85",2003-03-26,21,0
"86",2003-03-27,34,2
"87",2003-03-28,31,0
"88",2003-03-29,26,1
"89",2003-03-30,21,0
"90",2003-03-31,14,1
"91",2003-04-01,18,1
"92",2003-04-02,32,0
"93",2003-04-03,28,2
"94",2003-04-04,24,2
"95",2003-04-05,29,1
"96",2003-04-06,20,0
"97",2003-04-07,14,1
"98",2003-04-08,30,3
"99",2003-04-09,32,1
"100",2003-04-10,37,0
"101",2003-04-11,30,0
"102",2003-04-12,24,1
"103",2003-04-13,15,0
"104",2003-04-14,22,1
"105",2003-04-15,26,0
"106",2003-04-16,32,0
"107",2003-04-17,24,0
"108",2003-04-18,29,1
"109",2003-04-19,23,1
"110",2003-04-20,14,0
"111",2003-04-21,24,0
"112",2003-04-22,15,1
"113",2003-04-23,28,2
"114",2003-04-24,52,1
"115",2003-04-25,21,0
"116",2003-04-26,26,0
"117",2003-04-27,21,1
"118",2003-04-28,14,0
"119",2003-04-29,25,0
"120",2003-04-30,26,0
"121",2003-05-01,20,2
"122",2003-05-02,32,0
"123",2003-05-03,24,1
"124",2003-05-04,22,0
"125",2003-05-05,29,0
"126",2003-05-06,31,1
"127",2003-05-07,52,0
"128",2003-05-08,27,0
"129",2003-05-09,32,0
"130",2003-05-10,19,0
"131",2003-05-11,16,0
"132",2003-05-12,23,0
"133",2003-05-13,22,0
"134",2003-05-14,29,2
"135",2003-05-15,27,1
"136",2003-05-16,32,0
"137",2003-05-17,21,1
"138",2003-05-18,18,0
"139",2003-05-19,23,0
"140",2003-05-20,24,0
"141",2003-05-21,24,1
"142",2003-05-22,34,0
"143",2003-05-23,23,0
"144",2003-05-24,10,0
"145",2003-05-25,18,1
"146",2003-05-26,17,0
"147",2003-05-27,22,2
"148",2003-05-28,22,1
"149",2003-05-29,23,0
"150",2003-05-30,24,0
"151",2003-05-31,21,1
"152",2003-06-01,26,0
"153",2003-06-02,19,1
"154",2003-06-03,19,1
"155",2003-06-04,33,0
"156",2003-06-05,22,0
"157",2003-06-06,22,0
"158",2003-06-07,22,0
"159",2003-06-08,20,0
"160",2003-06-09,32,0
"161",2003-06-10,17,0
"162",2003-06-11,28,0
"163",2003-06-12,27,0
"164",2003-06-13,22,0
"165",2003-06-14,18,0
"166",2003-06-15,16,0
"167",2003-06-16,23,0
"168",2003-06-17,15,0
"169",2003-06-18,19,0
"170",2003-06-19,32,0
"171",2003-06-20,16,0
"172",2003-06-21,17,0
"173",2003-06-22,16,0
"174",2003-06-23,24,0
"175",2003-06-24,17,0
"176",2003-06-25,45,0
"177",2003-06-26,27,0
"178",2003-06-27,27,0
"179",2003-06-28,24,0
"180",2003-06-29,28,0
"181",2003-06-30,16,0
"182",2003-07-01,21,1
"183",2003-07-02,32,1
"184",2003-07-03,10,6
"185",2003-07-04,32,2
"186",2003-07-05,18,0
"187",2003-07-06,23,0
"188",2003-07-07,21,0
"189",2003-07-08,18,3
"190",2003-07-09,35,9
"191",2003-07-10,27,6
"192",2003-07-11,26,1
"193",2003-07-12,32,0
"194",2003-07-13,24,1
"195",2003-07-14,22,0
"196",2003-07-15,31,0
"197",2003-07-16,29,1
"198",2003-07-17,24,1
"199",2003-07-18,19,0
"200",2003-07-19,33,0
"201",2003-07-20,21,0
"202",2003-07-21,22,0
"203",2003-07-22,30,0
"204",2003-07-23,24,1
"205",2003-07-24,18,0
"206",2003-07-25,27,0
"207",2003-07-26,24,0
"208",2003-07-27,24,0
"209",2003-07-28,24,0
"210",2003-07-29,32,0
"211",2003-07-30,19,0
"212",2003-07-31,16,0
"213",2003-08-01,22,0
"214",2003-08-02,26,0
"215",2003-08-03,24,0
"216",2003-08-04,26,0
"217",2003-08-05,32,0
"218",2003-08-06,34,0
"219",2003-08-07,25,0
"220",2003-08-08,32,1
"221",2003-08-09,24,0
"222",2003-08-10,15,0
"223",2003-08-11,20,0
"224",2003-08-12,25,0
"225",2003-08-13,31,0
"226",2003-08-14,21,1
"227",2003-08-15,26,1
"228",2003-08-16,27,0
"229",2003-08-17,18,0
"230",2003-08-18,24,0
"231",2003-08-19,30,0
"232",2003-08-20,39,1
"233",2003-08-21,23,0
"234",2003-08-22,32,0
"235",2003-08-23,26,0
"236",2003-08-24,26,0
"237",2003-08-25,31,0
"238",2003-08-26,17,0
"239",2003-08-27,28,0
"240",2003-08-28,38,0
"241",2003-08-29,27,2
"242",2003-08-30,19,0
"243",2003-08-31,27,0
"244",2003-09-01,30,0
"245",2003-09-02,34,0
"246",2003-09-03,22,1
"247",2003-09-04,25,1
"248",2003-09-05,35,0
"249",2003-09-06,20,0
"250",2003-09-07,27,0
"251",2003-09-08,22,0
"252",2003-09-09,24,0
"253",2003-09-10,25,0
"254",2003-09-11,26,0
"255",2003-09-12,65,2
"256",2003-09-13,37,0
"257",2003-09-14,27,0
"258",2003-09-15,18,0
"259",2003-09-16,28,0
"260",2003-09-17,27,1
