"i","Date","Not Solved","Solved"
"1",2003-01-01,212,87
"2",2003-01-02,267,172
"3",2003-01-03,259,210
"4",2003-01-04,214,191
"5",2003-01-05,190,161
"6",2003-01-06,213,176
"7",2003-01-07,203,192
"8",2003-01-08,233,248
"9",2003-01-09,272,206
"10",2003-01-10,189,181
"11",2003-01-11,230,183
"12",2003-01-12,214,138
"13",2003-01-13,211,134
"14",2003-01-14,224,190
"15",2003-01-15,241,175
"16",2003-01-16,237,151
"17",2003-01-17,241,170
"18",2003-01-18,251,164
"19",2003-01-19,205,128
"20",2003-01-20,206,145
"21",2003-01-21,219,167
"22",2003-01-22,211,176
"23",2003-01-23,242,248
"24",2003-01-24,253,208
"25",2003-01-25,267,199
"26",2003-01-26,242,189
"27",2003-01-27,214,140
"28",2003-01-28,221,211
"29",2003-01-29,253,224
"30",2003-01-30,242,237
"31",2003-01-31,214,200
"32",2003-02-01,272,166
"33",2003-02-02,233,161
"34",2003-02-03,211,150
"35",2003-02-04,218,192
"36",2003-02-05,221,252
"37",2003-02-06,211,192
"38",2003-02-07,265,259
"39",2003-02-08,268,198
"40",2003-02-09,197,151
"41",2003-02-10,252,190
"42",2003-02-11,234,204
"43",2003-02-12,239,210
"44",2003-02-13,235,166
"45",2003-02-14,273,171
"46",2003-02-15,267,149
"47",2003-02-16,228,128
"48",2003-02-17,215,129
"49",2003-02-18,236,207
"50",2003-02-19,233,204
"51",2003-02-20,260,192
"52",2003-02-21,245,197
"53",2003-02-22,260,158
"54",2003-02-23,234,174
"55",2003-02-24,248,150
"56",2003-02-25,246,162
"57",2003-02-26,258,215
"58",2003-02-27,220,224
"59",2003-02-28,255,204
"60",2003-03-01,289,195
"61",2003-03-02,241,155
"62",2003-03-03,211,165
"63",2003-03-04,232,172
"64",2003-03-05,224,239
"65",2003-03-06,272,162
"66",2003-03-07,262,215
"67",2003-03-08,269,130
"68",2003-03-09,263,159
"69",2003-03-10,216,188
"70",2003-03-11,248,157
"71",2003-03-12,267,217
"72",2003-03-13,270,221
"73",2003-03-14,262,169
