i,dt,yes,no,smooth
0,2003-01-01,214,408,42.0968315325
1,2003-01-02,164,247,42.0706302184
2,2003-01-03,213,227,42.0126179118
3,2003-01-04,144,203,41.9281852446
4,2003-01-05,179,198,41.7748041875
5,2003-01-06,199,201,41.6256142637
6,2003-01-07,204,214,41.4669212625
7,2003-01-08,260,268,41.2996853251
8,2003-01-09,204,213,41.1317751762
9,2003-01-10,0,244,40.9739388033
10,2003-01-11,163,200,40.8258176596
11,2003-01-12,122,202,40.6837542346
12,2003-01-13,164,234,40.5855719283
13,2003-01-14,197,209,40.4821061637
14,2003-01-15,152,258,40.4136531101
15,2003-01-16,167,239,40.3673806584
16,2003-01-17,181,263,40.3478454506
17,2003-01-18,151,201,40.3565687882
18,2003-01-19,95,210,40.3902039362
19,2003-01-20,187,227,40.4452669001
20,2003-01-21,159,221,40.5438431278
21,2003-01-22,231,227,40.6712598422
22,2003-01-23,222,232,40.8270905053
23,2003-01-24,191,275,41.0139773601
24,2003-01-25,0,245,41.222338803
25,2003-01-26,134,207,41.4648156868
26,2003-01-27,196,221,41.7233044255
27,2003-01-28,196,249,41.9609121792
28,2003-01-29,258,252,42.2356161348
29,2003-01-30,202,214,42.4958548624
30,2003-01-31,182,237,42.7291973368
31,2003-02-01,159,278,42.9372232146
32,2003-02-02,158,197,43.0738001115
33,2003-02-03,187,237,43.1482595689
34,2003-02-04,242,208,43.1503978136
35,2003-02-05,187,219,43.0777073843
36,2003-02-06,221,253,42.9398965702
37,2003-02-07,237,269,42.7304762144
38,2003-02-08,155,219,42.454743252
39,2003-02-09,143,217,42.1262806455
40,2003-02-10,267,244,41.7301010839
41,2003-02-11,193,234,41.3311354169
42,2003-02-12,173,249,40.9393948951
43,2003-02-13,183,251,40.5503966435
44,2003-02-14,150,293,40.1914959822
45,2003-02-15,137,229,39.8768677847
46,2003-02-16,113,219,39.6275174164
47,2003-02-17,0,230,39.4096806589
48,2003-02-18,252,233,39.2451677952
49,2003-02-19,214,251,39.1348610017
50,2003-02-20,180,244,39.0694692726
51,2003-02-21,146,271,39.0390112355
52,2003-02-22,190,242,39.0349313086
53,2003-02-23,141,225,39.0442286844
54,2003-02-24,160,246,39.0544117014
55,2003-02-25,191,248,39.0674803086
56,2003-02-26,234,257,39.0811279834
57,2003-02-27,212,231,39.097492255
58,2003-02-28,187,267,39.0998861851
59,2003-03-01,184,287,39.0958910259
60,2003-03-02,0,199,39.0902369094
61,2003-03-03,163,230,39.0690732013
62,2003-03-04,237,227,39.0412241566
63,2003-03-05,167,251,39.008926163
64,2003-03-06,167,256,38.9659298906
65,2003-03-07,193,300,38.9087844202
66,2003-03-08,164,253,38.8204602843
67,2003-03-09,146,213,38.6941180603
68,2003-03-10,173,238,38.5353920673
69,2003-03-11,196,265,38.3530021734
70,2003-03-12,229,276,38.1020272956
71,2003-03-13,175,252,37.828827592
72,2003-03-14,193,310,37.5330593752
73,2003-03-15,137,281,37.2237948643
74,2003-03-16,117,246,36.900139981
75,2003-03-17,145,266,36.591938195
76,2003-03-18,187,243,36.3081653969
77,2003-03-19,146,193,36.0646425989
78,2003-03-20,137,323,35.8711980523
79,2003-03-21,113,289,35.7348960441
80,2003-03-22,112,270,35.6683071367
81,2003-03-23,61,262,35.6633504259
82,2003-03-24,118,265,35.7435760255
83,2003-03-25,142,268,35.8609978355
84,2003-03-26,172,269,36.0276002893
85,2003-03-27,222,247,36.2376580539
86,2003-03-28,162,287,36.4791826938
87,2003-03-29,147,287,36.7333662461
88,2003-03-30,155,241,36.9884369807
89,2003-03-31,158,227,37.2406642591
90,2003-04-01,191,333,37.478948281
91,2003-04-02,189,255,37.7031163242
92,2003-04-03,183,257,37.9104082437
93,2003-04-04,189,298,38.1043345678
94,2003-04-05,129,284,38.2704214767
95,2003-04-06,122,221,38.4260994926
96,2003-04-07,127,215,38.5553631742
97,2003-04-08,189,262,38.6654432141
98,2003-04-09,204,280,38.7645132477
99,2003-04-10,180,296,38.8554509005
100,2003-04-11,212,321,38.9397060432
101,2003-04-12,124,239,39.0208534532
102,2003-04-13,164,225,39.0924248735
103,2003-04-14,201,258,39.1701661495
104,2003-04-15,200,262,39.238981773
105,2003-04-16,141,232,39.3244090976
106,2003-04-17,167,239,39.4135481855
107,2003-04-18,158,284,39.5120183386
108,2003-04-19,116,250,39.6307902434
109,2003-04-20,133,236,39.7505935336
110,2003-04-21,136,249,39.8821144962
111,2003-04-22,170,253,40.0220960235
112,2003-04-23,232,282,40.1768126418
113,2003-04-24,204,207,40.3380413459
114,2003-04-25,165,268,40.5024968731
115,2003-04-26,212,243,40.6656930276
116,2003-04-27,116,208,40.8288627088
117,2003-04-28,142,257,40.9790324925
118,2003-04-29,181,234,41.1217188629
