"dt","yes","no"
2003-01-01,214,408
2003-01-02,164,247
2003-01-03,213,227
2003-01-04,144,203
2003-01-05,179,198
2003-01-06,199,201
2003-01-07,204,214
2003-01-08,260,268
2003-01-09,204,213
2003-01-10,0,244
2003-01-11,163,200
2003-01-12,122,202
2003-01-13,164,234
2003-01-14,197,209
2003-01-15,152,258
2003-01-16,167,239
2003-01-17,181,263
2003-01-18,151,201
2003-01-19,95,210
2003-01-20,187,227
2003-01-21,159,221
2003-01-22,231,227
2003-01-23,222,232
2003-01-24,191,275
2003-01-25,0,245
2003-01-26,134,207
2003-01-27,196,221
2003-01-28,196,249
2003-01-29,258,252
2003-01-30,202,214
2003-01-31,182,237
2003-02-01,159,278
2003-02-02,158,197
2003-02-03,187,237
2003-02-04,242,208
2003-02-05,187,219
2003-02-06,221,253
2003-02-07,237,269
2003-02-08,155,219
2003-02-09,143,217
2003-02-10,267,244
2003-02-11,193,234
2003-02-12,173,249
2003-02-13,183,251
2003-02-14,150,293
2003-02-15,137,229
2003-02-16,113,219
2003-02-17,0,230
2003-02-18,252,233
2003-02-19,214,251
2003-02-20,180,244
2003-02-21,146,271
2003-02-22,190,242
2003-02-23,141,225
2003-02-24,160,246
2003-02-25,191,248
2003-02-26,234,257
2003-02-27,212,231
2003-02-28,187,267
2003-03-01,184,287
2003-03-02,0,199
2003-03-03,163,230
2003-03-04,237,227
2003-03-05,167,251
2003-03-06,167,256
2003-03-07,193,300
2003-03-08,164,253
2003-03-09,146,213
2003-03-10,173,238
2003-03-11,196,265
2003-03-12,229,276
2003-03-13,175,252
2003-03-14,193,310
2003-03-15,137,281
2003-03-16,117,246
2003-03-17,145,266
2003-03-18,187,243
2003-03-19,146,193
2003-03-20,137,323
2003-03-21,113,289
2003-03-22,112,270
2003-03-23,61,262
2003-03-24,118,265
2003-03-25,142,268
2003-03-26,172,269
2003-03-27,222,247
2003-03-28,162,287
2003-03-29,147,287
2003-03-30,155,241
2003-03-31,158,227
2003-04-01,191,333
2003-04-02,189,255
2003-04-03,183,257
2003-04-04,189,298
2003-04-05,129,284
2003-04-06,122,221
2003-04-07,127,215
2003-04-08,189,262
2003-04-09,204,280
2003-04-10,180,296
2003-04-11,212,321
2003-04-12,124,239
2003-04-13,164,225
2003-04-14,201,258
2003-04-15,200,262
2003-04-16,141,232
2003-04-17,167,239
2003-04-18,158,284
2003-04-19,116,250
2003-04-20,133,236
2003-04-21,136,249
2003-04-22,170,253
2003-04-23,232,282
2003-04-24,204,207
2003-04-25,165,268
2003-04-26,212,243
2003-04-27,116,208
2003-04-28,142,257
2003-04-29,181,234
2003-04-30,184,232
